confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,highDangerCount,midDangerCount,suspectedCount,suspectedCountIncr
760,0,743,2,10,-2,20200315,7,0,0,0,0,0
761,1,746,3,8,-2,20200316,7,0,0,0,0,0
761,0,746,0,8,0,20200317,7,0,0,0,0,0
761,0,747,1,7,-1,20200318,7,0,0,0,0,0
762,1,748,1,7,0,20200319,7,0,0,0,0,0
764,2,749,1,8,1,20200320,7,0,0,0,0,0
765,1,750,1,8,0,20200321,7,0,0,0,0,0
767,2,751,1,9,1,20200322,7,0,0,0,0,0
768,1,752,1,9,0,20200323,7,0,0,0,0,0
769,1,752,0,10,1,20200324,7,0,0,0,0,0
769,0,752,0,10,0,20200325,7,0,0,0,0,0
771,2,752,0,12,2,20200326,7,0,0,0,12,12
772,1,752,0,13,1,20200327,7,0,0,0,12,0
772,0,752,0,13,0,20200328,7,0,0,0,12,0
773,1,753,1,13,0,20200329,7,0,0,0,14,2
774,1,753,0,14,1,20200330,7,0,0,0,14,0
774,0,753,0,14,0,20200331,7,0,0,0,14,0
775,1,753,0,15,1,20200401,7,0,0,0,14,0
778,3,754,1,17,2,20200402,7,0,0,0,0,-14
778,0,755,1,16,-1,20200403,7,0,0,0,0,0
779,1,755,0,17,1,20200404,7,0,0,0,14,14
780,1,755,0,18,1,20200405,7,0,0,0,14,0
781,1,755,0,19,1,20200406,7,0,0,0,14,0
783,2,755,0,21,2,20200407,7,0,0,0,0,-14
783,0,756,1,20,-1,20200408,7,0,0,0,0,0
783,0,756,0,20,0,20200409,7,0,0,0,14,14
784,1,757,1,20,0,20200410,7,0,0,0,14,0
784,0,757,0,20,0,20200411,7,0,0,0,14,0
784,0,758,1,19,-1,20200412,7,0,0,0,14,0
784,0,759,1,18,-1,20200413,7,0,0,0,14,0
784,0,761,2,16,-2,20200414,7,0,0,0,14,0
784,0,761,0,16,0,20200415,7,0,0,0,14,0
787,3,761,0,19,3,20200416,7,0,0,0,14,0
787,0,765,4,15,-4,20200417,7,0,0,0,14,0
787,0,765,0,15,0,20200418,7,0,0,0,14,0
787,0,765,0,15,0,20200419,7,0,0,0,14,0
787,0,765,0,15,0,20200420,7,0,0,0,14,0
787,0,766,1,14,-1,20200421,7,0,0,0,14,0
787,0,766,0,14,0,20200422,7,0,0,0,14,0
787,0,766,0,14,0,20200423,7,0,0,0,14,0
787,0,767,1,13,-1,20200424,7,0,0,0,14,0
787,0,767,0,13,0,20200425,7,0,0,0,14,0
787,0,768,1,12,-1,20200426,7,0,0,0,14,0
787,0,768,0,12,0,20200427,7,0,0,0,14,0
787,0,771,3,9,-3,20200428,7,0,0,0,14,0
787,0,772,1,8,-1,20200429,7,0,0,0,14,0
787,0,772,0,8,0,20200430,7,0,0,0,14,0
787,0,772,0,8,0,20200501,7,0,0,0,14,0
787,0,772,0,8,0,20200502,7,0,0,0,14,0
788,1,773,1,8,0,20200503,7,0,0,0,14,0
788,0,773,0,8,0,20200504,7,0,0,0,14,0
788,0,775,2,6,-2,20200505,7,0,0,0,14,0
788,0,775,0,6,0,20200506,7,0,0,0,14,0
788,0,776,1,5,-1,20200507,7,0,0,0,14,0
788,0,776,0,5,0,20200508,7,0,0,0,14,0
788,0,776,0,5,0,20200509,7,0,0,0,14,0
788,0,777,1,4,-1,20200510,7,0,0,0,14,0
788,0,777,0,4,0,20200511,7,0,0,0,14,0
788,0,777,0,4,0,20200512,7,0,0,0,14,0
788,0,777,0,4,0,20200513,7,0,0,0,14,0
788,0,778,1,3,-1,20200514,7,0,0,0,14,0
788,0,780,2,1,-2,20200515,7,0,0,0,14,0
788,0,780,0,1,0,20200516,7,0,0,0,14,0
788,0,780,0,1,0,20200517,7,0,0,0,14,0
788,0,780,0,1,0,20200518,7,0,0,0,14,0
788,0,780,0,1,0,20200519,7,0,0,0,14,0
788,0,780,0,1,0,20200520,7,0,0,0,14,0
788,0,780,0,1,0,20200521,7,0,0,0,14,0
788,0,780,0,1,0,20200522,7,0,0,0,14,0
788,0,780,0,1,0,20200523,7,0,0,0,14,0
788,0,780,0,1,0,20200524,7,0,0,0,14,0
788,0,780,0,1,0,20200525,7,0,0,0,14,0
788,0,780,0,1,0,20200526,7,0,0,0,14,0
788,0,780,0,1,0,20200527,7,0,0,0,14,0
788,0,780,0,1,0,20200528,7,0,0,0,14,0
790,2,780,0,3,2,20200529,7,0,0,0,14,0
792,2,780,0,5,2,20200530,7,0,0,0,14,0
792,0,780,0,5,0,20200531,7,0,0,0,14,0
792,0,780,0,5,0,20200601,7,0,0,0,14,0
792,0,780,0,5,0,20200602,7,0,0,0,14,0
792,0,780,0,5,0,20200603,7,0,0,0,14,0
792,0,780,0,5,0,20200604,7,0,0,0,14,0
792,0,780,0,5,0,20200605,7,0,0,0,14,0
792,0,780,0,5,0,20200606,7,0,0,0,14,0
792,0,781,1,4,-1,20200607,7,0,0,0,14,0
792,0,781,0,4,0,20200608,7,0,0,0,14,0
792,0,781,0,4,0,20200609,7,0,0,0,14,0
792,0,781,0,4,0,20200610,7,0,0,0,14,0
792,0,781,0,4,0,20200611,7,0,0,0,14,0
792,0,781,0,4,0,20200612,7,0,0,0,14,0
792,0,782,1,3,-1,20200613,7,0,0,0,14,0
792,0,782,0,3,0,20200614,7,0,0,0,14,0
792,0,783,1,2,-1,20200615,7,0,0,0,14,0
792,0,783,0,2,0,20200616,7,0,0,0,14,0
792,0,783,0,2,0,20200617,7,0,0,0,14,0
792,0,783,0,2,0,20200618,7,0,0,0,14,0
792,0,785,2,0,-2,20200619,7,0,0,0,14,0
792,0,785,0,0,0,20200620,7,0,0,0,14,0
792,0,785,0,0,0,20200621,7,0,0,0,14,0
792,0,785,0,0,0,20200622,7,0,0,0,14,0
792,0,785,0,0,0,20200623,7,0,0,0,14,0
792,0,785,0,0,0,20200624,7,0,0,0,14,0
792,0,785,0,0,0,20200625,7,0,0,0,14,0
792,0,785,0,0,0,20200626,7,0,0,0,14,0
792,0,785,0,0,0,20200627,7,0,0,0,14,0
792,0,785,0,0,0,20200628,7,0,0,0,14,0
792,0,785,0,0,0,20200629,7,0,0,0,14,0
792,0,785,0,0,0,20200630,7,0,0,0,14,0
792,0,785,0,0,0,20200701,7,0,0,0,14,0
792,0,785,0,0,0,20200702,7,0,0,0,14,0
792,0,785,0,0,0,20200703,7,0,0,0,14,0
792,0,785,0,0,0,20200704,7,0,0,0,14,0
792,0,785,0,0,0,20200705,7,0,0,0,14,0
792,0,785,0,0,0,20200706,7,0,0,0,14,0
792,0,785,0,0,0,20200707,7,0,0,0,14,0
792,0,785,0,0,0,20200708,7,0,0,0,14,0
792,0,785,0,0,0,20200709,7,0,0,0,14,0
792,0,785,0,0,0,20200710,7,0,0,0,14,0
792,0,785,0,0,0,20200711,7,0,0,0,14,0
793,1,785,0,1,1,20200712,7,0,0,0,14,0
793,0,785,0,1,0,20200713,7,0,0,0,14,0
793,0,785,0,1,0,20200714,7,0,0,0,14,0
793,0,785,0,1,0,20200715,7,0,0,0,14,0
794,1,785,0,2,1,20200716,7,0,0,0,14,0
796,2,785,0,4,2,20200717,7,0,0,0,14,0
797,1,785,0,5,1,20200718,7,0,0,0,14,0
798,1,785,0,6,1,20200719,7,0,0,0,14,0
798,0,785,0,6,0,20200720,7,0,0,0,14,0
798,0,785,0,6,0,20200722,7,0,0,0,14,0
798,0,785,0,6,0,20200724,7,0,0,0,14,0
799,1,785,0,7,1,20200725,7,0,0,0,14,0
799,0,785,0,7,0,20200726,7,0,0,0,14,0
799,0,785,0,7,0,20200727,7,0,0,0,14,0
799,0,785,0,7,0,20200728,7,0,0,0,14,0
799,0,785,0,7,0,20200729,7,0,0,0,14,0
799,0,785,0,7,0,20200730,7,0,0,0,14,0
799,0,785,0,7,0,20200731,7,0,0,0,14,0
802,3,786,1,9,2,20200801,7,0,0,0,14,0
804,2,786,0,11,2,20200802,7,0,0,0,14,0
804,0,786,0,11,0,20200803,7,0,0,0,14,0
804,0,786,0,11,0,20200804,7,0,0,0,14,0
805,1,787,1,11,0,20200806,7,0,0,0,14,0
806,1,788,1,11,0,20200807,7,0,0,0,14,0
806,0,788,0,11,0,20200808,7,0,0,0,14,0
810,4,788,0,15,4,20200809,7,0,0,0,14,0
816,6,788,0,21,6,20200810,7,0,0,0,14,0
821,5,789,1,25,4,20200812,7,0,0,0,14,0
821,0,789,0,25,0,20200813,7,0,0,0,14,0
821,0,790,1,24,-1,20200814,7,0,0,0,14,0
821,0,790,0,24,0,20200815,7,0,0,0,14,0
822,1,790,0,25,1,20200816,7,0,0,0,14,0
822,0,793,3,22,-3,20200817,7,0,0,0,14,0
823,1,793,0,23,1,20200818,7,0,0,0,14,0
827,4,794,1,26,3,20200820,7,0,0,0,14,0
830,3,795,1,28,2,20200821,7,0,0,0,14,0
830,0,797,2,26,-2,20200822,7,0,0,0,14,0
831,1,798,1,26,0,20200823,7,0,0,0,14,0
831,0,798,0,26,0,20200824,7,0,0,0,14,0
831,0,801,3,23,-3,20200825,7,0,0,0,14,0
831,0,801,0,23,0,20200826,7,0,0,0,14,0
831,0,802,1,22,-1,20200827,7,0,0,0,14,0
831,0,806,4,18,-4,20200828,7,0,0,0,14,0
831,0,807,1,17,-1,20200829,7,0,0,0,14,0
831,0,807,0,17,0,20200830,7,0,0,0,14,0
831,0,808,1,16,-1,20200831,7,0,0,0,14,0
831,0,809,1,15,-1,20200901,7,0,0,0,14,0
831,0,809,0,15,0,20200902,7,0,0,0,14,0
831,0,809,0,15,0,20200903,7,0,0,0,14,0
831,0,809,0,15,0,20200904,7,0,0,0,14,0
831,0,810,1,14,-1,20200905,7,0,0,0,14,0
831,0,811,1,13,-1,20200906,7,0,0,0,14,0
831,0,811,0,13,0,20200907,7,0,0,0,14,0
831,0,811,0,13,0,20200909,7,0,0,0,14,0
831,0,812,1,12,-1,20200910,7,0,0,0,14,0
831,0,813,1,11,-1,20200911,7,0,0,0,14,0
831,0,813,0,11,0,20200913,7,0,0,0,14,0
831,0,813,0,11,0,20200914,7,0,0,0,14,0
831,0,813,0,11,0,20200915,7,0,0,0,14,0
831,0,815,2,9,-2,20200919,7,0,0,0,14,0
831,0,816,1,8,-1,20200920,7,0,0,0,14,0
831,0,816,0,8,0,20200921,7,0,0,0,14,0
832,1,816,0,9,1,20200922,7,0,0,0,14,0
832,0,816,0,9,0,20200923,7,0,0,0,14,0
832,0,816,0,9,0,20200924,7,0,0,0,14,0
832,0,821,5,4,-5,20200925,7,0,0,0,14,0
832,0,821,0,4,0,20200926,7,0,0,0,14,0
832,0,822,1,3,-1,20200927,7,0,0,0,14,0
832,0,823,1,2,-1,20200928,7,0,0,0,14,0
832,0,823,0,2,0,20200929,7,0,0,0,14,0
832,0,823,0,2,0,20201001,7,0,0,0,14,0
832,0,823,0,2,0,20201002,7,0,0,0,14,0
832,0,823,0,2,0,20201003,7,0,0,0,14,0
832,0,823,0,2,0,20201004,7,0,0,0,14,0
832,0,823,0,2,0,20201005,7,0,0,0,14,0
832,0,823,0,2,0,20201006,7,0,0,0,14,0
832,0,823,0,2,0,20201007,7,0,0,0,14,0
832,0,823,0,2,0,20201008,7,0,0,0,14,0
832,0,823,0,2,0,20201009,7,0,0,0,14,0
832,0,824,1,1,-1,20201010,7,0,0,0,14,0
832,0,824,0,1,0,20201011,7,0,0,0,14,0
838,6,824,0,7,6,20201012,7,0,0,0,14,0
844,6,824,0,13,6,20201013,7,0,0,0,14,0
845,1,824,0,14,1,20201014,7,0,0,0,14,0
845,0,824,0,14,0,20201015,7,0,0,0,14,0
845,0,824,0,14,0,20201016,7,0,0,0,14,0
845,0,825,1,13,-1,20201017,7,0,0,0,14,0
845,0,825,0,13,0,20201018,7,0,0,0,14,0
845,0,825,0,13,0,20201019,7,0,0,0,14,0
845,0,826,1,12,-1,20201020,7,0,0,0,14,0
845,0,827,1,11,-1,20201021,7,0,0,0,14,0
845,0,827,0,11,0,20201022,7,0,0,0,14,0
845,0,827,0,11,0,20201023,7,0,0,0,14,0
845,0,827,0,11,0,20201024,7,0,0,0,14,0
845,0,828,1,10,-1,20201025,7,0,0,0,14,0
846,1,829,1,10,0,20201026,7,0,0,0,14,0
846,0,829,0,10,0,20201027,7,0,0,0,14,0
846,0,831,2,8,-2,20201028,7,0,0,0,14,0
847,1,834,3,6,-2,20201030,7,0,0,0,14,0
847,0,835,1,5,-1,20201031,7,0,0,0,14,0
847,0,835,0,5,0,20201101,7,0,0,0,14,0
848,1,836,1,5,0,20201102,7,0,0,0,14,0
848,0,836,0,5,0,20201103,7,0,0,0,14,0
848,0,837,1,4,-1,20201104,7,0,0,0,14,0
848,0,838,1,3,-1,20201105,7,0,0,0,14,0
848,0,839,1,2,-1,20201106,7,0,0,0,14,0
848,0,839,0,2,0,20201108,7,0,0,0,14,0
848,0,839,0,2,0,20201109,7,0,0,0,14,0
848,0,840,1,1,-1,20201110,7,0,0,0,14,0
848,0,841,1,0,-1,20201111,7,0,0,0,14,0
848,0,841,0,0,0,20201112,7,0,0,0,14,0
848,0,841,0,0,0,20201114,7,0,0,0,14,0
848,0,841,0,0,0,20201115,7,0,0,0,14,0
849,1,841,0,1,1,20201117,7,0,0,0,14,0
849,0,841,0,1,0,20201118,7,0,0,0,14,0
849,0,841,0,1,0,20201119,7,0,0,0,14,0
849,0,841,0,1,0,20201120,7,0,0,0,14,0
849,0,841,0,1,0,20201121,7,0,0,0,14,0
849,0,841,0,1,0,20201122,7,0,0,0,14,0
849,0,841,0,1,0,20201123,7,0,0,0,14,0
849,0,841,0,1,0,20201124,7,0,0,0,14,0
849,0,841,0,1,0,20201125,7,0,0,0,14,0
849,0,841,0,1,0,20201126,7,0,0,0,14,0
849,0,841,0,1,0,20201127,7,0,0,0,14,0
849,0,841,0,1,0,20201128,7,0,0,0,14,0
854,5,841,0,6,5,20201129,7,0,0,0,14,0
854,0,841,0,6,0,20201130,7,0,0,0,14,0
854,0,841,0,6,0,20201201,7,0,0,0,14,0
856,2,841,0,8,2,20201202,7,0,0,0,14,0
857,1,841,0,9,1,20201203,7,0,0,0,14,0
857,0,841,0,9,0,20201204,7,0,0,0,14,0
857,0,841,0,9,0,20201206,7,0,0,0,14,0
857,0,841,0,9,0,20201207,7,0,0,0,14,0
857,0,841,0,9,0,20201208,7,0,0,0,14,0
857,0,841,0,9,0,20201209,7,0,0,0,14,0
857,0,841,0,9,0,20201210,7,0,0,0,14,0
857,0,841,0,9,0,20201211,7,0,0,0,14,0
858,1,841,0,10,1,20201212,7,0,0,0,14,0
858,0,841,0,10,0,20201213,7,0,0,0,14,0
858,0,841,0,10,0,20201214,7,0,0,0,14,0
859,1,841,0,11,1,20201215,7,0,0,0,14,0
859,0,841,0,11,0,20201216,7,0,0,0,14,0
859,0,841,0,11,0,20201217,7,0,0,0,14,0
861,2,841,0,13,2,20201218,7,0,0,0,14,0
861,0,841,0,13,0,20201219,7,0,0,0,14,0
861,0,841,0,13,0,20201220,7,0,0,0,14,0
861,0,841,0,13,0,20201221,7,0,0,0,14,0
861,0,841,0,13,0,20201222,7,0,0,0,14,0
861,0,841,0,13,0,20201223,7,0,0,0,14,0
861,0,841,0,13,0,20201224,7,0,0,0,14,0
861,0,842,1,12,-1,20201225,7,0,0,0,14,0
861,0,844,2,10,-2,20201226,7,0,0,0,14,0
861,0,844,0,10,0,20201227,7,0,0,0,14,0
861,0,844,0,10,0,20201228,7,0,0,0,14,0
862,1,846,2,9,-1,20201229,7,0,0,0,14,0
862,0,846,0,9,0,20201230,7,0,0,0,14,0
862,0,847,1,8,-1,20201231,7,0,0,0,14,0
863,1,847,0,9,1,20210101,7,0,0,0,14,0
863,0,848,1,8,-1,20210102,7,0,0,0,14,0
863,0,848,0,8,0,20210103,7,0,0,0,14,0
863,0,848,0,8,0,20210104,7,0,0,0,14,0
863,0,848,0,8,0,20210105,7,0,0,0,14,0
863,0,851,3,5,-3,20210106,7,0,0,0,14,0
863,0,852,1,4,-1,20210107,7,0,0,0,14,0
864,1,852,0,5,1,20210108,7,0,0,0,14,0
864,0,852,0,5,0,20210109,7,0,0,0,14,0
864,0,852,0,5,0,20210110,7,0,0,0,14,0
864,0,853,1,4,-1,20210111,7,0,0,0,14,0
864,0,853,0,4,0,20210112,7,0,0,0,14,0
864,0,854,1,3,-1,20210113,7,0,0,0,14,0
864,0,855,1,2,-1,20210114,7,0,0,0,14,0
864,0,855,0,2,0,20210115,7,0,0,0,14,0
865,1,855,0,3,1,20210116,7,0,0,0,14,0
865,0,856,1,2,-1,20210117,7,0,0,0,14,0
865,0,856,0,2,0,20210118,7,0,0,0,14,0
865,0,856,0,2,0,20210119,7,0,0,0,14,0
866,1,856,0,3,1,20210120,7,0,0,0,14,0
866,0,856,0,3,0,20210121,7,0,0,0,14,0
866,0,856,0,3,0,20210122,7,0,0,0,14,0
866,0,856,0,3,0,20210123,7,0,0,0,14,0
866,0,856,0,3,0,20210124,7,0,0,0,14,0
866,0,857,1,2,-1,20210125,7,0,0,0,14,0
866,0,857,0,2,0,20210126,7,0,0,0,14,0
866,0,857,0,2,0,20210127,7,0,0,0,14,0
866,0,857,0,2,0,20210128,7,0,0,0,14,0
866,0,857,0,2,0,20210129,7,0,0,0,14,0
866,0,857,0,2,0,20210130,7,0,0,0,14,0
866,0,857,0,2,0,20210131,7,0,0,0,14,0
866,0,857,0,2,0,20210201,7,0,0,0,14,0
866,0,857,0,2,0,20210202,7,0,0,0,14,0
866,0,857,0,2,0,20210203,7,0,0,0,14,0
866,0,857,0,2,0,20210204,7,0,0,0,14,0
866,0,858,1,1,-1,20210205,7,0,0,0,14,0
866,0,858,0,1,0,20210206,7,0,0,0,14,0
866,0,858,0,1,0,20210207,7,0,0,0,14,0
867,1,858,0,2,1,20210208,7,0,0,0,14,0
867,0,858,0,2,0,20210209,7,0,0,0,14,0
867,0,858,0,2,0,20210210,7,0,0,0,14,0
867,0,859,1,1,-1,20210211,7,0,0,0,14,0
867,0,859,0,1,0,20210212,7,0,0,0,14,0
867,0,859,0,1,0,20210213,7,0,0,0,14,0
867,0,859,0,1,0,20210214,7,0,0,0,14,0
867,0,859,0,1,0,20210215,7,0,0,0,14,0
867,0,859,0,1,0,20210216,7,0,0,0,14,0
867,0,860,1,0,-1,20210217,7,0,0,0,14,0
867,0,860,0,0,0,20210218,7,0,0,0,14,0
867,0,860,0,0,0,20210219,7,0,0,0,14,0
867,0,860,0,0,0,20210220,7,0,0,0,14,0
867,0,860,0,0,0,20210221,7,0,0,0,14,0
867,0,860,0,0,0,20210222,7,0,0,0,14,0
868,1,860,0,1,1,20210223,7,0,0,0,14,0
869,1,860,0,2,1,20210224,7,0,0,0,14,0
869,0,860,0,2,0,20210225,7,0,0,0,14,0
869,0,860,0,2,0,20210226,7,0,0,0,14,0
869,0,860,0,2,0,20210227,7,0,0,0,14,0
869,0,860,0,2,0,20210228,7,0,0,0,14,0
869,0,860,0,2,0,20210301,7,0,0,0,14,0
869,0,860,0,2,0,20210302,7,0,0,0,14,0
869,0,860,0,2,0,20210303,7,0,0,0,14,0
869,0,861,1,1,-1,20210304,7,0,0,0,14,0
869,0,861,0,1,0,20210305,7,0,0,0,14,0
869,0,861,0,1,0,20210306,7,0,0,0,14,0
869,0,861,0,1,0,20210307,7,0,0,0,14,0
869,0,862,1,0,-1,20210308,7,0,0,0,14,0
869,0,862,0,0,0,20210309,7,0,0,0,14,0
869,0,862,0,0,0,20210310,7,0,0,0,14,0
869,0,862,0,0,0,20210311,7,0,0,0,14,0
869,0,862,0,0,0,20210312,7,0,0,0,14,0
869,0,862,0,0,0,20210313,7,0,0,0,14,0
869,0,862,0,0,0,20210314,7,0,0,0,14,0
869,0,862,0,0,0,20210315,7,0,0,0,14,0
869,0,862,0,0,0,20210316,7,0,0,0,14,0
869,0,862,0,0,0,20210317,7,0,0,0,14,0
869,0,862,0,0,0,20210318,7,0,0,0,14,0
869,0,862,0,0,0,20210319,7,0,0,0,14,0
869,0,862,0,0,0,20210320,7,0,0,0,14,0
869,0,862,0,0,0,20210321,7,0,0,0,14,0
869,0,862,0,0,0,20210322,7,0,0,0,14,0
869,0,862,0,0,0,20210323,7,0,0,0,14,0
869,0,862,0,0,0,20210324,7,0,0,0,14,0
869,0,862,0,0,0,20210325,7,0,0,0,14,0
869,0,862,0,0,0,20210326,7,0,0,0,14,0
869,0,862,0,0,0,20210327,7,0,0,0,14,0
869,0,862,0,0,0,20210328,7,0,0,0,14,0
869,0,862,0,0,0,20210329,7,0,0,0,14,0
869,0,862,0,0,0,20210330,7,0,0,0,14,0
870,1,862,0,1,1,20210331,7,0,0,0,14,0
870,0,862,0,1,0,20210401,7,0,0,0,14,0
870,0,862,0,1,0,20210402,7,0,0,0,14,0
870,0,862,0,1,0,20210403,7,0,0,0,14,0
870,0,862,0,1,0,20210404,7,0,0,0,14,0
870,0,862,0,1,0,20210405,7,0,0,0,14,0
871,1,862,0,2,1,20210406,7,0,0,0,14,0
871,0,862,0,2,0,20210407,7,0,0,0,14,0
871,0,862,0,2,0,20210408,7,0,0,0,14,0
872,1,862,0,3,1,20210409,7,0,0,0,14,0
872,0,862,0,3,0,20210410,7,0,0,0,14,0
873,1,862,0,4,1,20210411,7,0,0,0,14,0
873,0,862,0,4,0,20210412,7,0,0,0,14,0
873,0,862,0,4,0,20210413,7,0,0,0,14,0
873,0,862,0,4,0,20210414,7,0,0,0,14,0
876,3,862,0,7,3,20210415,7,0,0,0,14,0
876,0,862,0,7,0,20210416,7,0,0,0,14,0
876,0,862,0,7,0,20210417,7,0,0,0,14,0
876,0,862,0,7,0,20210418,7,0,0,0,14,0
876,0,862,0,7,0,20210419,7,0,0,0,14,0
876,0,862,0,7,0,20210420,7,0,0,0,14,0
876,0,862,0,7,0,20210421,7,0,0,0,14,0
876,0,862,0,7,0,20210422,7,0,0,0,14,0
876,0,862,0,7,0,20210423,7,0,0,0,14,0
876,0,862,0,7,0,20210424,7,0,0,0,14,0
876,0,864,2,5,-2,20210425,7,0,0,0,14,0
876,0,864,0,5,0,20210426,7,0,0,0,14,0
876,0,864,0,5,0,20210427,7,0,0,0,14,0
876,0,865,1,4,-1,20210428,7,0,0,0,14,0
876,0,866,1,3,-1,20210429,7,0,0,0,14,0
876,0,866,0,3,0,20210430,7,0,0,0,14,0
876,0,867,1,2,-1,20210501,7,0,0,0,14,0
876,0,867,0,2,0,20210502,7,0,0,0,14,0
878,2,868,1,3,1,20210503,7,0,0,0,14,0
879,1,868,0,4,1,20210504,7,0,0,0,14,0
879,0,868,0,4,0,20210505,7,0,0,0,14,0
879,0,868,0,4,0,20210506,7,0,0,0,14,0
879,0,869,1,3,-1,20210507,7,0,0,0,14,0
879,0,869,0,3,0,20210508,7,0,0,0,14,0
879,0,869,0,3,0,20210509,7,0,0,0,14,0
879,0,869,0,3,0,20210510,7,0,0,0,14,0
880,1,870,1,3,0,20210511,7,0,0,0,14,0
881,1,871,1,3,0,20210512,7,0,0,0,14,0
881,0,871,0,3,0,20210513,7,0,0,0,14,0
882,1,871,0,4,1,20210514,7,0,0,0,14,0
882,0,871,0,4,0,20210515,7,0,0,0,14,0
882,0,871,0,4,0,20210516,7,0,0,0,14,0
883,1,871,0,5,1,20210517,7,0,0,0,14,0
883,0,871,0,5,0,20210518,7,0,0,0,14,0
883,0,872,1,4,-1,20210519,7,0,0,0,14,0
883,0,872,0,4,0,20210520,7,0,0,0,14,0
883,0,872,0,4,0,20210521,7,0,0,0,14,0
883,0,872,0,4,0,20210522,7,0,0,0,14,0
883,0,872,0,4,0,20210523,7,0,0,0,14,0
883,0,872,0,4,0,20210524,7,0,0,0,14,0
883,0,872,0,4,0,20210525,7,0,0,0,14,0
883,0,872,0,4,0,20210526,7,0,0,0,14,0
883,0,873,1,3,-1,20210527,7,0,0,0,14,0
883,0,873,0,3,0,20210528,7,0,0,0,14,0
883,0,873,0,3,0,20210529,7,0,0,0,14,0
883,0,873,0,3,0,20210530,7,0,0,0,14,0
883,0,873,0,3,0,20210531,7,0,0,0,14,0
883,0,873,0,3,0,20210601,7,0,0,0,14,0
883,0,874,1,2,-1,20210602,7,0,0,0,14,0
883,0,874,0,2,0,20210603,7,0,0,0,14,0
883,0,874,0,2,0,20210604,7,0,0,0,14,0
883,0,875,1,1,-1,20210605,7,0,0,0,14,0
883,0,875,0,1,0,20210606,7,0,0,0,14,0
883,0,875,0,1,0,20210607,7,0,0,0,14,0
883,0,875,0,1,0,20210608,7,0,0,0,14,0
883,0,875,0,1,0,20210609,7,0,0,0,14,0
883,0,875,0,1,0,20210610,7,0,0,0,14,0
