小区名称,经度,纬度,街道名称,住户人数,建筑面积,机构名称
兴港社区海港小区,120.33568657586324,37.66199923331693,幸福街道,2500.0,380,兴港社区老年人活动中心
盛世社区东西福泰小区,121.35326603721732,37.58267496470773,幸福街道,1433.0,290,盛世社区老年人活动中心
龙海家园A区,121.36912301591,37.59164401022004,幸福街道,2078.0,2236.56,烟台市芝罘区 幸福龙海老年人颐养中心
龙海家园D区,121.3732499212534,37.588195809594126,幸福街道,1800.0,2236.56,烟台市芝罘区 幸福龙海老年人颐养中心
幸福河小区,121.35426899531922,37.57087902629908,幸福街道,3985.0,600,幸福河社区老年人活动中心
幸国里小区,121.35156940760064,37.57451215107808,幸福街道,2778.0,200,幸国里社区老年人活动中心
环海路小区,119.95001455600897,37.38307398188632,幸福街道,856.0,400,环海路社区老年人活动中心
万华小区,121.3642206932504,37.57101102345191,幸福街道,3228.0,640,万华日间照料中心
幸芝里社区幸芝里小区,121.36246127207856,37.57940587227388,幸福街道,2523.0,600,幸芝里社区老年人活动中心
福源路居委福源路小区,120.30189295139172,37.35229599395748,幸福街道,2629.0,450,福源路社区老年人活动中心
幸福街道福茂社区福茂小区,121.35950369101752,37.58419417654411,幸福街道,3113.0,500,福茂社区老年人活动中心
支农里社区支农里小区,121.37164087642392,37.570251285797696,幸福街道,2952.0,670.9,支农里社区日间照料中心
福学居委,121.45441541730196,37.470038383730525,幸福街道,1114.0,310,福学居委老年人活动中心
胜利小区,121.39968336935948,37.537766891670415,向阳,3016.0,1800,友谊街社区、建昌街社区日间照料中心
万达公馆,121.4009835767546,37.53852159820519,向阳,860.0,500,友谊街社区日间照料中心
西山小区,120.71653550360388,36.9873665503101,通伸,1632.0,600,西炮台社区老年人活动中心
同和馨园,121.36930438379248,37.55414071971268,通伸,246.0,600,西炮台社区老年人活动中心
芝罘屯,121.36457830867391,37.56512548019419,通伸,895.0,350,芝罘屯社区老年人活动中心
西山,102.67155712350362,25.043198760946844,通伸,782.0,350,芝罘屯社区老年人活动中心
永恒,121.45441541730196,37.470038383730525,通伸,539.0,350,芝罘屯社区老年人活动中心
铁路小区,121.35978638776147,37.565732240484266,通伸,469.0,444,前进路社区老年人活动中心
阳光御景,119.959654182606,37.198064443177245,通伸,498.0,444,前进路社区老年人活动中心
西山颐苑,121.37263170740144,37.55343845477627,通伸,468.0,444,前进路社区老年人活动中心
供销家园,121.3729478211104,37.557007713764,通伸,362.0,444,前进路社区老年人活动中心
钢厂小区,121.45441541730196,37.470038383730525,通伸,168.0,444,前进路社区老年人活动中心
烟铁家园,121.37517984081104,37.55973671526377,通伸,320.0,444,前进路社区老年人活动中心
三水佳苑,121.38679690732717,37.55257804775784,通伸,168.0,500,慎礼社区老年人活动中心
新建东巷,121.3865875123128,37.55295196485669,通伸,196.0,500,慎礼社区老年人活动中心
新建西巷,121.38552230163909,37.553418357270246,通伸,112.0,500,慎礼社区老年人活动中心
三明街,121.3858276356819,37.554128811517785,通伸,244.0,500,慎礼社区老年人活动中心
永安里,121.38415049929478,37.55378769277157,通伸,408.0,500,慎礼社区老年人活动中心
青年路,120.33496847493008,37.68524060635512,通伸,100.0,500,慎礼社区老年人活动中心
数码港,121.45441541730196,37.470038383730525,通伸,210.0,500,慎礼社区老年人活动中心
交通委家属楼,121.3834373345504,37.55251417840851,通伸,212.0,500,慎礼社区老年人活动中心
集贤街,121.3841933484676,37.554486879014,通伸,108.0,500,慎礼社区老年人活动中心
西盛街,121.4526107215324,37.49027070729453,通伸,201.0,500,慎礼社区老年人活动中心
西盛四巷,121.45441541730196,37.470038383730525,通伸,84.0,500,慎礼社区老年人活动中心
西盛五巷,121.38194155167284,37.548796058910696,通伸,156.0,500,慎礼社区老年人活动中心
南大街,120.35118378319916,37.476207785716085,通伸,90.0,500,慎礼社区老年人活动中心
东方巴黎小区,121.37693728571077,37.55238658258898,通伸,2911.0,992,怡邻健康客厅
木钟厂小区,121.45441541730196,37.470038383730525,通伸,491.0,992,怡邻健康客厅
北极星花园小区,121.37516870182272,37.55076379344367,通伸,312.0,992,怡邻健康客厅
中萃苑小区,121.37805702352894,37.54909805333693,通伸,240.0,992,怡邻健康客厅
公路局小区,121.45023632040844,37.50744220714899,通伸,50.0,992,怡邻健康客厅
公路局小区,121.45023632040844,37.50744220714899,通伸,30.0,992,怡邻健康客厅
通伸北街,121.38057479421232,37.55213003135904,通伸,30.0,992,怡邻健康客厅
怡丰佳苑,121.3740015334736,37.50883042868061,世回尧,344.0,1000,联华社区党群服务中心
金帝佳园,121.36898916838902,37.51013017203717,世回尧,300.0,1000,联华社区党群服务中心
馨逸园,121.36429086429548,37.48781181023216,世回尧,1022.0,2000,下曲家日间照料中心
阳光上城,121.36723657433906,37.52080148853396,世回尧,1216.0,300,上尧社区党群服务中心
润鼎家园,121.37558497659604,37.516218595378575,世回尧,242.0,316,世联社区党群服务中心
中拓假日,121.37283840749927,37.51274833918747,世回尧,472.0,316,世联社区党群服务中心
奇南社区,121.4085238633748,37.52299412436798,奇山街道,3560.0,800,奇南社区日间照料中心
,121.45441541730196,37.470038383730525,奇山街道党群服务中心,,,
四眼桥社区,121.40793098173822,37.53207801646692,奇山街道,2722.0,450,四眼桥社区日间照料中心
塔山社区,120.9351367121682,37.71118837785661,奇山街道,3260.0,800,塔山社区日间照料中心
迎东社区,121.45441541730196,37.470038383730525,奇山街道,2161.0,600,迎东社区党群服务中心
上夼西路社区,121.40481844297668,37.52643699817387,奇山街道,4680.0,740,上夼西路社区日间照料中心
迎西社区,121.45441541730196,37.470038383730525,奇山街道,2460.0,460,迎西社区党群服务中心
长生社区,121.43804227226322,37.53622562107735,奇山街道,3721.0,667,长生社区党群服务中心
奇中社区,121.45441541730196,37.470038383730525,奇山街道,4039.0,630,奇中社区日间照料中心
山水龙城,121.3815198116088,37.49136018431507,黄务,1200.0,200,社区党群活动室
山水龙城8区,121.38258879516567,37.484974847615575,黄务,1028.0,200,社区党群活动室
姜家社区,121.36580178062952,37.46504792165666,黄务,4500.0,2567.3,烟台颐养院养老服务中心有限公司
鑫凤小区,121.36494751223852,37.47709700331336,黄务,780.0,120,卧龙社区党群活动室
初家卧龙小区,121.37822930114356,37.48769928468308,黄务,580.0,200,社区党群活动室
竹林苑,120.67080636331296,36.98974742181618,黄务,660.0,200,社区党群活动室
魁玉花园,121.35339503388856,37.4971459549632,黄务,966.0,200,社区党群活动室
桦林颐和园,121.35170774664915,37.49689157408324,黄务,1334.0,2300,金色家园老年公寓
通世新城小区,121.38381731778112,37.47724577796915,黄务,2300.0,2300,金色家园老年公寓
优山美地,121.38397622802584,37.47938271609915,黄务,850.0,2300,金色家园老年公寓
朗郡,121.3830545665726,37.47497976010237,黄务,850.0,2300,金色家园老年公寓
山水龙城L区,121.38345377354123,37.4810397887202,黄务,200.0,2300,金色家园老年公寓
现代山水田园小区,121.3629880384296,37.43339896188277,黄务,150.0,2300,金色家园老年公寓
蓁山社区,121.35341434745702,37.51624299643886,黄务,4150.0,3800,东方老年颐养中心
柏林春天,121.36022242525604,37.45403826208463,黄务,1000.0,2567.3,烟台颐养院养老服务中心有限公司
朱家疃小区,121.3619277684362,37.45241037925397,黄务,200.0,2567.3,烟台颐养院养老服务中心有限公司
三和绿景,121.35556560949232,37.47583885035542,黄务,896.0,300,街道党群活动室
三合佳苑,121.35764554607012,37.47556255931036,黄务,455.0,300,街道党群活动室
金苹果公寓,121.35815596326088,37.47430001282765,黄务,472.0,300,街道党群活动室
中正山庄,121.35596652324143,37.50454380464321,黄务,1752.0,3800,东方老年颐养中心
卧龙社区,112.54146183375732,32.99248379752679,黄务,1739.0,330,社区党群活动室
昊佳花园,121.35264342166838,37.47613647601664,黄务,1800.0,300,街道党群活动室
红星国际广场,121.36106296972171,37.470310972080696,黄务,1040.0,330,社区党群活动室
富甲小区,121.35488963459606,37.50087073820741,黄务,2529.0,3800,东方老年颐养中心
傅家小区,121.3533186779202,37.49865439987797,黄务,522.0,3800,东方老年颐养中心
福兴佳苑小区,121.36111372398304,37.49556389784521,黄务,696.0,3800,东方老年颐养中心
锦绣新天地,121.33076833504214,37.471924141873,黄务,3017.0,510,社区党群活动室
建城西府,121.35222157740088,37.54826592023138,凤凰台,1115.0,150,烟台宝云综合养老服务中心
佳隆公馆,121.33801029440248,37.54472134596786,凤凰台,206.0,31,烟台市芝罘区凤凰台街道社区老年人日间照料中心
一街4-11单元,121.45441541730196,37.470038383730525,凤凰台,96.0,14,烟台市芝罘区凤凰台街道社区老年人日间照料中心
越秀星汇凤凰,121.33675113956916,37.54846197375187,凤凰台,1500.0,105,中台社区老年人活动中心
世嘉岭秀,121.35551898743635,37.54763999031592,凤凰台,801.0,120,中台社区老年人活动中心
世茂小区,121.4132399673022,37.54550802652546,东山街道,515.0,2700,烟台恒爱养老院
天鸿小区,121.45050042222836,37.52493684673329,东山街道,430.0,2700,烟台恒爱养老院
上夼,121.2463089323496,37.51309991621482,,730.0,109.5,上夼社区日间照料中心
松霞新苑南小区,121.27692902311549,37.51650210514855,,1051.0,500,宋家疃社区日间照料中心
清洋街道宋家疃松霞新苑北小区,121.2765923294698,37.51907027940736,,673.0,0,宋家疃社区日间照料中心
清洋街道宋家疃银河小区,121.28270548686682,37.5171370285652,,792.0,0,宋家疃社区日间照料中心
福惠社区福惠花园小区,120.41003626868536,37.35967595289321,,3311.0,1600,烟台市福山区  馨悦居家养老  服务中心
福惠社区悦榕湾小区,121.27263781769427,37.485976852163965,,332.0,0,烟台市福山区  馨悦居家养老  服务中心
星河城社区北方家纺小区,121.26440969854512,37.52177467368505,,284.0,0,鸿福居家养老服务中心
星河城社区格中家属楼小区,121.27842398314516,37.51479909814837,,118.0,0,鸿福居家养老服务中心
星河城小区,121.2624370196452,37.51721695711592,,3693.0,560,鸿福居家养老服务中心
福利莱,121.27214141406948,37.51443636597555,,,,
2921,121.45441541730196,37.470038383730525,万和城,300.0,盛泉集团,
史家庄,120.43889630946556,37.606579014638285,,300.0,300,史家庄居委会
颐景园小区,121.24934457615949,37.51659076434129,,560.0,800,下夼居委会
乡村记忆小区,121.21619009605833,37.47883230721227,,1900.0,300,乡村记忆社区
福园小区,121.29010545816637,37.5296152840461,,580.0,300,馨悦居家养老
玉森明珠小区,121.29011327342432,37.53158609180916,,860.0,,馨悦居家养老
门楼镇富丽社区富丽新城小区（A区、B区）,121.29619246613254,37.46597886821858,,1700.0,430,富丽社区
门楼镇卫城润景社区卫城润景小区,121.29051853216936,37.48201613988373,,850.0,1800,卫家疃村委
东莱街道南苑社南苑小区,120.52276175255489,37.64082379575882,东莱街道,900.0,135,恒康日间照料中心
东莱街道柳莺社区柳莺小区,120.52108263989562,37.64510258712296,东莱街道,486.0,72.9,恒康日间照料中心
东莱街道柳莺社区新园小区,120.52354130207644,37.640339239008185,东莱街道,75.0,11.25,恒康日间照料中心
东莱街道柳莺社区秋林小区,120.52108263989562,37.64510258712296,东莱街道,35.0,5.25,恒康日间照料中心
东莱街道怡园社区怡园小区,120.52672193239562,37.64308151815966,东莱街道,1742.0,261.3,恒康日间照料中心
东莱街道怡园社区怡园北区,120.52615025076906,37.64524152330837,东莱街道,383.0,57.45,恒康日间照料中心
东莱街道怡园社区怡园南区,120.52723037331428,37.64163402638915,东莱街道,1130.0,169.5,恒康日间照料中心
东莱街道怡园社区建行小区,120.52320722225728,37.647199959892966,东莱街道,80.0,12,林苑养老服务中心
东莱街道怡园社区混合二层,120.52888172833326,37.64023622653273,东莱街道,84.0,12.6,林苑养老服务中心
东莱街道怡园社区边防小区,120.52888172833326,37.64023622653273,东莱街道,12.0,1.8,林苑养老服务中心
东莱街道润新社区南沙沟小区1、2号楼,120.52366203433698,37.65543200995478,东莱街道,56.0,8.4,润新养老服务中心
东莱街道怡园社区南沙沟小区3、4号楼,120.52888172833326,37.64023622653273,东莱街道,81.0,12.15,润新养老服务中心
东莱街道润新社区皮鞋厂小区,120.54342933691458,37.64934570143095,东莱街道,40.0,6,润新养老服务中心
东莱街道润新社区老干部小区,120.52366203433698,37.65543200995478,东莱街道,16.0,2.4,润新养老服务中心
东莱街道润新社区龙丰小区,120.5485972109448,37.67154317917488,东莱街道,60.0,9,润新养老服务中心
东莱街道润新社区沿河路小区5、6、7号楼,120.52366203433698,37.65543200995478,东莱街道,120.0,18,润新养老服务中心
东莱街道润新社区外贸小区,120.52366203433698,37.65543200995478,东莱街道,80.0,12,润新养老服务中心
东莱街道润新社区邮政小区,120.52366203433698,37.65543200995478,东莱街道,66.0,9.9,润新养老服务中心
东莱街道润新社区建行小区,120.52320722225728,37.647199959892966,东莱街道,12.0,1.8,润新养老服务中心
东莱街道润新社区润新小区,120.53730199503104,37.64877105740508,东莱街道,222.0,33.3,润新养老服务中心
东莱街道润新社区二实小小区,120.53654283704456,37.65026469398017,东莱街道,30.0,4.5,润新养老服务中心
东莱街道润新社区南巷商贸街,120.53453754965464,37.6516169478767,东莱街道,88.0,13.2,润新养老服务中心
东莱街道润新社区信用社家属楼,120.52366203433698,37.65543200995478,东莱街道,35.0,5.25,润新养老服务中心
东莱街道润新社区房产小区,120.539954691202,37.64852205550618,东莱街道,15.0,2.25,润新养老服务中心
东莱街道润新社区南巷北区,120.5344136725253,37.65245085707596,东莱街道,75.0,11.25,润新养老服务中心
东莱街道润新社区药材家属区,120.52366203433698,37.65543200995478,东莱街道,20.0,3,润新养老服务中心
东莱街道润新社区食品公司小区,120.52366203433698,37.65543200995478,东莱街道,120.0,18,润新养老服务中心
东莱街道润新社区二厂小区,120.5269144392664,37.64762297021302,东莱街道,333.0,49.95,润新养老服务中心
东莱街道润新社区北二厂小区,120.5269144392664,37.64762297021302,东莱街道,30.0,4.5,润新养老服务中心
东莱街道润新社区二轻小区,120.52861771634387,37.64779833092172,东莱街道,145.0,21.75,润新养老服务中心
东莱街道润新社区农机小区,120.52366203433698,37.65543200995478,东莱街道,88.0,13.2,润新养老服务中心
东莱街道润新社区农机局家属楼,120.52607865581992,37.660722015577846,东莱街道,30.0,4.5,润新养老服务中心
东莱街道润新社区苗圃小区,120.52366203433698,37.65543200995478,东莱街道,56.0,8.4,润新养老服务中心
东莱街道润新社区房管小区,120.52366203433698,37.65543200995478,东莱街道,80.0,12,润新养老服务中心
东莱街道润新社区典当行小区,120.52366203433698,37.65543200995478,东莱街道,60.0,9,润新养老服务中心
东莱街道菜园社区城建开发二节,120.52791919397932,37.6387279559502,东莱街道,48.0,7.2,龙报日间照料中心
东莱街道菜园社区汇丰家属楼,120.53761999518156,37.644089023648256,东莱街道,20.0,3,龙报日间照料中心
东莱街道菜园社区锅检所家属楼,120.53761999518156,37.644089023648256,东莱街道,16.0,2.4,龙报日间照料中心
东莱街道菜园社区李巷小黄楼,120.53761999518156,37.644089023648256,东莱街道,27.0,4.05,龙报日间照料中心
东莱街道菜园社区建材小区,120.5425664246417,37.64689316517384,东莱街道,66.0,9.9,龙报日间照料中心
东莱街道菜园社区皮鞋厂家属楼,120.54342933691458,37.64934570143095,东莱街道,54.0,8.1,龙报日间照料中心
东莱街道菜园社区劳动局小区,120.5353682127597,37.646211712028965,东莱街道,92.0,13.8,龙报日间照料中心
东莱街道菜园社区劳服家属楼,120.53761999518156,37.644089023648256,东莱街道,55.0,8.25,龙报日间照料中心
东莱街道菜园社区农信社家属楼,120.53761999518156,37.644089023648256,东莱街道,48.0,7.2,龙报日间照料中心
东莱街道菜园社区中国行家属楼,120.53761999518156,37.644089023648256,东莱街道,32.0,4.8,龙报日间照料中心
东莱街道菜园社区一轻局家属楼,120.53761999518156,37.644089023648256,东莱街道,30.0,4.5,龙报日间照料中心
东莱街道菜园社区公七号,120.53761999518156,37.644089023648256,东莱街道,30.0,4.5,龙报日间照料中心
东莱街道菜园社区国土局家属楼,120.53761999518156,37.644089023648256,东莱街道,24.0,3.6,龙报日间照料中心
东莱街道菜园社区地税局家属楼,120.53761999518156,37.644089023648256,东莱街道,24.0,3.6,龙报日间照料中心
东莱街道菜园社区南生活区5节,120.53761999518156,37.644089023648256,东莱街道,382.0,57.3,龙报日间照料中心
东莱街道菜园社区财源小区,120.5371854848064,37.64426346413768,东莱街道,740.0,111,龙报日间照料中心
东莱街道菜园社区恒鑫小区,120.5316906398324,37.64341490227994,东莱街道,185.0,27.75,龙报日间照料中心
东莱街道菜园社区黄金局家属楼,120.53761999518156,37.644089023648256,东莱街道,67.0,10.05,龙报日间照料中心
东莱街道菜园社区黄金小区,120.530763408885,37.6468350918969,东莱街道,110.0,16.5,龙报日间照料中心
东莱街道博士社区博士小区,120.52473694671022,37.66033707477385,东莱街道,922.0,138.3,松园社区日间照料中心
东莱街道博士社区农行小区,120.47246401010128,37.62317910346817,东莱街道,91.0,13.65,松园社区日间照料中心
东莱街道博士社区乡企局小区,120.52473694671022,37.66033707477385,东莱街道,264.0,39.6,松园社区日间照料中心
东莱街道博士社区北巷村住宅楼,120.53419098338888,37.65671681871161,东莱街道,30.0,4.5,松园社区日间照料中心
东莱街道博士社区广电局小区,120.52363203093294,37.65433252325405,东莱街道,52.0,7.8,松园社区日间照料中心
东莱街道西关社区北巷小区,120.53381180863312,37.65558028298645,东莱街道,1200.0,180,林苑养老服务中心
东莱街道西关社区博士西小区,120.52473694671022,37.66033707477385,东莱街道,160.0,24,林苑养老服务中心
东莱街道西关社区装潢公司宿舍楼,120.52366203433698,37.65543200995478,东莱街道,12.0,1.8,林苑养老服务中心
东莱街道西关社区康达小区,120.53221309431702,37.66009475386239,东莱街道,64.0,9.6,林苑养老服务中心
东莱街道西关社区九七小区,120.52366203433698,37.65543200995478,东莱街道,143.0,21.45,林苑养老服务中心
东莱街道西关社区二厂家属楼（一栋楼无人居住）,120.52714045293273,37.64690816564385,东莱街道,92.0,13.8,林苑养老服务中心
东莱街道西关社区博渠单元楼,120.52692944096842,37.65437694872031,东莱街道,156.0,23.4,林苑养老服务中心
东莱街道西关社区博渠二层楼,120.52692944096842,37.65437694872031,东莱街道,60.0,9,林苑养老服务中心
东莱街道育才社区南段小区,120.53460591070392,37.649829341796575,东莱街道,120.0,18,润新养老服务中心
东莱街道育才社区育才小区,120.54769503045928,37.65940499548356,东莱街道,506.0,75.9,润新养老服务中心
东莱街道育才社区农技中心家属楼,120.52366203433698,37.65543200995478,东莱街道,50.0,7.5,润新养老服务中心
东莱街道育才社区农房家属楼,120.52366203433698,37.65543200995478,东莱街道,32.0,4.8,润新养老服务中心
东莱街道育才社区聋哑学校家属楼,120.52366203433698,37.65543200995478,东莱街道,30.0,4.5,润新养老服务中心
东莱街道育才社区滨河小区,120.52366203433698,37.65543200995478,东莱街道,289.0,43.35,润新养老服务中心
东莱街道育才社区计量局家属楼,120.52366203433698,37.65543200995478,东莱街道,85.0,12.75,润新养老服务中心
东莱街道育才社区交通委家属楼,120.52366203433698,37.65543200995478,东莱街道,24.0,3.6,润新养老服务中心
东莱街道育才社区劳服家属楼,120.52366203433698,37.65543200995478,东莱街道,28.0,4.2,润新养老服务中心
东莱街道育才社区北海医院家属楼,120.54659900790656,37.65394997745454,东莱街道,127.0,19.05,润新养老服务中心
东莱街道沁园社区沁园小区,120.5465204595158,37.64712348011062,东莱街道,1132.0,169.8,龙报日间照料中心
东莱街道沁园社区沁园新区,120.5465204595158,37.64712348011062,东莱街道,400.0,60,龙报日间照料中心
东莱街道沁园社区劳服小区,120.5555544850272,37.6425792603825,东莱街道,205.0,30.75,龙报日间照料中心
东莱街道沁园社区凤仪、东关小区,120.54704169286188,37.64527552513181,东莱街道,83.0,12.45,龙报日间照料中心
东莱街道丽园社区站北新村,120.5403099710312,37.662170988988464,东莱街道,196.0,29.4,怡静日间照料中心
东莱街道丽园社区家电小区,120.5403099710312,37.662170988988464,东莱街道,40.0,6,怡静日间照料中心
东莱街道丽园社区交警小区,120.5403099710312,37.662170988988464,东莱街道,90.0,13.5,遇家日间照料中心
东莱街道丽园社区宋家疃小区,120.5389134652854,37.66762832568615,东莱街道,130.0,19.5,怡静日间照料中心
东莱街道丽园社区北关小区,120.5403099710312,37.662170988988464,东莱街道,100.0,15,遇家日间照料中心
东莱街道丽园社区发达小区,120.54204603625978,37.66521189071097,东莱街道,428.0,64.2,遇家日间照料中心
东莱街道丽园社区西渠小区,120.5403099710312,37.662170988988464,东莱街道,520.0,78,怡静日间照料中心
东莱街道丽园社区黄城开发,120.5403099710312,37.662170988988464,东莱街道,63.0,9.45,怡静日间照料中心
东莱街道丽园社区公路局小区,120.5388210296484,37.66267304173039,东莱街道,64.0,9.6,怡静日间照料中心
东莱街道丽园社区站北小区,120.53381180863312,37.65558028298645,东莱街道,248.0,37.2,怡静日间照料中心
东莱街道怡静社区电业新区,120.53491627525764,37.66378075935842,东莱街道,80.0,12,怡静日间照料中心
东莱街道怡静社区电业老区,120.53537890259528,37.66399885871808,东莱街道,88.0,13.2,怡静日间照料中心
东莱街道怡静社区干休所,120.53537890259528,37.66399885871808,东莱街道,49.0,7.35,怡静日间照料中心
东莱街道怡静社区站北新村,120.53537890259528,37.66399885871808,东莱街道,96.0,14.4,怡静日间照料中心
东莱街道怡静社区交通楼,120.53537890259528,37.66399885871808,东莱街道,24.0,3.6,怡静日间照料中心
东莱街道怡静社区南涧楼,120.53537890259528,37.66399885871808,东莱街道,60.0,9,怡静日间照料中心
东莱街道怡静社区民政楼,120.53537890259528,37.66399885871808,东莱街道,18.0,2.7,怡静日间照料中心
东莱街道怡静社区税务楼,120.53537890259528,37.66399885871808,东莱街道,48.0,7.2,怡静日间照料中心
东莱街道怡静社区外贸楼,120.53537890259528,37.66399885871808,东莱街道,23.0,3.45,怡静日间照料中心
东莱街道怡静社区辛店小区,120.53537890259528,37.66399885871808,东莱街道,62.0,9.3,怡静日间照料中心
东莱街道怡静社区纺织楼,120.53537890259528,37.66399885871808,东莱街道,32.0,4.8,怡静日间照料中心
东莱街道怡静社区东立楼,120.53537890259528,37.66399885871808,东莱街道,45.0,6.75,怡静日间照料中心
东莱街道开元社区福海苑,120.53511857365848,37.6594348484857,东莱街道,85.0,12.75,怡静日间照料中心
东莱街道开元社区康达小区,120.53221309431702,37.66009475386239,东莱街道,140.0,21,怡静日间照料中心
东莱街道开元社区物价楼,120.52366203433698,37.65543200995478,东莱街道,30.0,4.5,怡静日间照料中心
东莱街道开元社区环保楼,120.52366203433698,37.65543200995478,东莱街道,45.0,6.75,怡静日间照料中心
东莱街道开元社区人大楼,120.52366203433698,37.65543200995478,东莱街道,15.0,2.25,怡静日间照料中心
东莱街道开元社区药材楼,120.53391888664991,37.66024237474248,东莱街道,30.0,4.5,怡静日间照料中心
东莱街道开元社区外贸楼,120.52366203433698,37.65543200995478,东莱街道,20.0,3,怡静日间照料中心
东莱街道开元社区印刷小区,120.53391888664991,37.66024237474248,东莱街道,220.0,33,怡静日间照料中心
东莱街道开元社区财政楼,120.52366203433698,37.65543200995478,东莱街道,18.0,2.7,怡静日间照料中心
东莱街道开元社区纺机楼,120.52366203433698,37.65543200995478,东莱街道,40.0,6,怡静日间照料中心
东莱街道开元社区博渠楼,120.52366203433698,37.65543200995478,东莱街道,60.0,9,怡静日间照料中心
东莱街道开元社区西生活区,120.52856543496318,37.65941785084481,东莱街道,652.0,97.8,怡静日间照料中心
东莱街道开元社区百盈小区,120.52950488286552,37.66216577562056,东莱街道,112.0,16.8,怡静日间照料中心
东莱街道林苑社区牛据小区,120.51851429461205,37.64961134331281,东莱街道,280.0,42,林苑养老服务中心
东莱街道林苑社区林业小区,120.51851429461205,37.64961134331281,东莱街道,20.0,3,林苑养老服务中心
东莱街道林苑社区二圣庙小区,120.51851429461205,37.64961134331281,东莱街道,348.0,52.2,林苑养老服务中心
东莱街道松隽社区水务小区,120.514619601243,37.66079021916527,东莱街道,130.0,19.5,松园日间照料中心
东莱街道松园社区大店小区,120.51475299961122,37.65645798750965,东莱街道,340.0,51,松园日间照料中心
东莱街道文圣社区政法小区,120.53805279877628,37.65406996962948,东莱街道,232.0,34.8,林苑养老服务中心
东莱街道文圣社区花园小区,120.53923964001604,37.65678888275572,东莱街道,109.0,16.35,林苑养老服务中心
东莱街道文圣社区放映小区,120.53923964001604,37.65678888275572,东莱街道,46.0,6.9,林苑养老服务中心
东莱街道文圣社区东北隅小区,120.53923964001604,37.65678888275572,东莱街道,102.0,15.3,林苑养老服务中心
东莱街道文圣社区工商楼,120.53923964001604,37.65678888275572,东莱街道,64.0,9.6,林苑养老服务中心
东莱街道文圣社区物资楼,120.53923964001604,37.65678888275572,东莱街道,32.0,4.8,林苑养老服务中心
东莱街道文圣社区公园新村,120.54372586756344,37.65894955715311,东莱街道,262.0,39.3,林苑养老服务中心
东莱街道文圣社区北大街楼,120.53923964001604,37.65678888275572,东莱街道,151.0,22.65,林苑养老服务中心
东莱街道文圣社区乐凯小区,120.53923964001604,37.65678888275572,东莱街道,36.0,5.4,林苑养老服务中心
东莱街道文圣社区富龙小区,120.5380054580759,37.66110152667446,东莱街道,186.0,27.9,林苑养老服务中心
东莱街道文圣社区开发小区,120.53923964001604,37.65678888275572,东莱街道,80.0,12,林苑养老服务中心
东莱街道文圣社区工业楼,120.53923964001604,37.65678888275572,东莱街道,15.0,2.25,林苑养老服务中心
东莱街道文圣社区农业楼,120.53923964001604,37.65678888275572,东莱街道,24.0,3.6,林苑养老服务中心
