序号,机构地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
53,五莲县街头镇驻地,119.27499267206609,35.61298017736559,0,25,乡镇,bd09,,删除
54,五莲县许孟镇驻地,119.33193131766329,35.8663869920158,0,25,乡镇,bd09,,删除
55,五莲县洪凝镇前旋子村,119.24968812449443,35.74972272780542,0,50,村庄,bd09,,删除
56,五莲县高泽镇驻地,119.21558036258607,35.75569710410426,0,20,区县,bd09,,删除
57,五莲县松柏镇驻地,119.32262711834369,35.74598240685176,0,25,乡镇,bd09,,删除
58,五莲县汪湖镇驻地,119.10567672581507,35.91554883178128,0,25,乡镇,bd09,,删除
59,五莲县中至镇驻地,119.12924772341358,35.78829171593294,0,25,乡镇,bd09,,删除
60,五莲县户部乡驻地,119.42465908359188,35.736701142658205,0,25,乡镇,bd09,,删除
61,五莲县石场乡驻地,119.1461075703776,35.65612566901346,0,25,乡镇,bd09,,删除
62,莒县北坛路东首,118.84021684761156,35.602230687554446,0,30,道路,bd09,,删除
63,莒县寨里河镇驻地,118.93158395018418,35.46998243260702,0,25,乡镇,bd09,,删除
64,莒县小店镇驻地,118.81006989435781,35.42248412304321,0,25,乡镇,bd09,,删除
65,日照市莒县招贤镇驻地招贤南路1号,118.92289589861387,35.71870963001518,0,80,门址,bd09,,删除
66,莒县龙山镇长安路99号,119.00796803549477,35.51241789060429,1,80,门址,bd09,,删除
67,莒县桑园镇,119.04601217214784,35.678552649144294,0,25,乡镇,bd09,,删除
68,莒县夏庄镇驻地,118.7006742493527,35.41952512442019,0,25,乡镇,bd09,,删除
69,莒县洛河镇驻地,118.83380330559253,35.7535760820712,0,25,乡镇,bd09,,删除
70,莒县碁山镇驻地，莒县碁山镇天宝路2号,118.89435053425386,35.87486465480724,0,30,道路,bd09,,删除
71,莒县东莞镇驻地,118.97214585752063,35.99182610165766,0,25,乡镇,bd09,,删除
72,莒县陵阳镇泰安路379号,118.83855203769572,35.55574205808599,0,80,门址,bd09,,删除
73,莒县浮来山镇驻地，莒县浮来山镇天宁路35号,118.80230251610469,35.63333854381556,1,80,门址,bd09,,删除
74,莒县安庄镇驻地,118.81507642045658,35.812024295965045,0,25,乡镇,bd09,,删除
75,莒县刘官庄镇驻地,118.80112322063117,35.52220151683903,0,25,乡镇,bd09,,删除
76,莒县店子集镇驻地,118.90677670454282,35.584404147065115,0,25,乡镇,bd09,,删除
77,莒县库山乡驻地,118.9799089239073,35.923040074853105,0,25,乡镇,bd09,,删除
78,莒县峤山镇驻地，莒县峤山镇河北村,119.01671133285393,35.610649694549515,0,50,村庄,bd09,,删除
79,莒县阎庄镇驻地,118.84353824240415,35.585872122989336,0,20,区县,bd09,,删除
80,日照市莒县长岭镇长岭大道166号,118.84412519522436,35.48467689020182,0,25,乡镇,bd09,,删除
81,莒县果庄镇驻地,118.76921244450857,35.77904002765127,0,25,乡镇,bd09,,删除
