机构地址,经度,纬度,机构名称,联系电话
五莲县户部乡驻地,119.42465908359188,35.736701142658205,五莲县户部乡卫生院,0633-5401005
五莲县石场乡驻地,119.1461075703776,35.65612566901346,五莲县石场乡卫生院,0633-5591005
五莲县石场乡驻地,119.1461075703776,35.65612566901346,五莲县石场乡卫生院,0633-5591005
莒县北坛路东首,118.84021684761156,35.602230687554446,莒县城阳卫生院,0633-6206071
莒县北坛路东首,118.84021684761156,35.602230687554446,莒县城阳卫生院,0633-6206071
莒县寨里河镇驻地,118.93158395018418,35.46998243260702,莒县寨里河卫生院,0633-6461135
莒县寨里河镇驻地,118.93158395018418,35.46998243260702,莒县寨里河卫生院,0633-6461135
莒县小店镇驻地,118.8100698943578,35.42248412304321,莒县小店中心卫生院,0633-6661050
莒县小店镇驻地,118.8100698943578,35.42248412304321,莒县小店中心卫生院,0633-6661050
日照市莒县招贤镇驻地招贤南路1号,118.92289589861387,35.71870963001518,莒县招贤中心卫生院,0633-6721077
日照市莒县招贤镇驻地招贤南路1号,118.92289589861387,35.71870963001518,莒县招贤中心卫生院,0633-6721077
莒县龙山镇长安路99号,119.00796803549476,35.51241789060429,莒县龙山中心卫生院,0633-6755220
莒县龙山镇长安路99号,119.00796803549476,35.51241789060429,莒县龙山中心卫生院,0633-6755220
莒县桑园镇,119.04601217214784,35.678552649144294,莒县桑园卫生院,0633-6681019
莒县桑园镇,119.04601217214784,35.678552649144294,莒县桑园卫生院,0633-6681019
莒县夏庄镇驻地,118.7006742493527,35.41952512442019,莒县夏庄卫生院,0633-6861012
莒县夏庄镇驻地,118.7006742493527,35.41952512442019,莒县夏庄卫生院,0633-6861012
莒县洛河镇驻地,118.83380330559253,35.7535760820712,莒县洛河卫生院,0633-6831026
莒县洛河镇驻地,118.83380330559253,35.7535760820712,莒县洛河卫生院,0633-6831026
莒县碁山镇驻地，莒县碁山镇天宝路2号,118.89435053425386,35.87486465480724,莒县碁山卫生院,0633-6511027
莒县碁山镇驻地，莒县碁山镇天宝路2号,118.89435053425386,35.87486465480724,莒县碁山卫生院,0633-6511027
莒县东莞镇驻地,118.97214585752064,35.99182610165766,莒县东莞卫生院,0633-6542666
莒县东莞镇驻地,118.97214585752064,35.99182610165766,莒县东莞卫生院,0633-6542666
莒县陵阳镇泰安路379号,118.83855203769572,35.55574205808599,莒县陵阳卫生院,0633-6791034
莒县陵阳镇泰安路379号,118.83855203769572,35.55574205808599,莒县陵阳卫生院,0633-6791034
莒县浮来山镇驻地，莒县浮来山镇天宁路35号,118.80230251610467,35.63333854381556,莒县浮来山卫生院,0633-6626424
莒县浮来山镇驻地，莒县浮来山镇天宁路35号,118.80230251610467,35.63333854381556,莒县浮来山卫生院,0633-6626424
莒县安庄镇驻地,118.81507642045658,35.812024295965045,莒县安庄镇卫生院,0633-6871031
莒县安庄镇驻地,118.81507642045658,35.812024295965045,莒县安庄镇卫生院,0633-6871031
莒县刘官庄镇驻地,118.80112322063115,35.52220151683903,莒县刘官庄卫生院,0633-6782120
莒县刘官庄镇驻地,118.80112322063115,35.52220151683903,莒县刘官庄卫生院,0633-6782120
莒县店子集镇驻地,118.90677670454282,35.584404147065115,莒县店子集镇卫生院,0633-6481030
莒县店子集镇驻地,118.90677670454282,35.584404147065115,莒县店子集镇卫生院,0633-6481030
莒县库山乡驻地,118.9799089239073,35.923040074853105,莒县库山乡卫生院,0633-6561024
莒县库山乡驻地,118.9799089239073,35.923040074853105,莒县库山乡卫生院,0633-6561024
莒县峤山镇驻地，莒县峤山镇河北村,119.01671133285392,35.610649694549515,莒县峤山卫生院,0633-6451192
莒县峤山镇驻地，莒县峤山镇河北村,119.01671133285392,35.610649694549515,莒县峤山卫生院,0633-6451192
莒县阎庄镇驻地,118.84353824240416,35.585872122989336,莒县阎庄卫生院,0633-6811025
莒县阎庄镇驻地,118.84353824240416,35.585872122989336,莒县阎庄卫生院,0633-6811025
日照市莒县长岭镇长岭大道166号,118.84412519522436,35.48467689020182,莒县长岭卫生院,0633-6731015
日照市莒县长岭镇长岭大道166号,118.84412519522436,35.48467689020182,莒县长岭卫生院,0633-6731015
莒县果庄镇驻地,118.76921244450855,35.77904002765127,莒县果庄卫生院,0633-6691025
莒县果庄镇驻地,118.76921244450855,35.77904002765127,莒县果庄卫生院,0633-6691025
