手术名称,疾病代码,二级医疗机构价格,疾病名称,三级医疗机构价格,计价单位
胫骨髁间骨折切开复位钢板螺丝钉内固定术,S82.101,19440,闭合性胫骨髁间骨折,21600,元
全膝人工关节置换术,M17.000,19440,重度膝关节骨关节炎,21600,元
,M17.100,,,,
,M17.101,,,,
,M17.200,,,,
,M17.300,,,,
,M17.301,,,,
,M17.400,,,,
,M17.500,,,,
,M17.501,,,,
,M17.900,,,,
全髋人工关节置换术,M87.002         M87.102          M87.203         M87.901,21060,股骨头坏死（FicatIII-IV 期， 严重疼痛伴功能障碍） ,23400,元
,B02.900,6300,带状疱疹（ 不伴有并发症） ,7000,元
乳腺肿物切除术,D24.x00,3500,乳腺良性肿瘤,3890,元
乳腺肿物切除术,C50.000,20080,乳腺癌,22320,元
,C50.001,,,,
,C50.100,,,,
,C50.200,,,,
,C50.300,,,,
,C50.400,,,,
,C50.500,,,,
,C50.600,,,,
,C50.800,,,,
,C50.801,,,,
,C50.802,,,,
,C50.803,,,,
,C50.804,,,,
,C50.900,,,,
,C50.901,,,,
,C50.902,,,,
经鼻内镜鼻中隔偏曲矫正术,J34.200,7690,鼻中隔偏曲,8550,元
扁桃体切除术,J35.000,6840,慢性扁桃体炎,7600,元
经鼻内镜全组鼻窦开放术,J32.900,11970,慢性鼻窦炎,13300,元
经支撑喉镜激光辅助声带肿物切除术,J38.102,9400,声带息肉,10450,元
支撑喉镜下声带息肉切除术,J38.304,8910,声带囊肿,9900,元
经胸腔镜肺大泡切除胸膜固定术,J93.001,28350,自发性气胸,31500,元
经腹腔镜单侧输卵管切除术,O00.100,11700,输卵管妊娠,13000,元
慢性硬脑膜下血肿钻孔术,I62.003,14530,慢性硬脑膜下血肿,16150,元
经尿道输尿管镜激光碎石取石术,N20.100,12820,输尿管结石,14250,元
超低位直肠癌根治术,C20.x00,38070,直肠癌,42300,元
经腹腔镜超低位直肠癌根治术,C20.x00,52650,直肠癌,58500,元
经腹会阴直肠癌根治术(Miles 手术) ,C20.x00,43600,直肠癌,48450,元
单侧不完全唇裂修复术,Q36.902　,5130,唇裂,5700,元
单侧完全唇裂修复术,Q36.100　,5980,唇裂,6650,元
经内镜直肠(结肠)良性肿物切除术,K62.100,6750,直肠（结肠）息肉,7500,元
经尿道膀胱镜前列腺电切术,N40.x00　,17010,良性前列腺增生,18900,元
单胎顺产接生,　080.000伴237.000,3950,自然临产阴道分娩,4400,元
子宫下段剖宫产术,82.9,6800,计划性剖宫产,7600,元
肱骨骨折闭合复位钢针内固定术,S42.401　,18630,肱骨髁上骨折,20700,元
桡骨骨折闭合复位钢针内固定术,S52.500,24300,桡骨远端骨折,27000,元
锁骨骨折闭合复位钢针内固定术,S42.000　,23490,锁骨骨折,26100,元
巩膜环扎术,H33.001　,11380,单纯性孔源性视网膜脱离,12650,元
鼓膜置管术,H65.000　,4820,分泌性中耳炎,5360,元
牙体缺损充填术,,690,乳牙中龋,770,元
普通室上性心动过速射频消融术,I47.101　,32400,阵发性室上性心动过速,36010,元
自体动静脉内瘘成形术,N04　,11490,终末期肾脏病,12770,元
湿疹（皮炎、过敏性皮炎、湿疹样皮炎）不伴有并发症,L30.902,5700,湿疹,6400,元
寻常型银屑病不伴有并发症,L40.001,10000,寻常型银屑病,11100,元
寻常型天疱疮不伴有并发症,L10.001,13000,寻常型天疱疮,14500,元
肺脓肿伴有肺炎,J85.100 ,10000,原发性肺脓肿,11100,元
肺脓肿不伴有肺炎,J85.200,,,,
,A16.202,10000,肺结核,11100,元
