机构名称,环境评分,设施评分,服务评分,伙食评分,文字评价
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市顺鑫养老服务有限公司,5,5,5,5,不错哦
烟台市顺鑫养老服务有限公司,1,1,1,1,可以可以
烟台市顺鑫养老服务有限公司,1,1,1,1,可以
烟台市老年福利服务中心,4,1,3,5,感觉还可以
烟台市老年福利服务中心,4,3,5,2,以后我老了也要来！！！
烟台市芝罘区奇山康宁老年公寓,4,3,5,3,可以的
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,3,3,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,还蛮不错的，德玛西亚！！！
烟台市老年福利服务中心,5,5,5,5,诺克萨斯之手
烟台市老年福利服务中心,5,3,4,4,吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃
烟台市芝罘区进德老年公寓,5,4,5,5,。。。。。。。
烟台市芝罘区进德老年公寓,5,4,5,5,不错
烟台润昌颐养院有限公司,3,3,4,3,不错不错
烟台润昌颐养院有限公司,1,1,1,1,好贵
