年份,能源类别,产业类别,value
2015,汽油消费量(万吨),第三产业,0.3418686540631089
2015,煤油消费量(万吨),第二产业,0.331356241094801
2015,煤油消费量(万吨),第三产业,0.331356241094801
2015,柴油消费量(万吨),第二产业,0.3230078490907329
2015,柴油消费量(万吨),第三产业,0.32300784909073293
2015,燃料油消费量(万吨),第二产业,0.31540766440624507
2015,燃料油消费量(万吨),第三产业,0.31540766440624507
2015,天然气消费量(亿立方米),第二产业,0.046249190639163815
2015,天然气消费量(亿立方米),第三产业,0.046249190639163815
2016,煤炭消费量(万吨),第二产业,0.5262327000999842
2016,煤炭消费量(万吨),第三产业,0.5262327000999842
2016,焦炭消费量(万吨),第二产业,0.3496014543420501
2016,焦炭消费量(万吨),第三产业,0.34960145434205014
2016,原油消费量(万吨),第二产业,0.33110390040394677
2016,原油消费量(万吨),第三产业,0.33110390040394677
2016,汽油消费量(万吨),第二产业,0.34186865406310896
2016,汽油消费量(万吨),第三产业,0.34186865406310896
2016,煤油消费量(万吨),第二产业,0.33135624109480105
2016,煤油消费量(万吨),第三产业,0.331356241094801
2016,柴油消费量(万吨),第二产业,0.32300784909073293
2016,柴油消费量(万吨),第三产业,0.32300784909073293
2016,燃料油消费量(万吨),第二产业,0.31540766440624507
2016,燃料油消费量(万吨),第三产业,0.31540766440624507
2016,天然气消费量(亿立方米),第二产业,0.046249190639163815
2016,天然气消费量(亿立方米),第三产业,0.046249190639163815
2017,煤炭消费量(万吨),第二产业,0.5262327000999841
2017,煤炭消费量(万吨),第三产业,0.5262327000999841
2017,焦炭消费量(万吨),第二产业,0.3496014543420501
2017,焦炭消费量(万吨),第三产业,0.3496014543420501
2017,原油消费量(万吨),第二产业,0.33110390040394677
2017,原油消费量(万吨),第三产业,0.33110390040394677
2017,汽油消费量(万吨),第二产业,0.34186865406310896
2017,汽油消费量(万吨),第三产业,0.34186865406310896
2017,煤油消费量(万吨),第二产业,0.331356241094801
2017,煤油消费量(万吨),第三产业,0.33135624109480105
2017,柴油消费量(万吨),第二产业,0.3230078490907329
2017,柴油消费量(万吨),第三产业,0.32300784909073293
2017,燃料油消费量(万吨),第二产业,0.31540766440624507
2017,燃料油消费量(万吨),第三产业,0.31540766440624507
2017,天然气消费量(亿立方米),第二产业,0.046249190639163815
2017,天然气消费量(亿立方米),第三产业,0.046249190639163815
2018,煤炭消费量(万吨),第二产业,0.5262327000999841
2018,煤炭消费量(万吨),第三产业,0.5262327000999841
2018,焦炭消费量(万吨),第二产业,0.3496014543420501
2018,焦炭消费量(万吨),第三产业,0.34960145434205003
2018,原油消费量(万吨),第二产业,0.33110390040394677
2018,原油消费量(万吨),第三产业,0.33110390040394677
2018,汽油消费量(万吨),第二产业,0.34186865406310896
2018,汽油消费量(万吨),第三产业,0.34186865406310896
2018,煤油消费量(万吨),第二产业,0.331356241094801
2018,煤油消费量(万吨),第三产业,0.33135624109480105
2018,柴油消费量(万吨),第二产业,0.32300784909073293
2018,柴油消费量(万吨),第三产业,0.3230078490907329
2018,燃料油消费量(万吨),第二产业,0.31540766440624507
2018,燃料油消费量(万吨),第三产业,0.31540766440624507
2018,天然气消费量(亿立方米),第二产业,0.04624919063916382
2018,天然气消费量(亿立方米),第三产业,0.046249190639163815
2019,煤炭消费量(万吨),第二产业,0.5262327000999842
2019,煤炭消费量(万吨),第三产业,0.5262327000999842
2019,焦炭消费量(万吨),第二产业,0.3496014543420501
2019,焦炭消费量(万吨),第三产业,0.34960145434205003
2019,原油消费量(万吨),第二产业,0.33110390040394677
2019,原油消费量(万吨),第三产业,0.3311039004039467
2019,汽油消费量(万吨),第二产业,0.34186865406310896
2019,汽油消费量(万吨),第三产业,0.34186865406310896
2019,煤油消费量(万吨),第二产业,0.331356241094801
2019,煤油消费量(万吨),第三产业,0.33135624109480105
2019,柴油消费量(万吨),第二产业,0.32300784909073293
2019,柴油消费量(万吨),第三产业,0.3230078490907329
2019,燃料油消费量(万吨),第二产业,0.31540766440624507
2019,燃料油消费量(万吨),第三产业,0.315407664406245
2019,天然气消费量(亿立方米),第二产业,0.046249190639163815
2019,天然气消费量(亿立方米),第三产业,0.04624919063916382
