年份,能源类别,产业类别,value
2016,煤炭消费量(万吨),第二产业,0.702357
2016,煤炭消费量(万吨),第三产业,0.076698
2016,焦炭消费量(万吨),第二产业,0.063793
2016,焦炭消费量(万吨),第三产业,0.006966
2016,原油消费量(万吨),第二产业,0.175051
2016,原油消费量(万吨),第三产业,0.019116
2016,汽油消费量(万吨),第二产业,0.012684
2016,汽油消费量(万吨),第三产业,0.001385
2016,煤油消费量(万吨),第二产业,0.001977
2016,煤油消费量(万吨),第三产业,0.000216
2016,柴油消费量(万吨),第二产业,0.023483
2016,柴油消费量(万吨),第三产业,0.002564
2016,燃料油消费量(万吨),第二产业,0.077398
2016,燃料油消费量(万吨),第三产业,0.008452
2016,天然气消费量(亿立方米),第二产业,0.001692
2016,天然气消费量(亿立方米),第三产业,0.000185
2017,煤炭消费量(万吨),第二产业,0.597436
2017,煤炭消费量(万吨),第三产业,0.072128
2017,焦炭消费量(万吨),第二产业,0.053105
2017,焦炭消费量(万吨),第三产业,0.006411
2017,原油消费量(万吨),第二产业,0.179822
2017,原油消费量(万吨),第三产业,0.02171
2017,汽油消费量(万吨),第二产业,0.012666
2017,汽油消费量(万吨),第三产业,0.001529
2017,煤油消费量(万吨),第二产业,0.001934
2017,煤油消费量(万吨),第三产业,0.000234
2017,柴油消费量(万吨),第二产业,0.024177
2017,柴油消费量(万吨),第三产业,0.002919
2017,燃料油消费量(万吨),第二产业,0.073362
2017,燃料油消费量(万吨),第三产业,0.008857
2017,天然气消费量(亿立方米),第二产业,0.002052
2017,天然气消费量(亿立方米),第三产业,0.000248
2018,煤炭消费量(万吨),第二产业,0.575681
2018,煤炭消费量(万吨),第三产业,0.066278
2018,焦炭消费量(万吨),第二产业,0.047741
2018,焦炭消费量(万吨),第三产业,0.005496
2018,原油消费量(万吨),第二产业,0.177324
2018,原油消费量(万吨),第三产业,0.020415
2018,汽油消费量(万吨),第二产业,0.009387
2018,汽油消费量(万吨),第三产业,0.001081
2018,煤油消费量(万吨),第二产业,0.001636
2018,煤油消费量(万吨),第三产业,0.000188
2018,柴油消费量(万吨),第二产业,0.017327
2018,柴油消费量(万吨),第三产业,0.001995
2018,燃料油消费量(万吨),第二产业,0.032327
2018,燃料油消费量(万吨),第三产业,0.003722
2018,天然气消费量(亿立方米),第二产业,0.00176
2018,天然气消费量(亿立方米),第三产业,0.000203
2019,煤炭消费量(万吨),第二产业,0.583782
2019,煤炭消费量(万吨),第三产业,0.066455
2019,焦炭消费量(万吨),第二产业,0.048987
2019,焦炭消费量(万吨),第三产业,0.005576
2019,原油消费量(万吨),第二产业,0.184503
2019,原油消费量(万吨),第三产业,0.021003
2019,汽油消费量(万吨),第二产业,0.009569
2019,汽油消费量(万吨),第三产业,0.001089
2019,煤油消费量(万吨),第二产业,0.001704
2019,煤油消费量(万吨),第三产业,0.000194
2019,柴油消费量(万吨),第二产业,0.018081
2019,柴油消费量(万吨),第三产业,0.002058
2019,燃料油消费量(万吨),第二产业,0.028372
2019,燃料油消费量(万吨),第三产业,0.00323
2019,天然气消费量(亿立方米),第二产业,0.00211
2019,天然气消费量(亿立方米),第三产业,0.00024
