岗位类型,专业类,关联度
小学教师,计算机与信息科学类,0.7
报检报关,政治学类,0.4
报检报关,经济管理类,0.6
报检报关,工商管理类,0.6
报检报关,社会学类,0.4
报检报关,财会、税务、审计与统计类,0.8
报检报关,环境与安全类,0.4
报检报关,建筑类,0.4
报检报关,海洋与渔业类,0.4
报检报关,生物类,0.4
报检报关,动物生产类,0.4
报检报关,植物生产类,0.4
报检报关,林业类,0.4
报检报关,农林业工程类,0.4
报检报关,水电类,0.4
报检报关,交通运输类,0.4
报检报关,艺术类,0.4
报检报关,公安类,0.8
报检报关,地质及测绘类,0.4
报检报关,药学类,0.4
报检报关,理化类,0.4
报检报关,轻工纺织品食品类,0.4
报检报关,大气科学类,0.4
报检报关,心理学类,0.4
报检报关,材料类,0.4
报检报关,机械与仪表类,0.4
报检报关,体育学类,0.4
报检报关,非汉语言文学类,0.4
仓储管理,文秘类,0.4
仓储管理,哲学、马克思主义理论类,0.4
仓储管理,教育学类,0.4
仓储管理,新闻传播学类,0.4
仓储管理,历史学类,0.4
仓储管理,档案学类,0.8
仓储管理,法律类,0.4
班主任,计算机与信息科学类,0.7
仓储管理,政治学类,0.4
仓储管理,经济管理类,0.8
仓储管理,工商管理类,0.7
仓储管理,社会学类,0.4
仓储管理,财会、税务、审计与统计类,0.7
仓储管理,环境与安全类,0.4
仓储管理,建筑类,0.4
仓储管理,海洋与渔业类,0.4
仓储管理,生物类,0.4
仓储管理,动物生产类,0.4
仓储管理,植物生产类,0.4
仓储管理,林业类,0.4
仓储管理,农林业工程类,0.4
仓储管理,水电类,0.4
仓储管理,交通运输类,0.4
仓储管理,艺术类,0.4
仓储管理,公安类,0.4
仓储管理,地质及测绘类,0.4
仓储管理,药学类,0.4
仓储管理,理化类,0.4
仓储管理,轻工纺织品食品类,0.4
仓储管理,大气科学类,0.4
仓储管理,心理学类,0.4
仓储管理,材料类,0.6
仓储管理,机械与仪表类,0.4
仓储管理,体育学类,0.4
仓储管理,非汉语言文学类,0.4
英语老师,文秘类,0.5
英语老师,哲学、马克思主义理论类,0.4
英语老师,教育学类,0.4
英语老师,新闻传播学类,0.4
英语老师,历史学类,0.4
英语老师,档案学类,0.4
英语老师,法律类,0.4
广告创意,计算机与信息科学类,0.6
英语老师,政治学类,0.4
英语老师,经济管理类,0.4
英语老师,工商管理类,0.4
英语老师,社会学类,0.4
英语老师,财会、税务、审计与统计类,0.4
英语老师,环境与安全类,0.4
英语老师,建筑类,0.4
英语老师,海洋与渔业类,0.3
英语老师,生物类,0.4
英语老师,动物生产类,0.4
英语老师,植物生产类,0.4
英语老师,林业类,0.4
英语老师,农林业工程类,0.4
英语老师,水电类,0.4
英语老师,交通运输类,0.4
英语老师,艺术类,0.4
英语老师,公安类,0.4
英语老师,地质及测绘类,0.4
英语老师,药学类,0.4
英语老师,理化类,0.4
英语老师,轻工纺织品食品类,0.4
英语老师,大气科学类,0.3
英语老师,心理学类,0.5
英语老师,材料类,0.4
英语老师,机械与仪表类,0.4
英语老师,体育学类,0.4
英语老师,非汉语言文学类,0.7
课程顾问,文秘类,0.4
课程顾问,哲学、马克思主义理论类,0.4
课程顾问,教育学类,0.4
课程顾问,新闻传播学类,0.4
课程顾问,历史学类,0.4
课程顾问,档案学类,0.4
课程顾问,法律类,0.4
教师,计算机与信息科学类,0.6
课程顾问,政治学类,0.4
课程顾问,经济管理类,0.4
课程顾问,工商管理类,0.4
课程顾问,社会学类,0.6
课程顾问,财会、税务、审计与统计类,0.4
课程顾问,环境与安全类,0.4
课程顾问,建筑类,0.4
课程顾问,海洋与渔业类,0.4
课程顾问,生物类,0.4
课程顾问,动物生产类,0.4
课程顾问,植物生产类,0.4
课程顾问,林业类,0.4
课程顾问,农林业工程类,0.4
课程顾问,水电类,0.4
课程顾问,交通运输类,0.4
课程顾问,艺术类,0.4
课程顾问,公安类,0.4
课程顾问,地质及测绘类,0.4
课程顾问,药学类,0.4
课程顾问,理化类,0.4
课程顾问,轻工纺织品食品类,0.4
课程顾问,大气科学类,0.4
课程顾问,心理学类,0.6
课程顾问,材料类,0.4
课程顾问,机械与仪表类,0.4
课程顾问,体育学类,0.4
课程顾问,非汉语言文学类,0.4
教务,文秘类,0.4
教务,哲学、马克思主义理论类,0.4
教务,教育学类,0.4
教务,新闻传播学类,0.4
教务,历史学类,0.4
教务,档案学类,0.6
教务,法律类,0.4
剪辑,计算机与信息科学类,0.6
教务,政治学类,0.7
教务,经济管理类,0.4
教务,工商管理类,0.4
教务,社会学类,0.4
教务,财会、税务、审计与统计类,0.4
教务,环境与安全类,0.4
教务,建筑类,0.4
教务,海洋与渔业类,0.4
教务,生物类,0.4
教务,动物生产类,0.4
教务,植物生产类,0.4
教务,林业类,0.4
教务,农林业工程类,0.4
教务,水电类,0.4
教务,交通运输类,0.4
教务,艺术类,0.4
教务,公安类,0.4
教务,地质及测绘类,0.4
教务,药学类,0.4
教务,理化类,0.4
教务,轻工纺织品食品类,0.4
教务,大气科学类,0.4
教务,心理学类,0.6
教务,材料类,0.4
教务,机械与仪表类,0.4
教务,体育学类,0.4
教务,非汉语言文学类,0.4
助教,文秘类,0.4
助教,哲学、马克思主义理论类,0.4
助教,教育学类,0.4
助教,新闻传播学类,0.4
助教,历史学类,0.4
助教,档案学类,0.4
助教,法律类,0.4
广告制作,计算机与信息科学类,0.6
助教,政治学类,0.4
助教,经济管理类,0.4
助教,工商管理类,0.4
助教,社会学类,0.4
助教,财会、税务、审计与统计类,0.4
助教,环境与安全类,0.4
助教,建筑类,0.4
助教,海洋与渔业类,0.4
助教,生物类,0.4
助教,动物生产类,0.4
助教,植物生产类,0.4
助教,林业类,0.4
助教,农林业工程类,0.4
助教,水电类,0.4
助教,交通运输类,0.4
助教,艺术类,0.6
助教,公安类,0.4
助教,地质及测绘类,0.4
助教,药学类,0.4
助教,理化类,0.4
助教,轻工纺织品食品类,0.4
助教,大气科学类,0.4
助教,心理学类,0.6
助教,材料类,0.4
助教,机械与仪表类,0.4
助教,体育学类,0.4
助教,非汉语言文学类,0.4
编导,文秘类,0.4
编导,哲学、马克思主义理论类,0.6
编导,教育学类,0.4
编导,新闻传播学类,0.4
编导,历史学类,0.4
编导,档案学类,0.4
编导,法律类,0.4
平面设计,计算机与信息科学类,0.6
编导,政治学类,0.4
编导,经济管理类,0.4
编导,工商管理类,0.4
编导,社会学类,0.4
编导,财会、税务、审计与统计类,0.4
编导,环境与安全类,0.4
编导,建筑类,0.4
编导,海洋与渔业类,0.4
编导,生物类,0.4
编导,动物生产类,0.4
编导,植物生产类,0.4
编导,林业类,0.4
编导,农林业工程类,0.4
编导,水电类,0.4
编导,交通运输类,0.4
编导,艺术类,0.4
编导,公安类,0.4
编导,地质及测绘类,0.4
编导,药学类,0.4
编导,理化类,0.4
编导,轻工纺织品食品类,0.4
编导,大气科学类,0.4
编导,心理学类,0.4
编导,材料类,0.3
编导,机械与仪表类,0.4
编导,体育学类,0.4
编导,非汉语言文学类,0.4
编剧,文秘类,0.4
编剧,哲学、马克思主义理论类,0.6
编剧,教育学类,0.4
编剧,新闻传播学类,0.7
编剧,历史学类,0.4
编剧,档案学类,0.4
编剧,法律类,0.4
sem,计算机与信息科学类,0.6
编剧,政治学类,0.4
编剧,经济管理类,0.4
编剧,工商管理类,0.4
编剧,社会学类,0.4
编剧,财会、税务、审计与统计类,0.4
编剧,环境与安全类,0.4
编剧,建筑类,0.4
编剧,海洋与渔业类,0.4
编剧,生物类,0.4
编剧,动物生产类,0.4
编剧,植物生产类,0.4
编剧,林业类,0.4
编剧,农林业工程类,0.4
编剧,水电类,0.4
编剧,交通运输类,0.4
编剧,艺术类,0.4
编剧,公安类,0.4
编剧,地质及测绘类,0.4
编剧,药学类,0.4
编剧,理化类,0.4
编剧,轻工纺织品食品类,0.4
编剧,大气科学类,0.4
编剧,心理学类,0.4
编剧,材料类,0.4
编剧,机械与仪表类,0.4
编剧,体育学类,0.4
编剧,非汉语言文学类,0.4
后期制作,文秘类,0.4
后期制作,哲学、马克思主义理论类,0.4
后期制作,教育学类,0.4
后期制作,新闻传播学类,0.4
后期制作,历史学类,0.4
后期制作,档案学类,0.4
后期制作,法律类,0.4
网络营销,计算机与信息科学类,0.6
后期制作,政治学类,0.4
后期制作,经济管理类,0.4
后期制作,工商管理类,0.4
后期制作,社会学类,0.4
后期制作,财会、税务、审计与统计类,0.4
后期制作,环境与安全类,0.4
后期制作,建筑类,0.4
后期制作,海洋与渔业类,0.4
后期制作,生物类,0.4
后期制作,动物生产类,0.4
后期制作,植物生产类,0.4
后期制作,林业类,0.4
后期制作,农林业工程类,0.4
后期制作,水电类,0.4
后期制作,交通运输类,0.4
后期制作,艺术类,0.4
后期制作,公安类,0.4
后期制作,地质及测绘类,0.4
后期制作,药学类,0.4
后期制作,理化类,0.4
后期制作,轻工纺织品食品类,0.4
后期制作,大气科学类,0.4
后期制作,心理学类,0.4
后期制作,材料类,0.4
后期制作,机械与仪表类,0.4
后期制作,体育学类,0.4
后期制作,非汉语言文学类,0.4
化妆师,文秘类,0.6
化妆师,哲学、马克思主义理论类,0.4
化妆师,教育学类,0.4
化妆师,新闻传播学类,0.4
化妆师,历史学类,0.4
化妆师,档案学类,0.4
化妆师,法律类,0.4
seo,计算机与信息科学类,0.6
化妆师,政治学类,0.4
化妆师,经济管理类,0.4
化妆师,工商管理类,0.4
化妆师,社会学类,0.4
化妆师,财会、税务、审计与统计类,0.4
化妆师,环境与安全类,0.4
化妆师,建筑类,0.4
化妆师,海洋与渔业类,0.4
化妆师,生物类,0.4
化妆师,动物生产类,0.4
化妆师,植物生产类,0.4
化妆师,林业类,0.4
化妆师,农林业工程类,0.4
化妆师,水电类,0.4
化妆师,交通运输类,0.4
化妆师,艺术类,0.6
化妆师,公安类,0.4
化妆师,地质及测绘类,0.3
化妆师,药学类,0.6
化妆师,理化类,0.4
化妆师,轻工纺织品食品类,0.4
化妆师,大气科学类,0.4
化妆师,心理学类,0.4
化妆师,材料类,0.4
化妆师,机械与仪表类,0.4
化妆师,体育学类,0.4
化妆师,非汉语言文学类,0.4
广告创意,文秘类,0.4
广告创意,哲学、马克思主义理论类,0.4
广告创意,教育学类,0.4
广告创意,新闻传播学类,0.7
广告创意,历史学类,0.4
广告创意,档案学类,0.4
广告创意,法律类,0.4
bd经理,计算机与信息科学类,0.6
广告创意,政治学类,0.4
广告创意,经济管理类,0.4
广告创意,工商管理类,0.4
广告创意,社会学类,0.4
广告创意,财会、税务、审计与统计类,0.4
广告创意,环境与安全类,0.4
广告创意,建筑类,0.4
广告创意,海洋与渔业类,0.4
广告创意,生物类,0.4
广告创意,动物生产类,0.4
广告创意,植物生产类,0.4
广告创意,林业类,0.4
广告创意,农林业工程类,0.4
广告创意,水电类,0.4
广告创意,交通运输类,0.4
广告创意,艺术类,0.7
广告创意,公安类,0.4
广告创意,地质及测绘类,0.3
广告创意,药学类,0.4
广告创意,理化类,0.4
广告创意,轻工纺织品食品类,0.4
广告创意,大气科学类,0.4
广告创意,心理学类,0.6
广告创意,材料类,0.4
广告创意,机械与仪表类,0.4
广告创意,体育学类,0.4
广告创意,非汉语言文学类,0.6
美术指导,文秘类,0.4
美术指导,哲学、马克思主义理论类,0.4
美术指导,教育学类,0.6
美术指导,新闻传播学类,0.4
美术指导,历史学类,0.4
美术指导,档案学类,0.4
美术指导,法律类,0.4
经理助理,计算机与信息科学类,0.6
美术指导,政治学类,0.4
美术指导,经济管理类,0.4
美术指导,工商管理类,0.4
美术指导,社会学类,0.4
美术指导,财会、税务、审计与统计类,0.4
美术指导,环境与安全类,0.4
美术指导,建筑类,0.4
美术指导,海洋与渔业类,0.4
美术指导,生物类,0.4
美术指导,动物生产类,0.4
美术指导,植物生产类,0.4
美术指导,林业类,0.3
美术指导,农林业工程类,0.4
美术指导,水电类,0.4
美术指导,交通运输类,0.4
美术指导,艺术类,0.9
美术指导,公安类,0.4
美术指导,地质及测绘类,0.4
美术指导,药学类,0.4
美术指导,理化类,0.4
美术指导,轻工纺织品食品类,0.4
美术指导,大气科学类,0.4
美术指导,心理学类,0.4
美术指导,材料类,0.4
美术指导,机械与仪表类,0.3
美术指导,体育学类,0.2
美术指导,非汉语言文学类,0.4
文案,文秘类,0.8
文案,哲学、马克思主义理论类,0.4
文案,教育学类,0.4
文案,新闻传播学类,0.8
文案,历史学类,0.4
文案,档案学类,0.6
文案,法律类,0.6
风控,计算机与信息科学类,0.6
文案,政治学类,0.4
文案,经济管理类,0.4
文案,工商管理类,0.4
文案,社会学类,0.4
文案,财会、税务、审计与统计类,0.4
文案,环境与安全类,0.4
文案,建筑类,0.4
文案,海洋与渔业类,0.4
文案,生物类,0.4
文案,动物生产类,0.4
文案,植物生产类,0.4
文案,林业类,0.4
文案,农林业工程类,0.4
文案,水电类,0.4
文案,交通运输类,0.4
文案,艺术类,0.4
文案,公安类,0.4
文案,地质及测绘类,0.4
文案,药学类,0.4
文案,理化类,0.4
文案,轻工纺织品食品类,0.4
文案,大气科学类,0.4
文案,心理学类,0.4
文案,材料类,0.4
文案,机械与仪表类,0.4
文案,体育学类,0.4
文案,非汉语言文学类,0.4
媒介,文秘类,0.4
媒介,哲学、马克思主义理论类,0.4
媒介,教育学类,0.4
媒介,新闻传播学类,0.6
媒介,历史学类,0.4
媒介,档案学类,0.4
媒介,法律类,0.4
店长,计算机与信息科学类,0.4
媒介,政治学类,0.4
媒介,经济管理类,0.4
媒介,工商管理类,0.4
媒介,社会学类,0.4
媒介,财会、税务、审计与统计类,0.4
媒介,环境与安全类,0.4
媒介,建筑类,0.4
媒介,海洋与渔业类,0.4
媒介,生物类,0.4
媒介,动物生产类,0.4
媒介,植物生产类,0.4
媒介,林业类,0.4
媒介,农林业工程类,0.4
媒介,水电类,0.4
媒介,交通运输类,0.4
媒介,艺术类,0.7
媒介,公安类,0.4
媒介,地质及测绘类,0.4
媒介,药学类,0.4
媒介,理化类,0.4
媒介,轻工纺织品食品类,0.4
媒介,大气科学类,0.4
媒介,心理学类,0.4
媒介,材料类,0.4
媒介,机械与仪表类,0.4
媒介,体育学类,0.4
媒介,非汉语言文学类,0.3
网页设计,文秘类,0.4
网页设计,哲学、马克思主义理论类,0.4
网页设计,教育学类,0.4
网页设计,新闻传播学类,0.7
网页设计,历史学类,0.4
网页设计,档案学类,0.4
网页设计,法律类,0.4
导购员,计算机与信息科学类,0.4
网页设计,政治学类,0.4
网页设计,经济管理类,0.6
网页设计,工商管理类,0.4
网页设计,社会学类,0.4
网页设计,财会、税务、审计与统计类,0.4
网页设计,环境与安全类,0.4
网页设计,建筑类,0.4
网页设计,海洋与渔业类,0.4
网页设计,生物类,0.4
网页设计,动物生产类,0.4
网页设计,植物生产类,0.4
网页设计,林业类,0.4
网页设计,农林业工程类,0.4
网页设计,水电类,0.4
网页设计,交通运输类,0.4
网页设计,艺术类,0.8
网页设计,公安类,0.4
网页设计,地质及测绘类,0.4
网页设计,药学类,0.4
网页设计,理化类,0.4
网页设计,轻工纺织品食品类,0.4
网页设计,大气科学类,0.4
网页设计,心理学类,0.4
网页设计,材料类,0.4
网页设计,机械与仪表类,0.4
网页设计,体育学类,0.4
网页设计,非汉语言文学类,0.4
插画师,文秘类,0.6
插画师,哲学、马克思主义理论类,0.4
插画师,教育学类,0.4
插画师,新闻传播学类,0.4
插画师,历史学类,0.4
插画师,档案学类,0.4
插画师,法律类,0.4
客服,计算机与信息科学类,0.4
插画师,政治学类,0.4
插画师,经济管理类,0.4
插画师,工商管理类,0.4
插画师,社会学类,0.4
插画师,财会、税务、审计与统计类,0.4
插画师,环境与安全类,0.4
插画师,建筑类,0.3
插画师,海洋与渔业类,0.4
插画师,生物类,0.4
插画师,动物生产类,0.4
插画师,植物生产类,0.4
插画师,林业类,0.3
插画师,农林业工程类,0.4
插画师,水电类,0.4
插画师,交通运输类,0.4
插画师,艺术类,0.9
插画师,公安类,0.4
插画师,地质及测绘类,0.4
插画师,药学类,0.4
插画师,理化类,0.4
插画师,轻工纺织品食品类,0.4
插画师,大气科学类,0.4
插画师,心理学类,0.4
插画师,材料类,0.4
插画师,机械与仪表类,0.4
插画师,体育学类,0.4
插画师,非汉语言文学类,0.4
工业设计,文秘类,0.4
工业设计,哲学、马克思主义理论类,0.4
工业设计,教育学类,0.4
工业设计,新闻传播学类,0.4
工业设计,历史学类,0.3
工业设计,档案学类,0.4
工业设计,法律类,0.4
物流跟单,计算机与信息科学类,0.4
工业设计,政治学类,0.4
工业设计,经济管理类,0.4
工业设计,工商管理类,0.4
工业设计,社会学类,0.4
工业设计,财会、税务、审计与统计类,0.4
工业设计,环境与安全类,0.4
工业设计,建筑类,0.4
工业设计,海洋与渔业类,0.4
工业设计,生物类,0.4
工业设计,动物生产类,0.4
工业设计,植物生产类,0.4
工业设计,林业类,0.4
工业设计,农林业工程类,0.4
工业设计,水电类,0.4
工业设计,交通运输类,0.4
工业设计,艺术类,0.4
工业设计,公安类,0.4
工业设计,地质及测绘类,0.4
工业设计,药学类,0.4
工业设计,理化类,0.4
工业设计,轻工纺织品食品类,0.4
工业设计,大气科学类,0.4
工业设计,心理学类,0.3
工业设计,材料类,0.6
工业设计,机械与仪表类,0.4
工业设计,体育学类,0.3
工业设计,非汉语言文学类,0.2
视觉设计,文秘类,0.4
视觉设计,哲学、马克思主义理论类,0.4
视觉设计,教育学类,0.4
视觉设计,新闻传播学类,0.6
视觉设计,历史学类,0.2
视觉设计,档案学类,0.3
视觉设计,法律类,0.3
报检报关,计算机与信息科学类,0.4
视觉设计,政治学类,0.4
视觉设计,经济管理类,0.4
视觉设计,工商管理类,0.4
视觉设计,社会学类,0.4
视觉设计,财会、税务、审计与统计类,0.6
视觉设计,环境与安全类,0.3
视觉设计,建筑类,0.4
视觉设计,海洋与渔业类,0.4
视觉设计,生物类,0.4
视觉设计,动物生产类,0.4
视觉设计,植物生产类,0.4
视觉设计,林业类,0.4
视觉设计,农林业工程类,0.4
视觉设计,水电类,0.4
视觉设计,交通运输类,0.4
视觉设计,艺术类,0.6
视觉设计,公安类,0.4
视觉设计,地质及测绘类,0.4
视觉设计,药学类,0.4
视觉设计,理化类,0.4
视觉设计,轻工纺织品食品类,0.4
视觉设计,大气科学类,0.4
视觉设计,心理学类,0.4
视觉设计,材料类,0.4
视觉设计,机械与仪表类,0.4
视觉设计,体育学类,0.4
视觉设计,非汉语言文学类,0.4
教师,文秘类,0.4
教师,哲学、马克思主义理论类,0.8
教师,教育学类,0.9
教师,新闻传播学类,0.4
教师,历史学类,0.8
教师,档案学类,0.6
教师,法律类,0.4
仓储管理,计算机与信息科学类,0.4
教师,政治学类,0.8
教师,经济管理类,0.6
教师,工商管理类,0.4
教师,社会学类,0.4
教师,财会、税务、审计与统计类,0.4
教师,环境与安全类,0.4
教师,建筑类,0.4
教师,海洋与渔业类,0.4
教师,生物类,0.4
教师,动物生产类,0.4
教师,植物生产类,0.4
教师,林业类,0.4
教师,农林业工程类,0.4
教师,水电类,0.4
教师,交通运输类,0.4
教师,艺术类,0.8
教师,公安类,0.4
教师,地质及测绘类,0.4
教师,药学类,0.4
教师,理化类,0.6
教师,轻工纺织品食品类,0.4
教师,大气科学类,0.4
教师,心理学类,0.8
教师,材料类,0.4
教师,机械与仪表类,0.4
教师,体育学类,0.9
教师,非汉语言文学类,0.4
英语,文秘类,0.4
英语,哲学、马克思主义理论类,0.4
英语,教育学类,0.4
英语,新闻传播学类,0.4
英语,历史学类,0.4
英语,档案学类,0.4
英语,法律类,0.4
课程顾问,计算机与信息科学类,0.4
英语,政治学类,0.4
英语,经济管理类,0.4
英语,工商管理类,0.4
英语,社会学类,0.4
英语,财会、税务、审计与统计类,0.4
英语,环境与安全类,0.4
英语,建筑类,0.4
英语,海洋与渔业类,0.4
英语,生物类,0.4
英语,动物生产类,0.4
英语,植物生产类,0.4
英语,林业类,0.4
英语,农林业工程类,0.3
英语,水电类,0.3
英语,交通运输类,0.4
英语,艺术类,0.4
英语,公安类,0.4
英语,地质及测绘类,0.4
英语,药学类,0.3
英语,理化类,0.4
英语,轻工纺织品食品类,0.4
英语,大气科学类,0.4
英语,心理学类,0.4
英语,材料类,0.4
英语,机械与仪表类,0.4
英语,体育学类,0.4
英语,非汉语言文学类,0.4
美术老师,文秘类,0.4
美术老师,哲学、马克思主义理论类,0.4
美术老师,教育学类,0.6
美术老师,新闻传播学类,0.4
美术老师,历史学类,0.4
美术老师,档案学类,0.4
美术老师,法律类,0.4
教务,计算机与信息科学类,0.4
美术老师,政治学类,0.4
美术老师,经济管理类,0.4
美术老师,工商管理类,0.4
美术老师,社会学类,0.4
美术老师,财会、税务、审计与统计类,0.4
美术老师,环境与安全类,0.4
美术老师,建筑类,0.4
美术老师,海洋与渔业类,0.4
美术老师,生物类,0.4
美术老师,动物生产类,0.3
美术老师,植物生产类,0.3
美术老师,林业类,0.3
美术老师,农林业工程类,0.3
美术老师,水电类,0.3
美术老师,交通运输类,0.3
美术老师,艺术类,0.7
美术老师,公安类,0.3
美术老师,地质及测绘类,0.4
美术老师,药学类,0.4
美术老师,理化类,0.4
美术老师,轻工纺织品食品类,0.4
美术老师,大气科学类,0.4
美术老师,心理学类,0.4
美术老师,材料类,0.4
美术老师,机械与仪表类,0.4
美术老师,体育学类,0.2
美术老师,非汉语言文学类,0.4
幼教,文秘类,0.4
幼教,哲学、马克思主义理论类,0.4
幼教,教育学类,0.9
幼教,新闻传播学类,0.4
幼教,历史学类,0.4
幼教,档案学类,0.4
幼教,法律类,0.4
助教,计算机与信息科学类,0.4
幼教,政治学类,0.4
幼教,经济管理类,0.4
幼教,工商管理类,0.4
幼教,社会学类,0.4
幼教,财会、税务、审计与统计类,0.4
幼教,环境与安全类,0.4
幼教,建筑类,0.4
幼教,海洋与渔业类,0.4
幼教,生物类,0.4
幼教,动物生产类,0.4
幼教,植物生产类,0.4
幼教,林业类,0.4
幼教,农林业工程类,0.4
幼教,水电类,0.4
幼教,交通运输类,0.4
幼教,艺术类,0.6
幼教,公安类,0.4
幼教,地质及测绘类,0.4
幼教,药学类,0.4
幼教,理化类,0.4
幼教,轻工纺织品食品类,0.4
幼教,大气科学类,0.3
幼教,心理学类,0.4
幼教,材料类,0.4
幼教,机械与仪表类,0.4
幼教,体育学类,0.6
幼教,非汉语言文学类,0.6
小学教师,文秘类,0.4
小学教师,哲学、马克思主义理论类,0.4
小学教师,教育学类,0.9
小学教师,新闻传播学类,0.4
小学教师,历史学类,0.6
小学教师,档案学类,0.4
小学教师,法律类,0.4
媒介,计算机与信息科学类,0.4
小学教师,政治学类,0.6
小学教师,经济管理类,0.4
小学教师,工商管理类,0.4
小学教师,社会学类,0.4
小学教师,财会、税务、审计与统计类,0.4
小学教师,环境与安全类,0.4
小学教师,建筑类,0.4
小学教师,海洋与渔业类,0.4
小学教师,生物类,0.4
小学教师,动物生产类,0.4
小学教师,植物生产类,0.4
小学教师,林业类,0.4
小学教师,农林业工程类,0.4
小学教师,水电类,0.4
小学教师,交通运输类,0.4
小学教师,艺术类,0.4
小学教师,公安类,0.4
小学教师,地质及测绘类,0.4
小学教师,药学类,0.4
小学教师,理化类,0.4
小学教师,轻工纺织品食品类,0.4
小学教师,大气科学类,0.4
小学教师,心理学类,0.7
小学教师,材料类,0.3
小学教师,机械与仪表类,0.4
小学教师,体育学类,0.8
小学教师,非汉语言文学类,0.8
班主任,文秘类,0.4
班主任,哲学、马克思主义理论类,0.4
班主任,教育学类,0.9
班主任,新闻传播学类,0.4
班主任,历史学类,0.6
班主任,档案学类,0.4
