年份,用电类别,行业,用电量（千瓦时）
2014,趸售,批发和零售业,46100680
2014,大工业,金融业,2370747
2014,大工业,公共服务及管理组织,364705982
2014,农业,房地产业,198112
2014,普通工业,住宿和餐饮业,3103326929
2014,普通工业,信息传输、软件和信息技术服务业,2183614209
2014,普通工业,农、林、牧、渔业,73732287
2014,普通工业,城乡居民生活用电,1436573
2014,趸售,城乡居民生活用电,683350602
2014,农业,住宿和餐饮业,1288398
2014,居民,公共服务及管理组织,986197539
2014,农业,租赁和商务服务业,2068698
2014,大工业,租赁和商务服务业,21837701
2014,普通工业,金融业,769316044
2014,农业,公共服务及管理组织,19384395
2014,普通工业,房地产业,3915192804
2014,趸售,公共服务及管理组织,30992139232
2014,居民,批发和零售业,2047424
2014,其它,工业,0
2014,大工业,房地产业,7246852
2014,普通工业,建筑业,3665314625
2014,普通工业,工业,29529819244
2014,居民,建筑业,99939
2014,居民,城乡居民生活用电,47122731575
2014,居民,信息传输、软件和信息技术服务业,120658
2014,居民,住宿和餐饮业,194917
2014,大工业,批发和零售业,247660123
2014,农业,金融业,169145
2014,普通工业,交通运输、仓储和邮政业,4095696467
2014,居民,交通运输、仓储和邮政业,40556
2014,大工业,信息传输、软件和信息技术服务业,10048345
2014,大工业,交通运输、仓储和邮政业,3289294372
2015,趸售,工业,1.16096E+11
2015,普通工业,城乡居民生活用电,1715041
2015,其它,城乡居民生活用电,3969941
2015,普通工业,住宿和餐饮业,2938074223
2015,农业,住宿和餐饮业,770152
2015,大工业,城乡居民生活用电,0
2015,农业,租赁和商务服务业,1824430
2015,大工业,公共服务及管理组织,306712350
2015,普通工业,金融业,842843381
2015,普通工业,公共服务及管理组织,11735041313
2015,大工业,批发和零售业,187786191
2015,农业,交通运输、仓储和邮政业,2324738
2015,农业,信息传输、软件和信息技术服务业,808247
2015,居民,租赁和商务服务业,72383
2015,大工业,金融业,1973686
2015,普通工业,租赁和商务服务业,2280951718
2015,趸售,建筑业,8945752523
2015,居民,工业,8476530
2015,大工业,农、林、牧、渔业,0
2015,农业,城乡居民生活用电,290572
2015,普通工业,建筑业,3707986753
2015,居民,农、林、牧、渔业,1559996
2015,农业,公共服务及管理组织,18391980
2015,居民,住宿和餐饮业,878287
2015,大工业,租赁和商务服务业,99491470
2015,居民,公共服务及管理组织,1503329474
2015,大工业,信息传输、软件和信息技术服务业,9343325
2015,居民,城乡居民生活用电,50764086663
2015,农业,批发和零售业,19197387
2015,普通工业,工业,25758820676
2015,其它,交通运输、仓储和邮政业,1078534
2015,趸售,城乡居民生活用电,756131320
2015,其它,住宿和餐饮业,85216
2015,其它,工业,247879782
2015,大工业,房地产业,5165179
2015,居民,建筑业,719862
2015,普通工业,交通运输、仓储和邮政业,4676720684
2015,大工业,住宿和餐饮业,11341385
2015,其它,租赁和商务服务业,506204
2015,普通工业,房地产业,4075201722
2015,居民,信息传输、软件和信息技术服务业,77990
2015,其它,公共服务及管理组织,9177228
2015,趸售,农、林、牧、渔业,11125761223
2015,居民,房地产业,107096009
2015,大工业,工业,1.77629E+11
2015,大工业,交通运输、仓储和邮政业,3712964235
2015,居民,批发和零售业,3376972
2015,农业,金融业,110545
2015,农业,农、林、牧、渔业,9696826725
2015,农业,工业,72207107
2015,趸售,公共服务及管理组织,31291992004
2015,普通工业,农、林、牧、渔业,54501126
2015,农业,房地产业,221965
2015,普通工业,批发和零售业,9012416125
2015,农业,建筑业,1411045
2015,大工业,建筑业,191254532
2015,其它,批发和零售业,13800564
2015,居民,交通运输、仓储和邮政业,237030
2015,居民,金融业,65218
2015,普通工业,信息传输、软件和信息技术服务业,2616552420
2015,其它,农、林、牧、渔业,550625
2015,其它,信息传输、软件和信息技术服务业,559605
2016,大工业,租赁和商务服务业,50978572
2016,普通工业,城乡居民生活用电,1420782
2016,大工业,建筑业,196631837
2016,其它,交通运输、仓储和邮政业,14150250
2016,普通工业,农、林、牧、渔业,47049513
2016,大工业,信息传输、软件和信息技术服务业,7884660
2016,大工业,公共服务及管理组织,298027258
2016,居民,交通运输、仓储和邮政业,292453
2016,普通工业,公共服务及管理组织,12259772037
2016,居民,工业,18048249
2016,大工业,住宿和餐饮业,9288212
2016,大工业,农、林、牧、渔业,100259
2016,居民,住宿和餐饮业,693407
2016,大工业,交通运输、仓储和邮政业,4555511587
2016,居民,房地产业,104561171
2016,居民,租赁和商务服务业,128655
2016,普通工业,房地产业,4485445426
2016,其它,金融业,4692
2016,普通工业,建筑业,4002594638
2016,普通工业,住宿和餐饮业,3249028123
2016,居民,金融业,139174
2016,居民,批发和零售业,2987178
2016,居民,城乡居民生活用电,55311325697
2016,其它,公共服务及管理组织,53799633
2016,普通工业,工业,27095653487
2016,农业,交通运输、仓储和邮政业,2235261
2016,其它,城乡居民生活用电,164382346
2016,其它,建筑业,5637020
2016,农业,批发和零售业,18014875
2016,普通工业,交通运输、仓储和邮政业,5076246023
2016,居民,农、林、牧、渔业,501590
2016,其它,租赁和商务服务业,560124
2016,趸售,工业,2019000064
2016,大工业,批发和零售业,164730861
2016,农业,住宿和餐饮业,624644
2016,其它,农、林、牧、渔业,9659393
2016,农业,农、林、牧、渔业,10353644045
2016,大工业,城乡居民生活用电,8856
2016,大工业,工业,2.02558E+11
2016,农业,建筑业,1403741
2016,农业,城乡居民生活用电,92988
2016,居民,公共服务及管理组织,1901734245
2016,普通工业,信息传输、软件和信息技术服务业,3145521455
2016,其它,房地产业,604002
2016,居民,建筑业,593312
2016,其它,工业,844374873
2016,农业,信息传输、软件和信息技术服务业,856926
2016,大工业,金融业,1663183
2016,农业,公共服务及管理组织,19515343
2016,农业,工业,67615217
2016,其它,批发和零售业,50128402
2016,大工业,房地产业,3818703
2016,农业,房地产业,255926
2016,农业,租赁和商务服务业,1315251
2016,普通工业,租赁和商务服务业,2187094276
2016,农业,金融业,93799
2016,其它,住宿和餐饮业,906491
2016,普通工业,金融业,878054776
2016,普通工业,批发和零售业,9744446083
2016,居民,信息传输、软件和信息技术服务业,72498
2016,其它,信息传输、软件和信息技术服务业,413847
2017,农业,信息传输、软件和信息技术服务业,710619
2017,其它,批发和零售业,116438569
2017,大工业,建筑业,113354694
2017,其它,房地产业,1494476
2017,其它,住宿和餐饮业,4016207
2017,大工业,金融业,1545982
2017,大工业,农、林、牧、渔业,0
2017,农业,批发和零售业,16589435
2017,农业,住宿和餐饮业,639315
2017,其它,租赁和商务服务业,200031077
2017,居民,交通运输、仓储和邮政业,361832
2017,普通工业,交通运输、仓储和邮政业,5580513356
2017,大工业,批发和零售业,86925415
2017,居民,批发和零售业,3382263
2017,普通工业,建筑业,4377929245
2017,普通工业,城乡居民生活用电,615540
2017,普通工业,住宿和餐饮业,3610768902
2017,农业,金融业,108060
2017,农业,交通运输、仓储和邮政业,1806827
2017,其它,建筑业,39851331
2017,居民,城乡居民生活用电,60049041402
2017,大工业,工业,1.91675E+11
2017,大工业,公共服务及管理组织,235266822
2017,其它,交通运输、仓储和邮政业,128416216
2017,大工业,住宿和餐饮业,4991848
2017,居民,工业,20342708
2017,农业,租赁和商务服务业,262513
2017,其它,农、林、牧、渔业,148976002
2017,趸售,工业,2181000136
2017,农业,公共服务及管理组织,17111296
2017,普通工业,房地产业,5102029397
2017,普通工业,租赁和商务服务业,2462631848
2017,农业,城乡居民生活用电,10199
2017,居民,公共服务及管理组织,2508727063
2017,普通工业,金融业,901505043
2017,大工业,房地产业,1554359
2017,普通工业,工业,28222757311
2017,大工业,信息传输、软件和信息技术服务业,30208329
2017,普通工业,批发和零售业,10589374551
2017,其它,工业,2458065805
2017,大工业,城乡居民生活用电,4
2017,居民,信息传输、软件和信息技术服务业,54932
2017,其它,公共服务及管理组织,369253768
2017,居民,城乡居民生活用电,0
2017,居民,住宿和餐饮业,859566
2017,居民,农、林、牧、渔业,433196
2017,居民,房地产业,153924343
2017,普通工业,信息传输、软件和信息技术服务业,3150814463
2017,居民,租赁和商务服务业,906671
2017,大工业,交通运输、仓储和邮政业,5443959249
2017,农业,房地产业,385821
2017,其它,金融业,1189754
2017,农业,建筑业,1362425
2017,农业,工业,54533293
2017,农业,农、林、牧、渔业,10971984609
2017,居民,建筑业,712249
2017,大工业,租赁和商务服务业,9631437
2017,其它,信息传输、软件和信息技术服务业,525276
2017,普通工业,农、林、牧、渔业,40692069
2017,普通工业,公共服务及管理组织,13463793895
2017,居民,金融业,130426
2017,其它,城乡居民生活用电,1476344367
2018,普通工业,信息传输、软件和信息技术服务业,3321316501
2018,其它,房地产业,9864514
2018,其它,城乡居民生活用电,4812256759
2018,普通工业,交通运输、仓储和邮政业,5962789660
2018,大工业,公共服务及管理组织,250911309
2018,农业,信息传输、软件和信息技术服务业,645830
2018,农业,农、林、牧、渔业,12101291378
2018,普通工业,批发和零售业,11575059716
2018,普通工业,租赁和商务服务业,2864260441
2018,其它,工业,5423228617
2018,居民,房地产业,471341401
2018,其它,金融业,2673749
2018,大工业,农、林、牧、渔业,9432
2018,居民,住宿和餐饮业,1980824
2018,大工业,批发和零售业,240838202
2018,普通工业,工业,30629316870
2018,大工业,城乡居民生活用电,12490
2018,普通工业,住宿和餐饮业,4018301068
2018,普通工业,金融业,947330484
2018,趸售,工业,3435000020
2018,其它,住宿和餐饮业,9836230
2018,大工业,房地产业,27246
2018,其它,建筑业,81602348
2018,大工业,交通运输、仓储和邮政业,5029534056
2018,农业,城乡居民生活用电,493
2018,居民,批发和零售业,8862415
2018,普通工业,建筑业,4992957145
2018,大工业,租赁和商务服务业,25030589
2018,普通工业,城乡居民生活用电,1926145
2018,其它,交通运输、仓储和邮政业,184580026
2018,其它,农、林、牧、渔业,344580833
2018,农业,租赁和商务服务业,285069
2018,居民,工业,70113874
2018,居民,交通运输、仓储和邮政业,329007
2018,大工业,工业,2.02688E+11
2018,其它,租赁和商务服务业,290163641
2018,居民,金融业,9493163
2018,大工业,金融业,1860236
2018,农业,批发和零售业,15094623
2018,农业,公共服务及管理组织,15106987
2018,农业,住宿和餐饮业,436181
2018,居民,城乡居民生活用电,66525706032
2018,居民,建筑业,1379188
2018,农业,金融业,49423
2018,普通工业,农、林、牧、渔业,36139086
2018,普通工业,公共服务及管理组织,14749241273
2018,其它,信息传输、软件和信息技术服务业,5302892
2018,居民,农、林、牧、渔业,738367
2018,居民,公共服务及管理组织,3909267612
2018,其它,公共服务及管理组织,1045310556
2018,其它,批发和零售业,211652902
2018,普通工业,房地产业,6064980399
2018,农业,建筑业,1277905
2018,居民,信息传输、软件和信息技术服务业,666096
2018,农业,交通运输、仓储和邮政业,1944444
2018,居民,租赁和商务服务业,940609
2018,大工业,建筑业,50768911
2018,大工业,信息传输、软件和信息技术服务业,107347913
2018,农业,工业,49330168
2018,大工业,住宿和餐饮业,2552370
2018,农业,房地产业,252823
2019,普通工业,建筑业,5993808847
2019,普通工业,房地产业,6966544100
2019,居民,金融业,6356137
2019,趸售,农、林、牧、渔业,9975523
2019,农业,批发和零售业,14073520
2019,居民,城乡居民生活用电,69201698462
2019,大工业,房地产业,396498
2019,大工业,工业,2.11335E+11
2019,农业,建筑业,1315752
2019,农业,公共服务及管理组织,16137477
2019,其它,工业,6693155449
2019,普通工业,租赁和商务服务业,3160993172
2019,其它,住宿和餐饮业,12142248
2019,居民,租赁和商务服务业,294741
2019,其它,批发和零售业,247860132
2019,其它,信息传输、软件和信息技术服务业,13549826
2019,农业,租赁和商务服务业,343289
2019,普通工业,农、林、牧、渔业,35453846
2019,农业,交通运输、仓储和邮政业,2067270
2019,普通工业,公共服务及管理组织,15732285567
2019,普通工业,信息传输、软件和信息技术服务业,3423886386
2019,居民,房地产业,515631467
2019,居民,建筑业,606133
2019,大工业,建筑业,56778119
2019,大工业,农、林、牧、渔业,175190
2019,大工业,交通运输、仓储和邮政业,5753808960
2019,普通工业,金融业,959972511
2019,趸售,城乡居民生活用电,98219125
2019,居民,交通运输、仓储和邮政业,532482
2019,其它,农、林、牧、渔业,369737042
2019,其它,房地产业,13684137
2019,普通工业,工业,32336128102
2019,普通工业,城乡居民生活用电,2204686
2019,趸售,工业,4842735315
2019,农业,农、林、牧、渔业,13641589629
2019,农业,城乡居民生活用电,82092
2019,农业,房地产业,354269
2019,农业,金融业,13672
2019,大工业,租赁和商务服务业,43944470
2019,大工业,批发和零售业,404582783
2019,居民,信息传输、软件和信息技术服务业,275687
2019,大工业,信息传输、软件和信息技术服务业,194730419
2019,普通工业,交通运输、仓储和邮政业,6586746022
2019,居民,住宿和餐饮业,2488254
2019,大工业,住宿和餐饮业,1805813
2019,其它,金融业,3803521
2019,居民,批发和零售业,7342539
2019,农业,信息传输、软件和信息技术服务业,483181
2019,农业,工业,42016339
2019,居民,工业,150876635
2019,大工业,金融业,1435817
2019,普通工业,批发和零售业,12614118381
2019,其它,租赁和商务服务业,286989326
2019,普通工业,住宿和餐饮业,4395269709
2019,居民,公共服务及管理组织,4554979620
2019,其它,公共服务及管理组织,1213742801
2019,其它,城乡居民生活用电,6806886509
2019,其它,交通运输、仓储和邮政业,195023818
2019,居民,农、林、牧、渔业,1625126
2019,其它,建筑业,91817430
2019,大工业,公共服务及管理组织,238317494
2019,大工业,城乡居民生活用电,24303
2019,农业,住宿和餐饮业,385425
2020,农业,公共服务及管理组织,17983827
2020,普通工业,金融业,1008600107
2020,农业,房地产业,356033
2020,农业,租赁和商务服务业,622031
2020,普通工业,公共服务及管理组织,17938906188
2020,大工业,信息传输、软件和信息技术服务业,301733452
2020,普通工业,住宿和餐饮业,4536936663
2020,其它,金融业,3162889
2020,大工业,批发和零售业,513934292
2020,居民,建筑业,769938
2020,居民,信息传输、软件和信息技术服务业,204070
2020,普通工业,信息传输、软件和信息技术服务业,4001673624
2020,大工业,工业,2.27889E+11
2020,居民,交通运输、仓储和邮政业,1599656
2020,大工业,农、林、牧、渔业,338344
2020,农业,建筑业,1287427
2020,农业,信息传输、软件和信息技术服务业,551062
2020,其它,信息传输、软件和信息技术服务业,12485609
2020,居民,金融业,5554124
2020,其它,住宿和餐饮业,12501804
2020,其它,城乡居民生活用电,10896160573
2020,其它,工业,20489725111
2020,普通工业,建筑业,7031282720
2020,普通工业,城乡居民生活用电,3113565
2020,农业,农、林、牧、渔业,14782989497
2020,农业,批发和零售业,13968655
2020,大工业,公共服务及管理组织,75259412
2020,大工业,租赁和商务服务业,3024439
2020,其它,建筑业,99399669
2020,其它,房地产业,14659016
2020,农业,交通运输、仓储和邮政业,1957825497
2020,普通工业,租赁和商务服务业,3680661468
2020,农业,住宿和餐饮业,442202
2020,趸售,农、林、牧、渔业,5382911
2020,居民,农、林、牧、渔业,1897956
2020,农业,城乡居民生活用电,81128
2020,大工业,交通运输、仓储和邮政业,5777406237
2020,居民,城乡居民生活用电,77760070918
2020,其它,交通运输、仓储和邮政业,188414042
2020,大工业,建筑业,38004868
2020,居民,住宿和餐饮业,5024161
2020,其它,公共服务及管理组织,1224982138
2020,普通工业,批发和零售业,13639424886
2020,趸售,工业,5222958824
2020,居民,房地产业,590981393
2020,居民,公共服务及管理组织,4880715036
2020,大工业,房地产业,1699079
2020,农业,金融业,54
2020,其它,批发和零售业,275525145
2020,其它,农、林、牧、渔业,387292764
2020,居民,工业,189602030
2020,大工业,住宿和餐饮业,2483342
2020,普通工业,房地产业,7653146686
2020,普通工业,交通运输、仓储和邮政业,6640295642
2020,农业,工业,51471007
2020,其它,租赁和商务服务业,321944951
2020,居民,批发和零售业,9179616
2020,大工业,金融业,1130157
2020,居民,租赁和商务服务业,1113365
2020,趸售,城乡居民生活用电,187987672
2020,普通工业,农、林、牧、渔业,34111752
2020,普通工业,工业,37325720159
2020,大工业,城乡居民生活用电,0
2021,居民,交通运输、仓储和邮政业,309366
2021,居民,信息传输、软件和信息技术服务业,129359
2021,其它,住宿和餐饮业,18887028
2021,大工业,公共服务及管理组织,292062036
2021,普通工业,工业,27758866200
2021,其它,农、林、牧、渔业,452512626
2021,普通工业,公共服务及管理组织,13554068189
2021,大工业,房地产业,1804118
2021,居民,批发和零售业,11103999
2021,普通工业,建筑业,5322428991
2021,居民,住宿和餐饮业,5184503
2021,大工业,租赁和商务服务业,21558648
2021,大工业,批发和零售业,590482095
2021,大工业,农、林、牧、渔业,0
2021,居民,工业,68140294
2021,农业,金融业,139
2021,农业,信息传输、软件和信息技术服务业,285812
2021,普通工业,信息传输、软件和信息技术服务业,3251365343
2021,居民,金融业,3158263
2021,居民,公共服务及管理组织,4095032059
2021,普通工业,房地产业,6226331295
2021,大工业,住宿和餐饮业,606410
2021,其它,金融业,12616913
2021,居民,金融业,121425
2021,其它,交通运输、仓储和邮政业,353835986
2021,居民,城乡居民生活用电,611910
2021,普通工业,租赁和商务服务业,3121163884
2021,普通工业,批发和零售业,11311278977
2021,普通工业,城乡居民生活用电,1741141
2021,农业,交通运输、仓储和邮政业,2145819542
2021,农业,工业,33338881
2021,居民,农、林、牧、渔业,688817
2021,其它,信息传输、软件和信息技术服务业,11915466
2021,普通工业,金融业,741401715
2021,居民,租赁和商务服务业,25063
2021,其它,工业,56694495348
2021,其它,批发和零售业,421120821
2021,普通工业,农、林、牧、渔业,17681428
2021,普通工业,住宿和餐饮业,3828736255
2021,农业,农、林、牧、渔业,11037864880
2021,农业,批发和零售业,8422475
2021,居民,农、林、牧、渔业,1223910
2021,大工业,交通运输、仓储和邮政业,4364861660
2021,居民,建筑业,93703
2021,居民,交通运输、仓储和邮政业,1270227
2021,农业,城乡居民生活用电,40976
2021,居民,租赁和商务服务业,2059181
2021,农业,房地产业,113273
2021,居民,建筑业,602603
2021,其它,房地产业,23330930
2021,其它,建筑业,157909228
2021,大工业,信息传输、软件和信息技术服务业,296901121
2021,其它,城乡居民生活用电,15279828467
2021,大工业,城乡居民生活用电,139896
2021,大工业,工业,1.82462E+11
2021,趸售,农、林、牧、渔业,4201806
2021,居民,公共服务及管理组织,2691446
2021,居民,批发和零售业,7317734
2021,居民,工业,47323399
2021,居民,城乡居民生活用电,58407032521
2021,农业,建筑业,623860
2021,其它,租赁和商务服务业,473702988
2021,其它,公共服务及管理组织,1676892073
2021,趸售,城乡居民生活用电,146740157
2021,普通工业,交通运输、仓储和邮政业,5001522234
2021,农业,住宿和餐饮业,352405
2021,大工业,建筑业,26918629
2021,农业,租赁和商务服务业,494303
2021,居民,房地产业,462276089
2021,趸售,工业,4502878554
