序号,小区名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
111,锦绣新天地,121.33076833504214,37.471924141873,1,70,地产小区,bd09,,删除
112,建城西府,121.35222157740087,37.54826592023138,1,70,地产小区,bd09,,删除
113,佳隆公馆,121.33801029440248,37.54472134596786,1,70,地产小区,bd09,,删除
114,一街4-11单元,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
115,越秀星汇凤凰,121.33675113956915,37.54846197375187,1,70,地产小区,bd09,,删除
116,世嘉岭秀,121.35551898743635,37.54763999031592,1,70,地产小区,bd09,,删除
117,世茂小区,121.41323996730219,37.54550802652546,1,70,地产小区,bd09,,删除
118,天鸿小区,121.45050042222837,37.52493684673329,1,70,地产小区,bd09,,删除
119,上夼,121.2463089323496,37.51309991621482,0,50,村庄,bd09,,删除
120,松霞新苑南小区,121.27692902311547,37.51650210514855,1,70,地产小区,bd09,,删除
121,清洋街道宋家疃松霞新苑北小区,121.2765923294698,37.51907027940736,1,70,地产小区,bd09,,删除
122,清洋街道宋家疃银河小区,121.28270548686682,37.5171370285652,1,70,地产小区,bd09,,删除
123,福惠社区福惠花园小区,120.41003626868537,37.35967595289321,1,70,地产小区,bd09,,删除
124,福惠社区悦榕湾小区,121.27263781769429,37.485976852163965,1,70,地产小区,bd09,,删除
125,星河城社区北方家纺小区,121.26440969854511,37.52177467368505,1,75,购物,bd09,,删除
126,星河城社区格中家属楼小区,121.27842398314517,37.51479909814837,0,50,NoClass,bd09,,删除
127,星河城小区,121.26243701964519,37.51721695711592,1,70,地产小区,bd09,,删除
128,福利莱,121.27214141406948,37.51443636597555,1,75,购物,bd09,,删除
129,2921,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
130,史家庄,120.43889630946555,37.606579014638285,0,50,村庄,bd09,,删除
131,颐景园小区,121.24934457615947,37.51659076434129,1,70,地产小区,bd09,,删除
132,乡村记忆小区,121.21619009605831,37.47883230721227,1,70,地产小区,bd09,,删除
133,福园小区,121.29010545816637,37.5296152840461,1,70,地产小区,bd09,,删除
134,玉森明珠小区,121.29011327342431,37.53158609180916,1,70,地产小区,bd09,,删除
135,门楼镇富丽社区富丽新城小区（A区、B区）,121.29619246613254,37.46597886821858,1,70,地产小区,bd09,,删除
136,门楼镇卫城润景社区卫城润景小区,121.29051853216936,37.48201613988373,1,70,地产小区,bd09,,删除
137,东莱街道南苑社南苑小区,120.52276175255487,37.64082379575882,1,70,地产小区,bd09,,删除
138,东莱街道柳莺社区柳莺小区,120.52108263989562,37.645102587122956,1,70,地产小区,bd09,,删除
139,东莱街道柳莺社区新园小区,120.52354130207644,37.640339239008185,1,70,地产小区,bd09,,删除
140,东莱街道柳莺社区秋林小区,120.52108263989562,37.645102587122956,1,70,地产小区,bd09,,删除
141,东莱街道怡园社区怡园小区,120.52672193239562,37.64308151815966,1,70,地产小区,bd09,,删除
142,东莱街道怡园社区怡园北区,120.52615025076906,37.645241523308364,1,70,地产小区,bd09,,删除
143,东莱街道怡园社区怡园南区,120.52723037331427,37.64163402638915,0,50,NoClass,bd09,,删除
144,东莱街道怡园社区建行小区,120.52320722225727,37.647199959892966,1,70,金融,bd09,,删除
145,东莱街道怡园社区混合二层,120.52888172833326,37.64023622653273,1,70,地产小区,bd09,,删除
146,东莱街道怡园社区边防小区,120.52888172833326,37.64023622653273,1,70,地产小区,bd09,,删除
147,东莱街道润新社区南沙沟小区1、2号楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
148,东莱街道怡园社区南沙沟小区3、4号楼,120.52888172833326,37.64023622653273,1,70,地产小区,bd09,,删除
149,东莱街道润新社区皮鞋厂小区,120.54342933691458,37.64934570143095,1,70,地产小区,bd09,,删除
150,东莱街道润新社区老干部小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
151,东莱街道润新社区龙丰小区,120.5485972109448,37.67154317917488,1,70,地产小区,bd09,,删除
152,东莱街道润新社区沿河路小区5、6、7号楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
153,东莱街道润新社区外贸小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
154,东莱街道润新社区邮政小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
155,东莱街道润新社区建行小区,120.52320722225727,37.647199959892966,1,70,金融,bd09,,删除
156,东莱街道润新社区润新小区,120.53730199503103,37.64877105740508,1,70,地产小区,bd09,,删除
157,东莱街道润新社区二实小小区,120.53654283704455,37.65026469398017,1,70,教育,bd09,,删除
158,东莱街道润新社区南巷商贸街,120.53453754965463,37.6516169478767,1,75,购物,bd09,,删除
159,东莱街道润新社区信用社家属楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
160,东莱街道润新社区房产小区,120.53995469120201,37.648522055506184,1,70,地产小区,bd09,,删除
161,东莱街道润新社区南巷北区,120.5344136725253,37.65245085707596,1,70,地产小区,bd09,,删除
162,东莱街道润新社区药材家属区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
163,东莱街道润新社区食品公司小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
164,东莱街道润新社区二厂小区,120.5269144392664,37.64762297021302,1,70,地产小区,bd09,,删除
165,东莱街道润新社区北二厂小区,120.5269144392664,37.64762297021302,1,70,地产小区,bd09,,删除
166,东莱街道润新社区二轻小区,120.52861771634387,37.64779833092172,1,70,地产小区,bd09,,删除
167,东莱街道润新社区农机小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
168,东莱街道润新社区农机局家属楼,120.52607865581992,37.660722015577846,0,50,NoClass,bd09,,删除
169,东莱街道润新社区苗圃小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
170,东莱街道润新社区房管小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
171,东莱街道润新社区典当行小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
172,东莱街道菜园社区城建开发二节,120.52791919397932,37.638727955950195,0,50,NoClass,bd09,,删除
173,东莱街道菜园社区汇丰家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
174,东莱街道菜园社区锅检所家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
175,东莱街道菜园社区李巷小黄楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
176,东莱街道菜园社区建材小区,120.5425664246417,37.64689316517384,1,70,地产小区,bd09,,删除
177,东莱街道菜园社区皮鞋厂家属楼,120.54342933691458,37.64934570143095,1,70,地产小区,bd09,,删除
178,东莱街道菜园社区劳动局小区,120.5353682127597,37.646211712028965,1,70,政府机构,bd09,,删除
179,东莱街道菜园社区劳服家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
180,东莱街道菜园社区农信社家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
181,东莱街道菜园社区中国行家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
182,东莱街道菜园社区一轻局家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
183,东莱街道菜园社区公七号,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
184,东莱街道菜园社区国土局家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
185,东莱街道菜园社区地税局家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
186,东莱街道菜园社区南生活区5节,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
187,东莱街道菜园社区财源小区,120.53718548480639,37.64426346413768,1,70,地产小区,bd09,,删除
188,东莱街道菜园社区恒鑫小区,120.5316906398324,37.64341490227994,1,70,地产小区,bd09,,删除
189,东莱街道菜园社区黄金局家属楼,120.53761999518157,37.644089023648256,0,50,NoClass,bd09,,删除
190,东莱街道菜园社区黄金小区,120.530763408885,37.6468350918969,1,70,地产小区,bd09,,删除
191,东莱街道博士社区博士小区,120.52473694671022,37.66033707477385,1,70,地产小区,bd09,,删除
192,东莱街道博士社区农行小区,120.47246401010129,37.62317910346817,1,70,金融,bd09,,删除
193,东莱街道博士社区乡企局小区,120.52473694671022,37.66033707477385,1,70,地产小区,bd09,,删除
194,东莱街道博士社区北巷村住宅楼,120.53419098338888,37.65671681871161,0,50,村庄,bd09,,删除
195,东莱街道博士社区广电局小区,120.52363203093294,37.65433252325405,1,70,政府机构,bd09,,删除
196,东莱街道西关社区北巷小区,120.53381180863312,37.65558028298645,1,70,地产小区,bd09,,删除
197,东莱街道西关社区博士西小区,120.52473694671022,37.66033707477385,1,70,地产小区,bd09,,删除
198,东莱街道西关社区装潢公司宿舍楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
199,东莱街道西关社区康达小区,120.53221309431702,37.66009475386239,1,70,地产小区,bd09,,删除
200,东莱街道西关社区九七小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
201,东莱街道西关社区二厂家属楼（一栋楼无人居住）,120.52714045293271,37.64690816564385,1,70,地产小区,bd09,,删除
202,东莱街道西关社区博渠单元楼,120.52692944096842,37.65437694872031,0,50,村庄,bd09,,删除
203,东莱街道西关社区博渠二层楼,120.52692944096842,37.65437694872031,0,50,村庄,bd09,,删除
204,东莱街道育才社区南段小区,120.53460591070393,37.649829341796575,1,70,地产小区,bd09,,删除
205,东莱街道育才社区育才小区,120.54769503045927,37.65940499548356,1,70,地产小区,bd09,,删除
206,东莱街道育才社区农技中心家属楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
207,东莱街道育才社区农房家属楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
208,东莱街道育才社区聋哑学校家属楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
209,东莱街道育才社区滨河小区,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
210,东莱街道育才社区计量局家属楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
211,东莱街道育才社区交通委家属楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
212,东莱街道育才社区劳服家属楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
213,东莱街道育才社区北海医院家属楼,120.54659900790655,37.65394997745454,1,70,医疗,bd09,,删除
214,东莱街道沁园社区沁园小区,120.5465204595158,37.64712348011062,1,70,地产小区,bd09,,删除
215,东莱街道沁园社区沁园新区,120.5465204595158,37.64712348011062,1,70,地产小区,bd09,,删除
216,东莱街道沁园社区劳服小区,120.55555448502719,37.6425792603825,1,70,地产小区,bd09,,删除
217,东莱街道沁园社区凤仪、东关小区,120.54704169286187,37.64527552513181,1,70,地产小区,bd09,,删除
218,东莱街道丽园社区站北新村,120.54030997103119,37.662170988988464,1,70,地产小区,bd09,,删除
219,东莱街道丽园社区家电小区,120.54030997103119,37.662170988988464,1,70,地产小区,bd09,,删除
220,东莱街道丽园社区交警小区,120.54030997103119,37.662170988988464,1,70,地产小区,bd09,,删除
221,东莱街道丽园社区宋家疃小区,120.53891346528539,37.66762832568615,1,70,地产小区,bd09,,删除
222,东莱街道丽园社区北关小区,120.54030997103119,37.662170988988464,1,70,地产小区,bd09,,删除
223,东莱街道丽园社区发达小区,120.54204603625978,37.66521189071097,1,70,地产小区,bd09,,删除
224,东莱街道丽园社区西渠小区,120.54030997103119,37.662170988988464,1,70,地产小区,bd09,,删除
225,东莱街道丽园社区黄城开发,120.54030997103119,37.662170988988464,1,70,地产小区,bd09,,删除
226,东莱街道丽园社区公路局小区,120.5388210296484,37.66267304173039,1,70,政府机构,bd09,,删除
227,东莱街道丽园社区站北小区,120.53381180863312,37.65558028298645,1,70,地产小区,bd09,,删除
228,东莱街道怡静社区电业新区,120.53491627525763,37.66378075935842,1,70,地产小区,bd09,,删除
229,东莱街道怡静社区电业老区,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
230,东莱街道怡静社区干休所,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
231,东莱街道怡静社区站北新村,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
232,东莱街道怡静社区交通楼,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
233,东莱街道怡静社区南涧楼,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
234,东莱街道怡静社区民政楼,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
235,东莱街道怡静社区税务楼,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
236,东莱街道怡静社区外贸楼,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
237,东莱街道怡静社区辛店小区,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
238,东莱街道怡静社区纺织楼,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
239,东莱街道怡静社区东立楼,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
240,东莱街道开元社区福海苑,120.53511857365848,37.6594348484857,1,70,地产小区,bd09,,删除
241,东莱街道开元社区康达小区,120.53221309431702,37.66009475386239,1,70,地产小区,bd09,,删除
242,东莱街道开元社区物价楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
243,东莱街道开元社区环保楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
244,东莱街道开元社区人大楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
245,东莱街道开元社区药材楼,120.53391888664991,37.66024237474248,1,70,地产小区,bd09,,删除
246,东莱街道开元社区外贸楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
247,东莱街道开元社区印刷小区,120.53391888664991,37.66024237474248,1,70,地产小区,bd09,,删除
248,东莱街道开元社区财政楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
249,东莱街道开元社区纺机楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
250,东莱街道开元社区博渠楼,120.52366203433698,37.65543200995478,0,25,乡镇,bd09,,删除
251,东莱街道开元社区西生活区,120.52856543496318,37.65941785084481,1,70,地产小区,bd09,,删除
252,东莱街道开元社区百盈小区,120.52950488286552,37.66216577562056,1,70,地产小区,bd09,,删除
253,东莱街道林苑社区牛据小区,120.51851429461205,37.64961134331281,0,50,旅游景点,bd09,,删除
254,东莱街道林苑社区林业小区,120.51851429461205,37.64961134331281,0,50,旅游景点,bd09,,删除
255,东莱街道林苑社区二圣庙小区,120.51851429461205,37.64961134331281,0,50,旅游景点,bd09,,删除
256,东莱街道松隽社区水务小区,120.514619601243,37.66079021916527,1,70,地产小区,bd09,,删除
257,东莱街道松园社区大店小区,120.51475299961122,37.656457987509654,1,70,地产小区,bd09,,删除
258,东莱街道文圣社区政法小区,120.53805279877628,37.65406996962948,1,70,地产小区,bd09,,删除
259,东莱街道文圣社区花园小区,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
260,东莱街道文圣社区放映小区,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
261,东莱街道文圣社区东北隅小区,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
262,东莱街道文圣社区工商楼,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
263,东莱街道文圣社区物资楼,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
264,东莱街道文圣社区公园新村,120.54372586756344,37.65894955715311,1,70,地产小区,bd09,,删除
265,东莱街道文圣社区北大街楼,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
266,东莱街道文圣社区乐凯小区,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
267,东莱街道文圣社区富龙小区,120.5380054580759,37.66110152667446,1,70,地产小区,bd09,,删除
268,东莱街道文圣社区开发小区,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
269,东莱街道文圣社区工业楼,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
270,东莱街道文圣社区农业楼,120.53923964001605,37.65678888275572,1,70,地产小区,bd09,,删除
271,龙港街道北皂社区北皂小区,120.36041962146946,37.68652159970817,0,50,村庄,bd09,,删除
272,龙港街道北皂社区新港路小区,120.33106308723393,37.674424882341675,1,70,地产小区,bd09,,删除
273,龙港街道金海湾社区金海湾社区,120.31881909330238,37.68439436205944,1,70,地产小区,bd09,,删除
274,龙港街道百电社区新港路小区,120.33106308723393,37.674424882341675,1,70,地产小区,bd09,,删除
275,龙港街道百电社区金沙南区,120.33105877536748,37.668446544951045,1,70,地产小区,bd09,,删除
276,龙港街道百电社区金沙北区,120.33054449546302,37.67159408352404,1,70,地产小区,bd09,,删除
277,龙港街道和平社区船检家属楼,120.32675499366917,37.67067735663744,1,70,政府机构,bd09,,删除
278,龙港街道和平社区氯碱厂家属楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
279,龙港街道和平社区外贸楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
280,龙港街道和平社区邹刘街东头楼,120.34796569354022,37.65917245589457,0,50,村庄,bd09,,删除
281,龙港街道和平社区供电所家属楼,120.33968421504375,37.61175411145437,1,70,生活服务,bd09,,删除
282,龙港街道和平社区棉纺厂老楼,120.34330932692926,37.63789347535457,0,50,NoClass,bd09,,删除
283,龙港街道和平社区气象站家属楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
284,龙港街道和平社区公安家属楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
285,龙港街道和平社区第二军休所,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
286,龙港街道和平社区商业楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
287,龙港街道和平社区隆基楼,120.34366739150552,37.66218605776214,0,50,NoClass,bd09,,删除
288,龙港街道和平社区矿上楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
289,龙港街道和平社区五金厂楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
290,龙港街道和平社区教师楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
291,龙港街道和平社区农行楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
292,龙港街道和平社区石油公司楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
293,龙港街道和平社区劳动局楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
294,龙港街道和平社区建筑公司楼,120.346468038594,37.640949952868425,0,50,村庄,bd09,,删除
295,龙港街道和平社区青云小区,120.34649597589535,37.63585163343273,1,70,地产小区,bd09,,删除
296,龙港街道河北嘉元社区玻璃厂小区,120.32679990894468,37.67728013431162,0,50,NoClass,bd09,,删除
