街道名称,小区名称,住户人数,建筑面积,机构名称
通伸,同和馨园,246,600,西炮台社区老年人活动中心
通伸,芝罘屯,895,350,芝罘屯社区老年人活动中心
通伸,西山,782,350,芝罘屯社区老年人活动中心
通伸,永恒,539,350,芝罘屯社区老年人活动中心
通伸,铁路小区,469,444,前进路社区老年人活动中心
通伸,阳光御景,498,444,前进路社区老年人活动中心
通伸,西山颐苑,468,444,前进路社区老年人活动中心
通伸,供销家园,362,444,前进路社区老年人活动中心
通伸,钢厂小区,168,444,前进路社区老年人活动中心
通伸,烟铁家园,320,444,前进路社区老年人活动中心
通伸,三水佳苑,168,500,慎礼社区老年人活动中心
通伸,新建东巷,196,500,慎礼社区老年人活动中心
通伸,新建西巷,112,500,慎礼社区老年人活动中心
通伸,三明街,244,500,慎礼社区老年人活动中心
通伸,永安里,408,500,慎礼社区老年人活动中心
通伸,青年路,100,500,慎礼社区老年人活动中心
通伸,数码港,210,500,慎礼社区老年人活动中心
通伸,交通委家属楼,212,500,慎礼社区老年人活动中心
通伸,集贤街,108,500,慎礼社区老年人活动中心
通伸,西盛街,201,500,慎礼社区老年人活动中心
通伸,西盛四巷,84,500,慎礼社区老年人活动中心
通伸,西盛五巷,156,500,慎礼社区老年人活动中心
通伸,南大街,90,500,慎礼社区老年人活动中心
通伸,东方巴黎小区,2911,992,怡邻健康客厅
通伸,木钟厂小区,491,992,怡邻健康客厅
通伸,北极星花园小区,312,992,怡邻健康客厅
通伸,中萃苑小区,240,992,怡邻健康客厅
通伸,公路局小区,50,992,怡邻健康客厅
通伸,通伸北街,30,992,怡邻健康客厅
通伸,公路局小区,30,992,怡邻健康客厅
世回尧,怡丰佳苑,344,1000,联华社区党群服务中心
世回尧,金帝佳园,300,1000,联华社区党群服务中心
世回尧,馨逸园,1022,2000,下曲家日间照料中心
世回尧,阳光上城,1216,300,上尧社区党群服务中心
世回尧,润鼎家园,242,316,世联社区党群服务中心
世回尧,中拓假日,472,316,世联社区党群服务中心
奇山街道,奇南社区,3560,800,奇南社区日间照料中心
奇山街道党群服务中心
奇山街道,四眼桥社区,2722,450,四眼桥社区日间照料中心
奇山街道,塔山社区,3260,800,塔山社区日间照料中心
奇山街道,迎东社区,2161,600,迎东社区党群服务中心
奇山街道,上夼西路社区,4680,740,上夼西路社区日间照料中心
奇山街道,迎西社区,2460,460,迎西社区党群服务中心
奇山街道,长生社区,3721,667,长生社区党群服务中心
奇山街道,奇中社区,4039,630,奇中社区日间照料中心
黄务,山水龙城,1200,200,社区党群活动室
黄务,山水龙城8区,1028,200,社区党群活动室
黄务,姜家社区,4500,2567.3,烟台颐养院养老服务中心有限公司
黄务,鑫凤小区,780,120,卧龙社区党群活动室
黄务,初家卧龙小区,580,200,社区党群活动室
黄务,竹林苑,660,200,社区党群活动室
黄务,魁玉花园,966,200,社区党群活动室
黄务,桦林颐和园,1334,2300,金色家园老年公寓
黄务,通世新城小区,2300,2300,金色家园老年公寓
黄务,优山美地,850,2300,金色家园老年公寓
黄务,朗郡,850,2300,金色家园老年公寓
黄务,山水龙城L区,200,2300,金色家园老年公寓
黄务,现代山水田园小区,150,2300,金色家园老年公寓
黄务,蓁山社区,4150,3800,东方老年颐养中心
黄务,柏林春天,1000,2567.3,烟台颐养院养老服务中心有限公司
黄务,朱家疃小区,200,2567.3,烟台颐养院养老服务中心有限公司
黄务,三和绿景,896,300,街道党群活动室
黄务,三合佳苑,455,300,街道党群活动室
黄务,金苹果公寓,472,300,街道党群活动室
黄务,中正山庄,1752,3800,东方老年颐养中心
黄务,卧龙社区,1739,330,社区党群活动室
黄务,昊佳花园,1800,300,街道党群活动室
黄务,红星国际广场,1040,330,社区党群活动室
黄务,富甲小区,2529,3800,东方老年颐养中心
黄务,傅家小区,522,3800,东方老年颐养中心
黄务,福兴佳苑小区,696,3800,东方老年颐养中心
黄务,锦绣新天地,3017,510,社区党群活动室
凤凰台,建城西府,1115,150,烟台宝云综合养老服务中心
凤凰台,佳隆公馆,206,31,烟台市芝罘区凤凰台街道社区老年人日间照料中心
凤凰台,一街4-11单元,96,14,烟台市芝罘区凤凰台街道社区老年人日间照料中心
凤凰台,越秀星汇凤凰,1500,105,中台社区老年人活动中心
凤凰台,世嘉岭秀,801,120,中台社区老年人活动中心
东山街道,世茂小区,515,2700,烟台恒爱养老院
东山街道,天鸿小区,430,2700,烟台恒爱养老院
,上夼,730,109.5,上夼社区日间照料中心
,松霞新苑南小区,1051,500,宋家疃社区日间照料中心
,清洋街道宋家疃松霞新苑北小区,673,0,宋家疃社区日间照料中心
,清洋街道宋家疃银河小区,792,0,宋家疃社区日间照料中心
,福惠社区福惠花园小区,3311,1600,烟台市福山区  馨悦居家养老  服务中心
,福惠社区悦榕湾小区,332,0,烟台市福山区  馨悦居家养老  服务中心
,星河城社区北方家纺小区,284,0,鸿福居家养老服务中心
,星河城社区格中家属楼小区,118,0,鸿福居家养老服务中心
,星河城小区,3693,560,鸿福居家养老服务中心
,福利莱
万和城,2921,300,盛泉集团
,史家庄,300,300,史家庄居委会
,颐景园小区,560,800,下夼居委会
,乡村记忆小区,1900,300,乡村记忆社区
,福园小区,580,300,馨悦居家养老
,玉森明珠小区,860,,馨悦居家养老
,门楼镇富丽社区富丽新城小区（A区、B区）,1700,430,富丽社区
,门楼镇卫城润景社区卫城润景小区,850,1800,卫家疃村委
东莱街道,东莱街道南苑社南苑小区,900,135,恒康日间照料中心
东莱街道,东莱街道柳莺社区柳莺小区,486,72.9,恒康日间照料中心
东莱街道,东莱街道柳莺社区新园小区,75,11.25,恒康日间照料中心
东莱街道,东莱街道柳莺社区秋林小区,35,5.25,恒康日间照料中心
东莱街道,东莱街道怡园社区怡园小区,1742,261.3,恒康日间照料中心
东莱街道,东莱街道怡园社区怡园北区,383,57.45,恒康日间照料中心
东莱街道,东莱街道怡园社区怡园南区,1130,169.5,恒康日间照料中心
东莱街道,东莱街道怡园社区建行小区,80,12,林苑养老服务中心
东莱街道,东莱街道怡园社区混合二层,84,12.6,林苑养老服务中心
东莱街道,东莱街道怡园社区边防小区,12,1.8,林苑养老服务中心
东莱街道,东莱街道润新社区南沙沟小区1、2号楼,56,8.4,润新养老服务中心
东莱街道,东莱街道怡园社区南沙沟小区3、4号楼,81,12.15,润新养老服务中心
东莱街道,东莱街道润新社区皮鞋厂小区,40,6,润新养老服务中心
东莱街道,东莱街道润新社区老干部小区,16,2.4,润新养老服务中心
东莱街道,东莱街道润新社区龙丰小区,60,9,润新养老服务中心
东莱街道,东莱街道润新社区沿河路小区5、6、7号楼,120,18,润新养老服务中心
东莱街道,东莱街道润新社区外贸小区,80,12,润新养老服务中心
东莱街道,东莱街道润新社区邮政小区,66,9.9,润新养老服务中心
东莱街道,东莱街道润新社区建行小区,12,1.8,润新养老服务中心
东莱街道,东莱街道润新社区润新小区,222,33.3,润新养老服务中心
东莱街道,东莱街道润新社区二实小小区,30,4.5,润新养老服务中心
东莱街道,东莱街道润新社区南巷商贸街,88,13.2,润新养老服务中心
东莱街道,东莱街道润新社区信用社家属楼,35,5.25,润新养老服务中心
东莱街道,东莱街道润新社区房产小区,15,2.25,润新养老服务中心
东莱街道,东莱街道润新社区南巷北区,75,11.25,润新养老服务中心
东莱街道,东莱街道润新社区药材家属区,20,3,润新养老服务中心
东莱街道,东莱街道润新社区食品公司小区,120,18,润新养老服务中心
东莱街道,东莱街道润新社区二厂小区,333,49.95,润新养老服务中心
东莱街道,东莱街道润新社区北二厂小区,30,4.5,润新养老服务中心
东莱街道,东莱街道润新社区二轻小区,145,21.75,润新养老服务中心
东莱街道,东莱街道润新社区农机小区,88,13.2,润新养老服务中心
东莱街道,东莱街道润新社区农机局家属楼,30,4.5,润新养老服务中心
东莱街道,东莱街道润新社区苗圃小区,56,8.4,润新养老服务中心
东莱街道,东莱街道润新社区房管小区,80,12,润新养老服务中心
东莱街道,东莱街道润新社区典当行小区,60,9,润新养老服务中心
东莱街道,东莱街道菜园社区城建开发二节,48,7.2,龙报日间照料中心
东莱街道,东莱街道菜园社区汇丰家属楼,20,3,龙报日间照料中心
东莱街道,东莱街道菜园社区锅检所家属楼,16,2.4,龙报日间照料中心
东莱街道,东莱街道菜园社区李巷小黄楼,27,4.05,龙报日间照料中心
东莱街道,东莱街道菜园社区建材小区,66,9.9,龙报日间照料中心
东莱街道,东莱街道菜园社区皮鞋厂家属楼,54,8.1,龙报日间照料中心
东莱街道,东莱街道菜园社区劳动局小区,92,13.8,龙报日间照料中心
东莱街道,东莱街道菜园社区劳服家属楼,55,8.25,龙报日间照料中心
东莱街道,东莱街道菜园社区农信社家属楼,48,7.2,龙报日间照料中心
东莱街道,东莱街道菜园社区中国行家属楼,32,4.8,龙报日间照料中心
东莱街道,东莱街道菜园社区一轻局家属楼,30,4.5,龙报日间照料中心
东莱街道,东莱街道菜园社区公七号,30,4.5,龙报日间照料中心
东莱街道,东莱街道菜园社区国土局家属楼,24,3.6,龙报日间照料中心
东莱街道,东莱街道菜园社区地税局家属楼,24,3.6,龙报日间照料中心
东莱街道,东莱街道菜园社区南生活区5节,382,57.3,龙报日间照料中心
东莱街道,东莱街道菜园社区财源小区,740,111,龙报日间照料中心
东莱街道,东莱街道菜园社区恒鑫小区,185,27.75,龙报日间照料中心
东莱街道,东莱街道菜园社区黄金局家属楼,67,10.05,龙报日间照料中心
东莱街道,东莱街道菜园社区黄金小区,110,16.5,龙报日间照料中心
东莱街道,东莱街道博士社区博士小区,922,138.3,松园社区日间照料中心
东莱街道,东莱街道博士社区农行小区,91,13.65,松园社区日间照料中心
东莱街道,东莱街道博士社区乡企局小区,264,39.6,松园社区日间照料中心
东莱街道,东莱街道博士社区北巷村住宅楼,30,4.5,松园社区日间照料中心
东莱街道,东莱街道博士社区广电局小区,52,7.8,松园社区日间照料中心
东莱街道,东莱街道西关社区北巷小区,1200,180,林苑养老服务中心
东莱街道,东莱街道西关社区博士西小区,160,24,林苑养老服务中心
东莱街道,东莱街道西关社区装潢公司宿舍楼,12,1.8,林苑养老服务中心
东莱街道,东莱街道西关社区康达小区,64,9.6,林苑养老服务中心
东莱街道,东莱街道西关社区九七小区,143,21.45,林苑养老服务中心
东莱街道,东莱街道西关社区二厂家属楼（一栋楼无人居住）,92,13.8,林苑养老服务中心
东莱街道,东莱街道西关社区博渠单元楼,156,23.4,林苑养老服务中心
东莱街道,东莱街道西关社区博渠二层楼,60,9,林苑养老服务中心
东莱街道,东莱街道育才社区南段小区,120,18,润新养老服务中心
东莱街道,东莱街道育才社区育才小区,506,75.9,润新养老服务中心
东莱街道,东莱街道育才社区农技中心家属楼,50,7.5,润新养老服务中心
东莱街道,东莱街道育才社区农房家属楼,32,4.8,润新养老服务中心
东莱街道,东莱街道育才社区聋哑学校家属楼,30,4.5,润新养老服务中心
东莱街道,东莱街道育才社区滨河小区,289,43.35,润新养老服务中心
东莱街道,东莱街道育才社区计量局家属楼,85,12.75,润新养老服务中心
东莱街道,东莱街道育才社区交通委家属楼,24,3.6,润新养老服务中心
东莱街道,东莱街道育才社区劳服家属楼,28,4.2,润新养老服务中心
东莱街道,东莱街道育才社区北海医院家属楼,127,19.05,润新养老服务中心
东莱街道,东莱街道沁园社区沁园小区,1132,169.8,龙报日间照料中心
东莱街道,东莱街道沁园社区沁园新区,400,60,龙报日间照料中心
东莱街道,东莱街道沁园社区劳服小区,205,30.75,龙报日间照料中心
东莱街道,东莱街道沁园社区凤仪、东关小区,83,12.45,龙报日间照料中心
东莱街道,东莱街道丽园社区站北新村,196,29.4,怡静日间照料中心
东莱街道,东莱街道丽园社区家电小区,40,6,怡静日间照料中心
东莱街道,东莱街道丽园社区交警小区,90,13.5,遇家日间照料中心
东莱街道,东莱街道丽园社区宋家疃小区,130,19.5,怡静日间照料中心
东莱街道,东莱街道丽园社区北关小区,100,15,遇家日间照料中心
东莱街道,东莱街道丽园社区发达小区,428,64.2,遇家日间照料中心
东莱街道,东莱街道丽园社区西渠小区,520,78,怡静日间照料中心
东莱街道,东莱街道丽园社区黄城开发,63,9.45,怡静日间照料中心
东莱街道,东莱街道丽园社区公路局小区,64,9.6,怡静日间照料中心
东莱街道,东莱街道丽园社区站北小区,248,37.2,怡静日间照料中心
东莱街道,东莱街道怡静社区电业新区,80,12,怡静日间照料中心
东莱街道,东莱街道怡静社区电业老区,88,13.2,怡静日间照料中心
东莱街道,东莱街道怡静社区干休所,49,7.35,怡静日间照料中心
东莱街道,东莱街道怡静社区站北新村,96,14.4,怡静日间照料中心
东莱街道,东莱街道怡静社区交通楼,24,3.6,怡静日间照料中心
东莱街道,东莱街道怡静社区南涧楼,60,9,怡静日间照料中心
东莱街道,东莱街道怡静社区民政楼,18,2.7,怡静日间照料中心
东莱街道,东莱街道怡静社区税务楼,48,7.2,怡静日间照料中心
东莱街道,东莱街道怡静社区外贸楼,23,3.45,怡静日间照料中心
东莱街道,东莱街道怡静社区辛店小区,62,9.3,怡静日间照料中心
东莱街道,东莱街道怡静社区纺织楼,32,4.8,怡静日间照料中心
东莱街道,东莱街道怡静社区东立楼,45,6.75,怡静日间照料中心
东莱街道,东莱街道开元社区福海苑,85,12.75,怡静日间照料中心
东莱街道,东莱街道开元社区康达小区,140,21,怡静日间照料中心
东莱街道,东莱街道开元社区物价楼,30,4.5,怡静日间照料中心
东莱街道,东莱街道开元社区环保楼,45,6.75,怡静日间照料中心
东莱街道,东莱街道开元社区人大楼,15,2.25,怡静日间照料中心
东莱街道,东莱街道开元社区药材楼,30,4.5,怡静日间照料中心
东莱街道,东莱街道开元社区外贸楼,20,3,怡静日间照料中心
东莱街道,东莱街道开元社区印刷小区,220,33,怡静日间照料中心
东莱街道,东莱街道开元社区财政楼,18,2.7,怡静日间照料中心
东莱街道,东莱街道开元社区纺机楼,40,6,怡静日间照料中心
东莱街道,东莱街道开元社区博渠楼,60,9,怡静日间照料中心
东莱街道,东莱街道开元社区西生活区,652,97.8,怡静日间照料中心
东莱街道,东莱街道开元社区百盈小区,112,16.8,怡静日间照料中心
东莱街道,东莱街道林苑社区牛据小区,280,42,林苑养老服务中心
东莱街道,东莱街道林苑社区林业小区,20,3,林苑养老服务中心
东莱街道,东莱街道林苑社区二圣庙小区,348,52.2,林苑养老服务中心
东莱街道,东莱街道松隽社区水务小区,130,19.5,松园日间照料中心
东莱街道,东莱街道松园社区大店小区,340,51,松园日间照料中心
东莱街道,东莱街道文圣社区政法小区,232,34.8,林苑养老服务中心
东莱街道,东莱街道文圣社区花园小区,109,16.35,林苑养老服务中心
东莱街道,东莱街道文圣社区放映小区,46,6.9,林苑养老服务中心
东莱街道,东莱街道文圣社区东北隅小区,102,15.3,林苑养老服务中心
东莱街道,东莱街道文圣社区工商楼,64,9.6,林苑养老服务中心
东莱街道,东莱街道文圣社区物资楼,32,4.8,林苑养老服务中心
东莱街道,东莱街道文圣社区公园新村,262,39.3,林苑养老服务中心
东莱街道,东莱街道文圣社区北大街楼,151,22.65,林苑养老服务中心
东莱街道,东莱街道文圣社区乐凯小区,36,5.4,林苑养老服务中心
东莱街道,东莱街道文圣社区富龙小区,186,27.9,林苑养老服务中心
东莱街道,东莱街道文圣社区开发小区,80,12,林苑养老服务中心
东莱街道,东莱街道文圣社区工业楼,15,2.25,林苑养老服务中心
东莱街道,东莱街道文圣社区农业楼,24,3.6,林苑养老服务中心
龙港街道,龙港街道北皂社区北皂小区,1420,213,北皂社区日间照料中心
龙港街道,龙港街道北皂社区新港路小区,120,18,北皂社区日间照料中心
龙港街道,龙港街道金海湾社区金海湾社区,330,49.5,北皂社区日间照料中心
龙港街道,龙港街道百电社区新港路小区,696,104.4,北皂社区日间照料中心
龙港街道,龙港街道百电社区金沙南区,230,34.5,北皂社区日间照料中心
龙港街道,龙港街道百电社区金沙北区,820,123,北皂社区日间照料中心
龙港街道,龙港街道和平社区船检家属楼,12,1.8,和平社区日间照料中心
龙港街道,龙港街道和平社区氯碱厂家属楼,40,6,和平社区日间照料中心
龙港街道,龙港街道和平社区外贸楼,76,11.4,和平社区日间照料中心
龙港街道,龙港街道和平社区邹刘街东头楼,32,4.8,和平社区日间照料中心
龙港街道,龙港街道和平社区供电所家属楼,44,6.6,和平社区日间照料中心
龙港街道,龙港街道和平社区棉纺厂老楼,30,4.5,和平社区日间照料中心
龙港街道,龙港街道和平社区气象站家属楼,16,2.4,和平社区日间照料中心
龙港街道,龙港街道和平社区公安家属楼,32,4.8,和平社区日间照料中心
龙港街道,龙港街道和平社区第二军休所,24,3.6,和平社区日间照料中心
龙港街道,龙港街道和平社区商业楼,80,12,和平社区日间照料中心
龙港街道,龙港街道和平社区隆基楼,56,8.4,和平社区日间照料中心
龙港街道,龙港街道和平社区矿上楼,16,2.4,和平社区日间照料中心
龙港街道,龙港街道和平社区五金厂楼,10,1.5,和平社区日间照料中心
龙港街道,龙港街道和平社区教师楼,80,12,和平社区日间照料中心
龙港街道,龙港街道和平社区农行楼,40,6,和平社区日间照料中心
龙港街道,龙港街道和平社区石油公司楼,30,4.5,和平社区日间照料中心
龙港街道,龙港街道和平社区劳动局楼,32,4.8,和平社区日间照料中心
龙港街道,龙港街道和平社区建筑公司楼,60,9,和平社区日间照料中心
龙港街道,龙港街道和平社区青云小区,64,9.6,和平社区日间照料中心
龙港街道,龙港街道河北嘉元社区玻璃厂小区,174,26.1,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区造纸厂小区,250,37.5,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区金沙路小区,90,13.5,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区金沙路二区,76,11.4,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区振兴路小区,78,11.7,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区河北路木材小区,244,36.6,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区康泰路一区,237,35.55,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区康泰路二区,96,14.4,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区二院家属楼,40,6,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区房产南北楼,40,6,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区疗养院楼,40,6,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区招远金矿楼,12,1.8,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区转播台院,25,3.75,逄家社区日间照料中心
龙港街道,龙港街道河北嘉元社区港湾新村,551,82.65,逄家社区日间照料中心
龙港街道,龙港街道花苑社区人民银行宿舍楼,36,5.4,花苑社区日间照料中心
龙港街道,龙港街道花苑社区老政府家属北楼,30,4.5,花苑社区日间照料中心
龙港街道,龙港街道花苑社区老政府家属楼,21,3.15,花苑社区日间照料中心
龙港街道,龙港街道花苑社区隆基小区,304,45.6,花苑社区日间照料中心
龙港街道,龙港街道花苑社区塔北小区,376,56.4,花苑社区日间照料中心
龙港街道,龙口国际海员俱乐部家属楼,60,9,花苑社区日间照料中心
龙港街道,龙口市家具厂（滨河小区）,180,27,花苑社区日间照料中心
龙港街道,龙港街道花苑社区花苑北区一期,780,117,花苑社区日间照料中心
龙港街道,龙港街道花苑社区花苑小区二区,673,100.95,逄家社区日间照料中心
龙港街道,花苑北区三期,284,42.6,逄家社区日间照料中心
龙港街道,龙港街道花苑社区塔南小区,270,40.5,逄家社区日间照料中心
龙港街道,龙港街道花苑社区丽港小区,112,16.8,逄家社区日间照料中心
龙港街道,龙港街道新港路社区新港小区,93,13.95,北皂社区日间照料中心
龙港街道,龙港街道新港路社区金龙公寓,586,87.9,北皂社区日间照料中心
龙港街道,龙港街道新港路社区玻璃厂,102,15.3,北皂社区日间照料中心
龙港街道,龙港街道新港路社区口岸办、海事处小区,62,9.3,北皂社区日间照料中心
龙港街道,龙港街道新港路社区东方食品冷藏小区,48,7.2,北皂社区日间照料中心
龙港街道,龙港街道新港路社区新港路北小区,438,65.7,北皂社区日间照料中心
龙港街道,龙港街道新港路社区边防检查站小区,24,3.6,北皂社区日间照料中心
龙港街道,龙港街道新港路社区商检小区,16,2.4,北皂社区日间照料中心
龙港街道,龙港街道新港路社区建行小区,14,2.1,北皂社区日间照料中心
龙港街道,龙港街道新港路社区林场小区,106,15.9,北皂社区日间照料中心
龙港街道,龙港街道梁家社区梁家东西区,1239,185.85,逄家社区日间照料中心
龙港街道,龙港街道梁家社区康泰路小区,410,61.5,逄家社区日间照料中心
龙港街道,龙港街道龙海社区龙海社区,1841,276.15,北皂社区日间照料中心
龙港街道,龙港街道新港路社区海迪小区,46,6.9,北皂社区日间照料中心
龙港街道,龙港街道浅海社区胜海花园,1072,160.8,胜利社区日间照料中心
龙港街道,龙港街道红光社区水产隆海家苑,164,24.6,和平社区日间照料中心
龙港街道,龙港街道红光社区防疫站,12,1.8,和平社区日间照料中心
龙港街道,龙港街道红光社区悦港小区,171,25.65,和平社区日间照料中心
龙港街道,水产通海家苑（15#-25#）,321,48.15,和平社区日间照料中心
龙港街道,龙港街道红光社区水产佳海家苑,92,13.8,和平社区日间照料中心
龙港街道,龙港街道红光社区城建开发楼,20,3,和平社区日间照料中心
龙港街道,龙港街道红光社区海滨小区,320,48,和平社区日间照料中心
龙港街道,龙港街道红光社区云龙小区,412,61.8,和平社区日间照料中心
龙港街道,龙港街道红光社区大连开发楼,10,1.5,和平社区日间照料中心
龙港街道,龙港街道红光社区电业小区（和平开发楼、红光开发楼、电业家属楼）,80,12,和平社区日间照料中心
龙港街道,龙港街道红光社区商检1#、2#楼,20,3,和平社区日间照料中心
龙港街道,龙港街道红光社区商检3#楼,20,3,和平社区日间照料中心
龙港街道,龙港街道红光社区酒厂家属楼,20,3,和平社区日间照料中心
龙港街道,龙港街道红光社区工行家属楼,24,3.6,和平社区日间照料中心
龙港街道,龙港街道红光社区中行家属楼,36,5.4,和平社区日间照料中心
龙港街道,龙港街道红光社区渔港小区,180,27,和平社区日间照料中心
龙港街道,龙港街道红光社区水产裕海家苑（28#-30#）,155,23.25,和平社区日间照料中心
龙港街道,龙港街道红光社区水产37#楼,12,1.8,和平社区日间照料中心
龙港街道,龙港街道红光社区新建行家属楼,48,7.2,和平社区日间照料中心
龙港街道,龙港街道红光社区旧建行家属楼,34,5.1,和平社区日间照料中心
龙港街道,龙港街道央各庄社区外贸粮油,24,3.6,和平社区日间照料中心
龙港街道,龙港街道央各庄社区外贸小区,114,17.1,和平社区日间照料中心
龙港街道,龙港街道央各庄社区水产静海,108,16.2,和平社区日间照料中心
龙港街道,龙港街道央各庄社区冷藏干部楼,30,4.5,和平社区日间照料中心
龙港街道,龙港街道央各庄社区百福小区,100,15,和平社区日间照料中心
龙港街道,龙港街道央各庄社区外运小区,24,3.6,和平社区日间照料中心
龙港街道,龙港街道央各庄社区水建,16,2.4,和平社区日间照料中心
龙港街道,龙港街道央各庄社区32户,32,4.8,和平社区日间照料中心
龙港街道,龙港街道央各庄社区邮局网通,54,8.1,和平社区日间照料中心
龙港街道,龙港街道央各庄社区二中队,70,10.5,和平社区日间照料中心
龙港街道,龙港街道央各庄社区央格庄40户,40,6,和平社区日间照料中心
龙港街道,龙港街道央各庄社区芙蓉北区,148,22.2,和平社区日间照料中心
龙港街道,龙港街道央各庄社区芙蓉南区,300,45,和平社区日间照料中心
龙港街道,龙港街道央各庄社区海关,40,6,和平社区日间照料中心
龙港街道,龙港街道央各庄社区点式工行楼,30,4.5,和平社区日间照料中心
龙港街道,龙港街道央各庄社区水文站,16,2.4,和平社区日间照料中心
龙港街道,龙港街道央各庄社区针织厂南区,72,10.8,和平社区日间照料中心
龙港街道,龙港街道央各庄社区针织厂北区,256,38.4,和平社区日间照料中心
龙港街道,龙港街道央各庄社区酒厂,32,4.8,和平社区日间照料中心
龙港街道,龙港街道央各庄社区水产隆海,116,17.4,和平社区日间照料中心
龙港街道,龙港街道央各庄社区水校35、36号,70,10.5,和平社区日间照料中心
龙港街道,龙港街道央各庄社区水产将军楼,108,16.2,和平社区日间照料中心
龙港街道,龙港街道央各庄社区水产26.27号,72,10.8,和平社区日间照料中心
龙港街道,龙港街道央各庄社区红光商城,104,15.6,和平社区日间照料中心
龙港街道,龙港街道央各庄社区冷藏小区,108,16.2,和平社区日间照料中心
龙港街道,龙港街道央各庄社区怡海工行楼,8,1.2,和平社区日间照料中心
龙港街道,龙港街道新龙家苑社区六中家属楼,40,6,和平社区日间照料中心
龙港街道,龙港街道港湾名城,1482,222.3,逄家社区日间照料中心
东莱街道,东莱街道中韵家苑,908,136.2,遇家日间照料中心
东莱街道,东莱街道开元小区,425,63.75,遇家日间照料中心
龙港街道,龙港街道海岸华府,3300,495,胜利社区日间照料中心
龙港街道,龙港街道西海岸,3377,506.55,龙港日间照料中心
龙港街道,龙港街道海韵小区,456,68.4,逄家社区日间照料中心
龙港街道,龙港街道怡海小区,452,67.8,逄家社区日间照料中心
龙港街道,龙港街道隆基花城,203,30.45,逄家社区日间照料中心
东莱街道,东莱街道东方怡景小区,121,18.15,遇家日间照料中心
新嘉街道,新嘉街道万豪·伊顿,1655,248.25,新嘉日间照料中心
