序号,机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
30,福新街道小河子居委会日间照料中心,121.19681113095264,37.535463951847426,0,50,NoClass,bd09,,删除
31,清洋街道星河城社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
32,清洋街道云龙山社区日间照料中心,121.24015347350358,37.49219052397582,1,70,地产小区,bd09,,删除
33,清洋街道福惠社区日间照料中心,121.26764413736433,37.51418419128861,0,25,乡镇,bd09,,删除
34,清洋街道上夼社区日间照料中心,121.2463089323496,37.51309991621482,0,50,村庄,bd09,,删除
35,高新区福山园泊子社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
36,高新区福山园永福园社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
37,清洋街道史家庄社区城市日间照料中心,121.26447958671378,37.500901371108355,1,70,地产小区,bd09,,删除
38,清洋街道栾家疃社区城市日间照料中心　,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
39,高新区万科社区城市日间照料中心,121.28557934585434,37.48205544867166,0,50,工业园区,bd09,,删除
40,高新区姜刘疃社区城市日间照料中心　,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
41,高新区小陈家社区城市日间照料中心　,121.28557934585434,37.48205544867166,0,50,工业园区,bd09,,删除
42,高新区永达街社区城市日间照料中心　,121.28557934585434,37.48205544867166,0,50,工业园区,bd09,,删除
43,东厅街道乡村记忆社区日间照料中心,121.21619009605831,37.47883230721227,1,70,地产小区,bd09,,删除
44,门楼镇富丽社区日间照料中心,121.249914461175,37.422850251146876,0,25,乡镇,bd09,,删除
45,清洋街道宋家疃社区日间照料中心,121.26752241696774,37.52030870178732,1,70,政府机构,bd09,,删除
46,门楼镇卫城润景社区日间照料中心,121.29051853216936,37.48201613988373,1,70,地产小区,bd09,,删除
47,万科市民社区食堂,121.19095768241908,37.577986301109554,1,80,餐饮,bd09,,删除
48,福惠市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
49,三里店市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
50,奇泉路市民社区食堂,121.23778266560164,37.52393808831878,1,80,餐饮,bd09,,删除
51,快活岭社区市民社区食堂,121.61442869135274,37.38501499679255,1,80,餐饮,bd09,,删除
52,康悦老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
53,文化老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
54,观水老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
55,养马岛老年食堂,121.62598431377201,37.47187323412183,0,25,乡镇,bd09,,删除
56,龙泉老年食堂,121.78425065309754,37.343279290041416,0,25,乡镇,bd09,,删除
57,大窑老年食堂,121.66382776897416,37.39643453890209,0,25,乡镇,bd09,,删除
58,水道老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
59,玉林店老年食堂,121.63279930852345,37.28581910479417,0,25,乡镇,bd09,,删除
60,王格庄老年食堂,121.41399526257497,37.1756065359755,0,25,乡镇,bd09,,删除
61,高陵老年食堂,121.53566733034056,37.30383892207138,0,25,乡镇,bd09,,删除
62,莒格庄老年食堂,121.69727716277424,37.17432149954847,0,25,乡镇,bd09,,删除
63,姜格庄老年食堂,121.82551234042627,37.42520233205566,0,25,乡镇,bd09,,删除
64,新城街社区006号市民社区食堂,121.45190653984312,37.506852358981476,0,30,道路,bd09,,删除
65,文兴路社区005号市民社区食堂,121.60722149641565,37.39198716427327,1,80,餐饮,bd09,,删除
66,通海路社区011号市民社区食堂,121.60506358691958,37.40605322905605,1,80,餐饮,bd09,,删除
67,社会福利综合服务中心老年食堂,121.60252497554838,37.358561953071735,1,70,政府机构,bd09,,删除
68,社会福利中心老年食堂,121.40298545058359,37.44915443477309,1,70,政府机构,bd09,,删除
69,新城花苑综合养老服务中心老年食堂,121.59512248899341,37.41145504835654,0,70,地产小区,bd09,,删除
70,为民日间照料老年食堂,121.37474056941666,37.58359014166243,0,80,餐饮,bd09,,删除
71,兴华老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
72,福荣老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
73,馨慧老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
74,儒家老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
75,紫宸老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
76,温馨老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
77,福康老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
78,浩岭湖老年食堂,121.37474056941666,37.58359014166243,0,80,餐饮,bd09,,删除
79,幸福老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
80,城北村日间照料老年食堂,121.60416815598722,37.40754611391426,0,50,村庄,bd09,,删除
81,迟家市民社区食堂,121.44383059364733,37.5154693858869,1,80,餐饮,bd09,,删除
82,鹿鸣北区市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
83,鹿鸣南区市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
84,杰瑞祥和苑市民社区食堂,121.4025229130765,37.446665593868104,1,80,餐饮,bd09,,删除
85,河东新城市民社区食堂,121.43914467278508,37.46381390287361,1,80,餐饮,bd09,,删除
86,鑫龙旺源社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
87,万泰麓溪公馆市民社区食堂,121.44383059364733,37.5154693858869,1,80,餐饮,bd09,,删除
88,圣莱恩综合养老服务中心,121.18781558940628,36.780678532907025,1,75,购物,bd09,,删除
89,黄海明珠山庄社区社区老年助餐点,121.44591933361913,37.519078473648264,0,50,NoClass,bd09,,删除
90,祥隆社区社区老年助餐点,121.44569287080006,37.46589451638336,0,50,NoClass,bd09,,删除
91,华润社区社区老年助餐点,120.71019274805903,37.783098217581596,0,50,NoClass,bd09,,删除
92,圣莱恩综合服务中心,121.18781558940628,36.780678532907025,1,75,购物,bd09,,删除
93,东沟村助餐点,120.23765620233982,37.40998309511864,0,50,村庄,bd09,,删除
94,南村助餐点,120.91486842460766,38.364654815507876,0,50,村庄,bd09,,删除
95,明泉村助餐点,121.37818530155577,37.39156871074415,0,50,村庄,bd09,,删除
96,千金村助餐点,121.37918655287719,37.376530774720216,0,50,村庄,bd09,,删除
97,金村助餐点,121.4145540086022,37.36381399170424,0,50,村庄,bd09,,删除
98,曲村助餐点,121.42542377476457,37.36117027123326,0,50,村庄,bd09,,删除
99,朱塂堡村助餐点,121.35181195008833,37.35778433043856,0,50,村庄,bd09,,删除
100,解村老年食堂,121.37474056941666,37.58359014166243,1,80,餐饮,bd09,,删除
101,河西社区助餐点,117.2294162800198,39.115718082215515,0,20,区县,bd09,,删除
102,远陵夼村助餐点,121.41544404970148,37.490642720402334,0,50,村庄,bd09,,删除
103,曹家社区助餐点,120.27107586222752,37.45035989789725,0,50,村庄,bd09,,删除
104,界牌村助餐点,121.39419157862422,37.46887455552525,0,50,村庄,bd09,,删除
105,凤凰小区助餐点,121.44225936747982,37.47027166271143,1,70,地产小区,bd09,,删除
106,宋家庄村助餐点,121.44127437548813,37.456565241258204,0,50,村庄,bd09,,删除
107,安康通综合养老服务中心助餐点,120.71477239937946,36.95732672619845,1,70,生活服务,bd09,,删除
108,院格庄社区老年食堂,121.36665851474339,37.3174936728024,0,25,乡镇,bd09,,删除
109,北格庄社区老年食堂,121.39762526160554,37.329458098812935,0,50,村庄,bd09,,删除
110,马格庄社区老年食堂,120.88226101256208,37.80392205241294,0,50,村庄,bd09,,删除
111,沐浴社区老年食堂,121.37474056941666,37.58359014166243,0,80,餐饮,bd09,,删除
112,初家汤村老年食堂,121.43897426422983,37.47078268288547,0,25,乡镇,bd09,,删除
113,郑家庄村老年食堂,121.37504985600374,37.30137054614338,0,50,村庄,bd09,,删除
114,万光府前花园老年食堂,121.44999395758184,37.46504598027373,1,70,地产小区,bd09,,删除
115,秀林日间照料中心助餐点,120.5529962007653,37.465833006792735,0,50,NoClass,bd09,,删除
116,福地隆城社区助餐点,121.47948272238844,37.45521127525563,1,70,地产小区,bd09,,删除
117,孔辛头助餐点,121.45390859333321,37.319116261637774,0,50,村庄,bd09,,删除
118,车家助餐点,121.22944162944985,37.553202719984384,0,50,村庄,bd09,,删除
119,南水桃林助餐点,120.9526391170635,36.66653629451933,0,50,村庄,bd09,,删除
120,冶头东助餐点,121.46162602579999,37.33851750535095,0,50,村庄,bd09,,删除
121,北水桃林助餐点,120.9526391170635,36.66653629451933,0,50,村庄,bd09,,删除
122,林家疃助餐点,121.46662374850474,37.36533568920925,0,50,村庄,bd09,,删除
123,朱柳助餐点,121.47871799490778,37.36840394247981,0,50,村庄,bd09,,删除
124,李家疃助餐点,120.56995557997983,37.73380611292425,0,50,村庄,bd09,,删除
125,丁家夼助餐点,121.45948716038073,37.40055605545864,0,50,村庄,bd09,,删除
126,解家河助餐点,121.48141165381,37.400161802790215,0,50,村庄,bd09,,删除
127,繁荣庄助餐点,121.48857069957178,37.38600759948583,0,50,村庄,bd09,,删除
128,大山后助餐点,121.50248473327693,37.38845209681595,0,50,村庄,bd09,,删除
129,东解甲庄助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
130,西解甲庄助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
131,冶头北助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
132,冶头南助餐点,121.4535073202619,37.338882676188355,0,50,村庄,bd09,,删除
133,姜家疃助餐点,120.53099840560641,37.63397262593307,0,50,村庄,bd09,,删除
134,秀林老年福利中心综合助餐点,121.42307901772243,37.418948150144416,1,70,政府机构,bd09,,删除
135,曹家庄社区综合助餐点,121.4101625522861,37.457183777639806,0,50,村庄,bd09,,删除
136,盛水庄助餐点,121.45083791560845,37.440436643693126,0,50,村庄,bd09,,删除
137,杰瑞社区老年食堂,121.37474056941666,37.58359014166243,0,80,餐饮,bd09,,删除
138,刘家庄村助餐点,121.01542267729192,37.669726556404676,0,50,村庄,bd09,,删除
139,祁家屯村助餐点,121.43302433768449,37.43226758393359,0,50,村庄,bd09,,删除
140,石家疃村助餐点,121.42781353691277,37.411153938441956,0,50,村庄,bd09,,删除
141,两甲埠村助餐点,121.3903519513829,37.422937589486786,0,50,村庄,bd09,,删除
142,黄家疃村助餐点,121.40725833057235,37.41498508051686,0,50,村庄,bd09,,删除
143,何家屯社区助餐点,121.42025977570992,37.42843102906066,1,70,地产小区,bd09,,删除
144,杏花苑社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
145,海景苑社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
146,长者食堂南山康养中心店,120.50248430227815,37.58315918559737,1,70,政府机构,bd09,,删除
147,长者食堂海岱社区一店,120.5354305551621,37.66351738245297,1,80,餐饮,bd09,,删除
148,长者食堂财源社区一店,120.5354305551621,37.66351738245297,1,80,餐饮,bd09,,删除
149,长者食堂怡静社区一店,120.53537890259527,37.663998858718074,1,70,地产小区,bd09,,删除
150,长者食堂花苑社区一店,120.5354305551621,37.66351738245297,1,80,餐饮,bd09,,删除
151,长者食堂胜利社区店,120.5354305551621,37.66351738245297,1,80,餐饮,bd09,,删除
152,长者食堂九南社区店,120.49754110671783,37.636147829398546,1,80,餐饮,bd09,,删除
153,长者食堂归城董家店,120.5354305551621,37.66351738245297,1,80,餐饮,bd09,,删除
154,长者食堂明德社区一店,120.50829202706126,37.65066997276447,0,50,NoClass,bd09,,删除
155,长者食堂驿东社区店,120.5354305551621,37.66351738245297,1,80,餐饮,bd09,,删除
156,长者食堂柳行社区店,120.5354305551621,37.66351738245297,1,80,餐饮,bd09,,删除
157,西小区助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
158,仁爱桃源助餐点,119.9438447242748,37.18533668618109,0,50,NoClass,bd09,,删除
159,玉皇苑小区助餐点,119.94974407621993,37.21970838826581,1,70,地产小区,bd09,,删除
160,云峰名苑助餐点,119.97554179351656,37.18436642343952,1,70,地产小区,bd09,,删除
161,芳馨苑助餐点,119.95364865094959,37.21025667881538,1,70,地产小区,bd09,,删除
162,开建宝第助餐点,119.95839601590872,37.18682005194052,0,50,NoClass,bd09,,删除
163,金地家园助餐点,119.9429143492581,37.17593986835092,1,70,地产小区,bd09,,删除
164,开建小区助餐点,119.95044394604275,37.216424221318206,1,70,地产小区,bd09,,删除
165,康馨苑助餐点,119.95853606173772,37.21143698634147,1,70,地产小区,bd09,,删除
166,福鑫花园助餐点,121.04546632541202,37.48929896903181,1,70,地产小区,bd09,,删除
167,天和苑助餐点,120.84022660283367,37.320179624704004,1,70,地产小区,bd09,,删除
168,金都社区助餐点,121.36125601557583,37.47621172349869,0,70,地产小区,bd09,,删除
169,云峰花园社区助餐点,120.41224448329,37.37670584698894,1,70,地产小区,bd09,,删除
170,子福馄饨助餐点,119.96004000482252,37.209886351425425,1,80,餐饮,bd09,,删除
171,浩娟黄焖鸡助餐点,121.33509241844496,37.48098494970255,1,80,餐饮,bd09,,删除
172,东耀饭店助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
173,世纪羊肉村助餐点,119.94451503984632,37.18707190063685,1,80,餐饮,bd09,,删除
174,泉涌助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
175,回家吃饭助餐点,120.71292000358731,36.968531826533734,1,80,餐饮,bd09,,删除
176,骄子聚助餐点,120.49179069382627,37.598151159935426,1,75,购物,bd09,,删除
177,丰鑫747鱼馆助餐点,119.9443572973988,37.17517098039465,1,80,餐饮,bd09,,删除
178,竹林源助餐点,119.9634488945718,37.181739916119746,1,80,餐饮,bd09,,删除
179,浩顺助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
180,大娜助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
181,鑫禾助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
182,泉宏助餐点,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
183,郑记农家海鲜助餐点,119.95282930649394,37.20311178149131,1,80,餐饮,bd09,,删除
184,川香鱼馆助餐点,119.93593128154575,37.19533004165537,1,80,餐饮,bd09,,删除
185,鹅公鹅婆助餐点,119.95552098912404,37.202943487273124,1,80,餐饮,bd09,,删除
186,鼓楼社区助餐点,118.76201495127098,32.09726033310457,1,70,地产小区,bd09,,删除
187,盛世桃源助餐点,120.86776593927888,23.227315460636227,0,20,区县,bd09,,删除
188,惠家餐饮中央厨房,120.49253170604145,37.64760746987775,0,50,NoClass,bd09,,删除
189,金晖社区市民食堂,121.37602325985435,37.48380158951328,1,80,餐饮,bd09,,删除
190,阳光社区市民食堂,121.37602325985435,37.48380158951328,1,80,餐饮,bd09,,删除
191,北山社区市民食堂,121.37602325985435,37.48380158951328,1,80,餐饮,bd09,,删除
192,金东市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
193,万科城市民社区食堂,121.19095768241908,37.577986301109554,1,80,餐饮,bd09,,删除
194,中建悦海市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
195,海韵市民社区食堂,121.1229824553263,37.640151430441016,1,80,餐饮,bd09,,删除
196,恒祥市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
197,蜜橙社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
198,金光社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
199,磁山颐生苑社区食堂,121.08367314519296,37.558800288414425,1,70,地产小区,bd09,,删除
200,容大社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
201,铭仕城社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
202,中海社区食堂,120.39942036366011,37.389996084262734,1,80,餐饮,bd09,,删除
203,市民社区食堂,120.43880028060653,37.364611413263304,1,80,餐饮,bd09,,删除
