序号,护理机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
31,莱州中安桃源老年公寓,119.97198117996666,37.155330496920456,1,70,医疗,bd09,,删除
32,县府街社区卫生服务站,121.26691938447888,37.50649617200136,1,70,医疗,bd09,,删除
33,莱州市中医医院,119.96688096060322,37.18755194893068,1,70,医疗,bd09,,删除
34,烟台高新蕾娜范护理院,121.50035503057387,37.436060959610906,1,70,政府机构,bd09,,删除
35,烟台城发榆悦康护医院有限公司,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
36,烟台市芝罘区东山街道进德社区卫生服务站,121.41654716886772,37.53853390236166,1,70,医疗,bd09,,删除
37,龙口市人民医院,120.46368801442156,37.65959504034544,1,70,医疗,bd09,,删除
38,龙口经济开发区医院,120.3389420350314,37.607261977839585,1,70,医疗,bd09,,删除
39,龙口市开源医院,120.39928696529188,37.616638002866225,1,70,医疗,bd09,,删除
40,龙口市龙港街道敬老院,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
41,烟台市蓬莱区紫荆山老年社会福利中心,120.75645099029533,37.81811474208075,0,25,乡镇,bd09,,删除
42,德河社区卫生服务站,121.27303774330733,37.509880272708315,1,70,医疗,bd09,,删除
43,福惠社区卫生服务站,121.27784637270226,37.48670724673842,1,70,医疗,bd09,,删除
44,烟台市福山区福利莱社区卫生服务站,121.27049850312228,37.51890574062406,1,70,医疗,bd09,,删除
45,烟台市老年公寓,120.23960552529647,37.506238316463374,1,70,医疗,bd09,,删除
46,龙口市城市社区卫生服务中心,120.51454450290235,37.65844562210531,1,70,医疗,bd09,,删除
47,龙口市枫晚老年公寓,120.35902509199576,37.642267088768165,1,70,医疗,bd09,,删除
48,莱州博爱医院,119.93206802886952,37.18102399163196,1,70,医疗,bd09,,删除
49,莱州柴棚医院,120.21045596065044,37.139144955581955,1,70,医疗,bd09,,删除
50,莱州市第二人民医院,119.77357001655297,37.05413948123324,1,70,医疗,bd09,,删除
51,莱州市社会福利中心,119.99711226474436,37.17579343807238,1,70,政府机构,bd09,,删除
52,烟台华医康复医院,121.503284584503,37.451391949564034,1,70,医疗,bd09,,删除
53,招远金都康复医院,120.3802160291456,37.35775399696758,1,70,医疗,bd09,,删除
54,蓬莱西山中西医结合医院,120.79641399734827,37.81058198907115,1,70,医疗,bd09,,删除
55,烟台市莱山区清泉养生苑,121.4513806717976,37.51764858410898,0,20,区县,bd09,,删除
56,山东黄金职业病防治院,119.98747236865569,37.38361972495766,1,75,购物,bd09,,删除
57,山东玲珑英诚医院有限公司,120.41687596683835,37.39212600316453,1,70,医疗,bd09,,删除
58,烟台秀林老年福利服务中心,121.42307901772243,37.418948150144416,1,70,政府机构,bd09,,删除
59,海阳市康馨老年公寓,121.14414078398612,36.768206754228544,1,70,医疗,bd09,,删除
60,烟台市蓬莱区紫荆山街道敬老院,120.78173119378768,37.76763493414717,1,70,政府机构,bd09,,删除
61,烟台市芝罘区向阳街道友谊社区卫生服务站,121.4042292443927,37.540339228986994,1,70,医疗,bd09,,删除
62,海阳市二十里店镇卫生院,121.09819901478096,36.735517916532935,0,25,乡镇,bd09,,删除
63,海阳市行村镇卫生院,120.92357192703274,36.6867778675633,1,70,医疗,bd09,,删除
64,海阳市鹤童村老年护理中心,121.2055172384637,36.8113265238839,1,70,政府机构,bd09,,删除
65,海阳市社会福利服务中心,121.17424982874735,36.748968921896925,1,70,政府机构,bd09,,删除
66,海阳市医方养老院,121.19040962622745,36.74915840151386,1,70,政府机构,bd09,,删除
67,莱阳鸿杰医院（东院）,120.70484360823876,36.97513505966677,1,70,地产小区,bd09,,删除
68,莱阳鸿杰医院（西院）,120.77327804910824,36.976918379154256,1,70,医疗,bd09,,删除
69,莱阳市康达老年公寓,120.70753807561594,36.95226581310368,1,70,医疗,bd09,,删除
70,莱阳市人民医院,120.69452001182643,36.950332950240245,1,70,医疗,bd09,,删除
71,观水镇中心卫生院,121.27195798008435,37.22153433190258,1,70,医疗,bd09,,删除
72,烟台市洪强普惠中医医院,121.27515639685262,37.56414557146631,1,70,医疗,bd09,,删除
73,烟台市牟平区姜格庄街道社区卫生服务中心,121.82142001984501,37.423742974537035,1,70,医疗,bd09,,删除
74,宁海社区卫生服务中心,121.6020913634787,37.3969125966594,1,70,医疗,bd09,,删除
75,烟台市牟平区水道镇中心卫生院,121.59041617659608,37.177587386939834,0,25,乡镇,bd09,,删除
76,滨州医学院烟台附属医院,121.59375796292375,37.41787996430857,1,70,医疗,bd09,,删除
77,烟台测试护理机构,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
78,大窑街道社区卫生服务中心,121.6664742668371,37.39708274720903,1,70,医疗,bd09,,删除
