序号,机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
31,烟台和悦天伦养老院有限公司,121.34649901198011,37.56282997189101,1,70,医疗,bd09,,删除
32,烟台市芝罘区广济老年人颐养中心,121.42199889517723,37.53914753379966,1,70,政府机构,bd09,,删除
33,烟台润祥颐养院有限公司,121.50035503057387,37.436060959610906,0,70,政府机构,bd09,,删除
34,烟台市夕阳红老年公寓,121.15238004212362,36.77097417342341,1,70,政府机构,bd09,,删除
35,烟台市芝罘区君祥老年公寓,121.3694645516649,37.45763766848589,1,70,医疗,bd09,,删除
36,烟台市九如城养老服务有限公司,121.23671502950303,37.480091053673014,0,70,政府机构,bd09,,删除
37,济南鲁商福瑞达护理院有限公司烟台分公司,121.44824603472051,37.52756915699503,0,50,NoClass,bd09,,删除
38,烟台万汇老年公寓有限公司,121.24185504380057,37.49177170467779,1,70,医疗,bd09,,删除
39,烟台市牟平区温馨老年公寓,121.59909075358374,37.40670601155742,1,70,医疗,bd09,,删除
40,烟台市牟平区社会福利中心,121.62045147047493,37.4028969458217,1,70,政府机构,bd09,,删除
41,烟台市牟平区德源老年公寓,121.5977463495575,37.393102455422934,1,70,医疗,bd09,,删除
42,烟台为民养老服务有限公司,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
43,烟台市牟平区福满老年公寓,121.57904291019535,37.388944757018685,1,70,医疗,bd09,,删除
44,烟台市牟平区康悦老年公寓,121.60871025813734,37.380039167293965,1,70,医疗,bd09,,删除
45,烟台市牟平区文化街道办事处敬老院,121.59983365224048,37.387686399037804,1,70,政府机构,bd09,,删除
46,烟台市牟平区福元老年公寓,121.57904291019535,37.388944757018685,1,70,医疗,bd09,,删除
47,烟台市牟平区馨慧老年公寓,121.62047186201002,37.36564996297559,1,70,医疗,bd09,,删除
48,烟台市牟平区福荣老年公寓,121.6075328491054,37.39041268299511,1,70,政府机构,bd09,,删除
49,烟台市牟平区桃源老年公寓,121.63004447501599,37.363836363507346,1,70,医疗,bd09,,删除
50,烟台市牟平区社会救助综合服务中心,121.60654911474143,37.392915451795815,0,20,区县,bd09,,删除
51,烟台市牟平区兴华老年公寓,121.59632918278496,37.385616136974654,1,70,医疗,bd09,,删除
52,烟台市牟平区姜格庄街道敬老院,121.82551234042627,37.42520233205566,0,25,乡镇,bd09,,删除
53,烟台市牟平区人民政府大窑街道敬老院,121.56717773169736,37.37334957815932,1,70,政府机构,bd09,,删除
54,烟台市牟平区紫宸老年公寓,121.57904291019535,37.388944757018685,1,70,医疗,bd09,,删除
55,烟台市牟平区幸福老年公寓,121.57674854809231,37.38287082364991,1,70,医疗,bd09,,删除
56,烟台市牟平区人民政府武宁街道敬老院,121.56717773169736,37.37334957815932,1,70,政府机构,bd09,,删除
57,烟台市牟平区福康老年看护服务中心,121.58196896073301,37.39798882457715,1,70,教育,bd09,,删除
58,烟台市牟平区浩岭湖养老院,121.60654911474143,37.392915451795815,0,20,区县,bd09,,删除
59,烟台市牟平区儒家老年公寓,121.57904291019535,37.388944757018685,1,70,医疗,bd09,,删除
60,烟台市牟平区观水镇敬老院,121.27447619992047,37.22138087848757,0,25,乡镇,bd09,,删除
61,烟台市牟平区龙泉镇敬老院,121.78425065309754,37.343279290041416,0,25,乡镇,bd09,,删除
62,烟台市牟平区玉林店镇敬老院,121.63279930852345,37.28581910479417,0,25,乡镇,bd09,,删除
63,烟台市牟平区水道镇敬老院,121.59041617659608,37.177587386939834,0,25,乡镇,bd09,,删除
64,烟台市牟平区高陵镇下雨村敬老院,121.47665997698444,37.267166995522466,0,50,村庄,bd09,,删除
65,烟台市牟平区王格庄镇敬老院,121.41399526257497,37.1756065359755,0,25,乡镇,bd09,,删除
66,烟台市牟平区莒格庄镇敬老院,121.69727716277424,37.17432149954847,0,25,乡镇,bd09,,删除
67,烟台莱山区红洁老年养护中心,121.4197267212203,37.41974197107905,1,70,汽车服务,bd09,,删除
68,烟台莱山秀林老年福利服务中心,121.42307901772243,37.418948150144416,1,70,政府机构,bd09,,删除
69,烟台市莱山区清泉养生苑,121.4513806717976,37.51764858410898,0,20,区县,bd09,,删除
70,烟台圣莱恩养老院有限公司,121.39165898589992,37.40318196423577,1,70,医疗,bd09,,删除
71,莱山区颐龙福养老公寓,121.4182918578292,37.41974856293141,1,70,政府机构,bd09,,删除
72,烟台市莱山区弘翔老年公寓,121.41556873450625,37.42570427735081,1,70,医疗,bd09,,删除
73,烟台市莱山区圣恩老年公寓,121.4909893871574,37.43397463772892,1,70,医疗,bd09,,删除
74,烟台市正大城发养老服务有限公司,121.40324955240352,37.4504063083014,0,50,NoClass,bd09,,删除
75,烟台市蓬莱区紫荆山街道舒怡苑老年公寓,120.78292827571028,37.80569422205719,1,70,政府机构,bd09,,删除
76,烟台市蓬莱区紫荆山老年社会福利中心,120.75645099029533,37.81811474208075,0,25,乡镇,bd09,,删除
77,烟台市蓬莱区紫荆山街道敬老院,120.78173119378768,37.76763493414717,1,70,政府机构,bd09,,删除
78,烟台市蓬莱涌泉康护中心,120.80711110919165,37.79875070421029,1,70,医疗,bd09,,删除
79,蓬莱顺康养老服务有限公司,120.81825117548198,37.78741942164776,1,70,政府机构,bd09,,删除
80,蓬莱市夕阳红养老服务有限公司,120.33986145072085,37.657560513549946,0,75,购物,bd09,,删除
81,华录健康养老发展有限公司烟台分公司,121.44824603472051,37.52756915699503,0,50,NoClass,bd09,,删除
82,龙口市兰高镇敬老院,120.6351020430217,37.60952401600373,1,70,政府机构,bd09,,删除
83,龙口市诸由观镇敬老院,120.53717551361522,37.69909057899611,1,70,政府机构,bd09,,删除
84,龙口市芦头镇敬老院,120.47120530442072,37.61769874972226,1,70,政府机构,bd09,,删除
85,龙口市龙港街道敬老院,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
86,龙口市七甲镇敬老院,120.60389131638303,37.54276812743538,1,70,政府机构,bd09,,删除
87,龙口市新嘉街道敬老院,120.47120530442072,37.61769874972226,1,70,政府机构,bd09,,删除
88,龙口市东江五里桥老年公寓,120.53864873465159,37.643221529673156,1,70,政府机构,bd09,,删除
89,龙口市同心老年公寓,120.5349770007101,37.6396878005474,1,70,医疗,bd09,,删除
90,龙口市徐福街道敬老院,120.51932178143497,37.63334299302918,1,70,政府机构,bd09,,删除
91,龙口市下丁家镇敬老院,120.51330879384284,37.55235561339104,0,25,乡镇,bd09,,删除
92,龙口市枫晚老年公寓,120.35902509199576,37.642267088768165,1,70,医疗,bd09,,删除
93,龙口市下丁家田原山庄老年公寓,120.53049598333469,37.53696295978082,1,70,休闲娱乐,bd09,,删除
94,龙口市黄山馆镇敬老院,120.28851502641493,37.55408514812007,0,25,乡镇,bd09,,删除
95,龙口市康乐福老年公寓,120.52950182862679,37.63422896421482,1,70,医疗,bd09,,删除
96,龙口市海岱老年公寓,120.33967020147779,37.61237370940247,1,70,医疗,bd09,,删除
97,龙口市东莱街道遇家敬老院,120.5456836345919,37.67599689833629,1,70,政府机构,bd09,,删除
98,东江街道敬老院,120.47120530442072,37.61769874972226,1,70,政府机构,bd09,,删除
99,龙口市东莱街道敬老院,120.47120530442072,37.61769874972226,1,70,政府机构,bd09,,删除
100,龙口市恒康养老服务中心,120.52026751747586,37.643793645382786,0,50,NoClass,bd09,,删除
101,龙口市石良镇敬老院,120.60389131638303,37.54276812743538,1,70,政府机构,bd09,,删除
102,龙口市开元养老康复中心,120.39901729397779,37.61621560070148,1,70,医疗,bd09,,删除
103,莱阳市金色晚年老年公寓,120.7041459841797,36.95535996341418,1,70,医疗,bd09,,删除
104,莱阳市温馨老年公寓,120.71953755078766,36.979370861118284,1,70,医疗,bd09,,删除
105,家和兴老年公寓,120.69297762126581,36.97033447591368,1,70,医疗,bd09,,删除
106,莱阳市颐养院老年公寓,120.7376234051117,36.98652236709177,1,70,医疗,bd09,,删除
107,莱阳德昭颐养中心,120.71946317109145,36.99237711721506,1,70,政府机构,bd09,,删除
108,莱阳德怡老年公寓,120.69493700524416,36.948982916260796,1,70,医疗,bd09,,删除
109,莱阳鸿杰敬老公寓,120.70876659823139,36.9886778477599,1,70,政府机构,bd09,,删除
110,莱阳市安泰老年公寓,120.718414309578,36.9846355683041,0,20,区县,bd09,,删除
111,益寿康老年公寓,120.69943275482996,37.000680175494324,1,70,医疗,bd09,,删除
112,莱阳市天福老年公寓,120.72888064673585,37.000037315429076,1,70,医疗,bd09,,删除
113,莱阳市康泰山庄老年公寓,120.72976098613563,37.00060805035542,1,70,医疗,bd09,,删除
114,莱阳市天乐老年公寓,120.72859264998935,36.99983556489481,1,70,医疗,bd09,,删除
115,莱阳市爱心老年公寓,120.71043214647744,36.98495771329721,1,70,政府机构,bd09,,删除
116,莱阳市康佳老年公寓,120.70739668232866,36.95564128284392,1,70,医疗,bd09,,删除
117,莱阳市康达老年公寓,120.70753807561594,36.95226581310368,1,70,医疗,bd09,,删除
118,莱阳市怡康老年公寓,120.70700403299026,36.960291769373384,1,70,医疗,bd09,,删除
119,莱阳鸿杰龙旺庄养老公寓,120.718414309578,36.9846355683041,0,20,区县,bd09,,删除
120,莱阳鸿福莱颐养中心,120.7748913159736,36.97696227327829,1,70,政府机构,bd09,,删除
121,莱阳市金安达老年服务中心,120.76566976076094,36.9762156372381,1,70,生活服务,bd09,,删除
122,莱阳市经济开发区祥福苑老年公寓,120.62761260049335,36.95363511065916,1,70,政府机构,bd09,,删除
123,莱阳鸿杰柏林庄养老公寓,120.6808193256799,37.00275909351602,0,25,乡镇,bd09,,删除
124,莱阳鸿杰沐浴店养老公寓,120.76739531581505,37.04239058673246,0,25,乡镇,bd09,,删除
125,万第老来乐老年公寓,120.87002016269982,36.88576533097254,0,25,乡镇,bd09,,删除
126,莱阳市夕阳红老年公寓有限公司,120.718414309578,36.9846355683041,0,20,区县,bd09,,删除
127,高格庄康华老年公寓,120.77679563382421,36.7254441199254,0,25,乡镇,bd09,,删除
128,莱州市社会福利中心,119.99711226474436,37.17579343807238,1,70,政府机构,bd09,,删除
129,莱州市文昌敬老院,119.93759000266992,37.19988696271701,1,70,政府机构,bd09,,删除
130,莱州市永安路街道敬老院,119.93759000266992,37.19988696271701,1,70,政府机构,bd09,,删除
131,莱州市三山岛街道西由敬老院,119.96154331909348,37.33609317317259,1,70,政府机构,bd09,,删除
132,莱州市颐寿养老院,120.00035047644673,37.341232107097916,1,70,政府机构,bd09,,删除
133,莱州市三山岛街道过西敬老院,119.96154331909348,37.33609317317259,1,70,政府机构,bd09,,删除
134,莱州市西由颐寿园托老所,120.00476214463677,37.366122410818924,1,70,政府机构,bd09,,删除
135,莱州市老年康复中心,119.94894898601305,37.1999855575956,1,70,医疗,bd09,,删除
136,莱州市城港路街道敬老院,119.93759000266992,37.19988696271701,1,70,政府机构,bd09,,删除
137,莱州桃源山庄老年公寓,119.94923204207923,37.23931799529287,1,70,医疗,bd09,,删除
138,莱州市文峰路街道敬老院,119.94493212309463,37.13356508463054,0,25,乡镇,bd09,,删除
139,府林公寓,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
140,沙河镇养老服务中心,119.7933933733944,37.11460742647144,1,70,政府机构,bd09,,删除
141,莱州市沙河镇敬老院,119.83465568953697,37.154884037659784,1,70,政府机构,bd09,,删除
142,莱州市朱桥镇敬老院,120.08935269993378,37.31641319487129,1,70,政府机构,bd09,,删除
143,莱州市郭家店镇敬老院,120.12394949936177,37.050539803126554,1,70,政府机构,bd09,,删除
144,莱州市柴棚养老院,120.2098136722108,37.13850967921697,0,50,村庄,bd09,,删除
145,莱州市金城镇敬老院,120.12469653022386,37.42621976002991,1,70,政府机构,bd09,,删除
146,莱州市平里店镇敬老院,119.96154331909348,37.33609317317259,1,70,政府机构,bd09,,删除
147,莱州市驿道镇中心敬老院,120.22854756412974,37.28535992921043,1,70,政府机构,bd09,,删除
148,莱州市程郭镇敬老院,120.01173048013878,37.22897148797467,0,25,乡镇,bd09,,删除
149,莱州市虎头崖镇敬老院,119.93759000266992,37.19988696271701,1,70,政府机构,bd09,,删除
150,莱州市石都老年公寓,119.93395069755734,37.088669001995704,1,70,医疗,bd09,,删除
151,莱州市柞村镇中心敬老院,119.9338402059796,37.08859832854063,1,70,政府机构,bd09,,删除
152,莱州市夏邱镇敬老院,119.86046400683864,37.01707240728237,1,70,政府机构,bd09,,删除
153,莱州市夏邱镇老年服务中心,119.9396226883779,37.01153973338456,1,70,政府机构,bd09,,删除
154,莱州市土山镇敬老院,119.69742020931938,37.061185691155416,0,25,乡镇,bd09,,删除
155,金岭镇敬老院,120.3098936195858,37.41068915762916,1,70,政府机构,bd09,,删除
156,招远市张星镇敬老院,120.3098936195858,37.41068915762916,1,70,政府机构,bd09,,删除
157,招远市东城老年公寓,120.45439522358194,37.372237933964364,1,70,医疗,bd09,,删除
158,招远市阜山镇敬老院,120.54022364387168,37.32353872202275,1,70,政府机构,bd09,,删除
159,御华老年公寓,120.42969514578795,37.37736039281108,1,70,医疗,bd09,,删除
160,招远市福康养老有限责任公司,120.40695454180285,37.36959759590178,1,70,政府机构,bd09,,删除
161,招远市康璐老年公寓,120.33156595865842,37.415759955400816,1,70,医疗,bd09,,删除
162,招远市滨海老年公寓,120.23960552529647,37.506238316463374,1,70,医疗,bd09,,删除
163,招远市轮胎西区老年公寓,120.39524539897194,37.357419539153156,1,70,医疗,bd09,,删除
164,招远市多米养老服务有限公司,120.44060165264568,37.36113714256612,0,20,区县,bd09,,删除
165,招远市祥和圆老年公寓有限公司,120.4480843578827,37.36370643486461,1,70,医疗,bd09,,删除
166,招远市金都老年福利中心,120.39308551320376,37.37120126865992,1,70,政府机构,bd09,,删除
167,招远市毕郭镇敬老院,120.56657399871807,37.229344737896376,0,25,乡镇,bd09,,删除
168,招远市蚕庄镇敬老院,120.23274848984715,37.40486245414874,1,70,政府机构,bd09,,删除
169,招远金汇老年公寓,120.40116846618253,37.371188578221215,1,70,医疗,bd09,,删除
170,招远市夏甸镇敬老院,120.31679278556352,37.21252027771195,1,70,政府机构,bd09,,删除
171,招远金街养老服务中心,120.40752999631253,37.389826419244095,1,70,生活服务,bd09,,删除
172,招远市玲珑镇敬老院,120.48488910242365,37.41497440389689,1,70,政府机构,bd09,,删除
173,招远市金辉老年公寓有限公司,120.23960552529647,37.506238316463374,1,70,医疗,bd09,,删除
174,招远市新亚永宁老年公寓,120.40155940874047,37.36913284196297,1,70,医疗,bd09,,删除
175,招远市龙馨养老服务中心,120.40752999631253,37.389826419244095,1,70,生活服务,bd09,,删除
176,招远市金城老年福利服务中心,120.11478157298804,37.42667068801649,0,25,乡镇,bd09,,删除
177,招远市齐山镇敬老院,120.37585367792803,37.24836882040259,1,70,政府机构,bd09,,删除
178,招远市金康老年养护中心,120.44060165264568,37.36113714256612,0,20,区县,bd09,,删除
179,招远市锦江老年人日间照料中心,120.39527459390101,37.35742778587977,1,70,政府机构,bd09,,删除
180,招远市禄良养老服务有限公司,120.4279756992113,37.38900331978504,0,50,NoClass,bd09,,删除
181,栖霞市爱尚综合养老服务中心,120.83539497681771,37.30456271282298,0,50,NoClass,bd09,,删除
182,栖霞爱高养老公寓,120.85641658337892,37.341418164799684,0,20,区县,bd09,,删除
183,栖霞市翠屏街道御椿苑综合养老服务中心,120.83197485824957,37.311343586166,1,70,生活服务,bd09,,删除
184,栖霞市盛健老年公寓,120.9398720398335,37.34951696230218,1,70,医疗,bd09,,删除
185,栖霞市夕阳红老年公寓,120.83798326448361,37.306093299730655,1,70,医疗,bd09,,删除
186,栖霞市桃村中心敬老院,121.15699212227295,37.19815384188227,1,70,政府机构,bd09,,删除
187,栖霞市杨础中心敬老院,120.78925665836698,37.196358373472094,0,25,乡镇,bd09,,删除
188,栖霞市瑞康养老服务有限公司,120.85641658337892,37.341418164799684,0,20,区县,bd09,,删除
189,栖霞平安老年公寓,120.82344445929627,37.28849715401035,1,70,政府机构,bd09,,删除
190,栖霞市鹤园颐养院,120.80897123041116,37.3142168181486,1,70,政府机构,bd09,,删除
191,栖霞市坤园老年公寓,120.82344445929627,37.28849715401035,1,70,政府机构,bd09,,删除
192,栖霞市凯晨老年公寓,120.82667764048779,37.312297778678186,1,70,医疗,bd09,,删除
193,栖霞市福寿康养老中心,120.8510904401797,37.311787318058016,1,70,政府机构,bd09,,删除
194,栖霞市温心老年公寓,120.81898823515291,37.283203553488796,1,70,医疗,bd09,,删除
195,海阳市康馨老年公寓,121.14414078398612,36.768206754228544,1,70,医疗,bd09,,删除
196,海阳市幸福老年公寓,121.02661448597964,37.10542522648334,1,70,医疗,bd09,,删除
197,海阳市盘石店镇敬老院,121.29314792909813,36.8817113355833,0,25,乡镇,bd09,,删除
198,海阳市坤元养老院,121.1804581977879,36.693269738228416,0,20,区县,bd09,,删除
199,海阳市康安老年公寓,121.1933848140765,36.799285085083916,1,70,医疗,bd09,,删除
200,海阳市招虎山老年公寓,121.23119673875523,36.86682074411198,0,50,旅游景点,bd09,,删除
201,海阳市方圆街道办事处敬老院,121.17909789375415,36.79212280005918,1,70,政府机构,bd09,,删除
202,海阳市夕阳红老年公寓,121.15238004212362,36.77097417342341,1,70,政府机构,bd09,,删除
203,海阳市留格庄镇敬老院,121.32209842924313,36.79051351578519,0,25,乡镇,bd09,,删除
204,海阳市辛安镇敬老院,120.99916658146115,36.66465005987415,0,25,乡镇,bd09,,删除
205,海阳市聚福德老年公寓,120.99824303356634,36.786315256959206,1,70,医疗,bd09,,删除
206,海阳市鑫源老年公寓,121.22151938332681,36.77641931547959,1,70,医疗,bd09,,删除
207,海阳市行村镇敬老院,120.92417891206583,36.68763574068185,0,25,乡镇,bd09,,删除
208,海阳市阳光老年公寓,121.21113003095114,36.79853394890433,1,70,政府机构,bd09,,删除
209,海阳市荣庆老年公寓,121.01895238913228,37.08961804937666,1,70,医疗,bd09,,删除
210,海阳市大成老年公寓,121.1431573191138,36.87002543198878,1,70,医疗,bd09,,删除
211,海阳市鹤童村老年护理中心,121.2055172384637,36.8113265238839,1,70,政府机构,bd09,,删除
212,海阳市福泰老年公寓,121.15824076693183,36.771747263540846,1,70,医疗,bd09,,删除
213,海阳市盛泉养老院,121.19536818281198,36.69897486410141,1,70,政府机构,bd09,,删除
214,海阳市吉利老年公寓,121.20277210665576,36.79705123325865,1,70,医疗,bd09,,删除
215,海阳市老年公寓,121.01895238913228,37.08961804937666,1,70,医疗,bd09,,删除
216,海阳市和平南山老年公寓,121.17496407145833,36.77157424583166,1,70,医疗,bd09,,删除
217,海阳市以马内利老年公寓,121.23753940446954,36.725812420923255,1,70,医疗,bd09,,删除
218,海阳市医方养老院,121.19040962622745,36.74915840151386,1,70,政府机构,bd09,,删除
219,海阳市里店镇敬老院,120.96449513284529,36.88236061583608,1,70,政府机构,bd09,,删除
220,海阳市发城镇敬老院,120.96449513284529,36.88236061583608,1,70,政府机构,bd09,,删除
221,海阳市小纪镇敬老院,120.96449513284529,36.88236061583608,1,70,政府机构,bd09,,删除
222,海阳市徐家店镇敬老院,121.00119917733858,37.08801278705269,0,25,乡镇,bd09,,删除
223,海阳市生生老年公寓,121.16256323338473,36.76348020493692,1,70,医疗,bd09,,删除
224,海阳市海大医养院,121.1804581977879,36.693269738228416,0,20,区县,bd09,,删除
225,烟台经济技术开发区金东颐养中心,121.29179642845835,37.56242828636011,1,70,医疗,bd09,,删除
226,烟台经济技术开发区恒达颐养中心,121.24490299439594,37.57239697931235,0,50,NoClass,bd09,,删除
227,烟台开发区磁山颐生苑老年公寓,121.08367314519296,37.558800288414425,1,70,地产小区,bd09,,删除
228,烟台国康养老服务有限公司,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
229,烟台经济技术开发区社会福利中心,121.14315606148607,37.565419957996944,1,70,政府机构,bd09,,删除
230,烟台高新区御花园老年养护中心,121.15914967244682,36.77189274554538,0,70,汽车服务,bd09,,删除
231,烟台市蕾娜范颐养院,121.50035503057387,37.436060959610906,1,70,政府机构,bd09,,删除
232,南长山敬老院,120.73758873051904,37.94152629258075,0,25,乡镇,bd09,,删除
233,长岛县砣矶镇敬老院,120.7598360749486,38.17227557549623,0,25,乡镇,bd09,,删除
